stock_code,stock_name,total_requests,detail_requests_count,timestamp
300115,,86,1,2025-10-16T06:37:38.909561
002050,,76,1,2025-10-16T06:38:13.078858
600183,,76,1,2025-10-16T06:38:55.499122
