SERIAL,CIRCULATION_MARKET_VALUE<140>,IFSTSTOCK{2025-11-06},TURNOVER_RATE{2025-11-06},CHG,MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,TOAL_MARKET_VALUE<140>{2025-11-06},PCHG{2025-11-06},PB,NEWEST_PRICE,TRADING_VOLUMES{2025-11-06},PE_DYNAMIC{2025-11-06},SECURITY_SHORT_NAME,IF_DELISTING,VOLUME{2025-11-06},PETTMDEDUCTED{2025-11-07},MARKET_NUM,BOTTOM_PRICE<140>{2025-11-06},IN_OPTIONAL,PEAK_PRICE<140>{2025-11-06},QRR{2025-11-06}
1,1674.80亿,否,5.49,7.39,SH,603019,上交所主板,1675.27亿,7.88,7.95,114.50,90.49亿,130.05,中科曙光,否,8031.73万,99.48|2025-11-06,1,108.00,False,116.44,1.90
2,965.24亿,否,0.38,4.46,SZ,002493,深交所主板,1029.91亿,0.44,2.36,10.31,3.61亿,86.94,荣盛石化,否,3556.07万,90.09|2025-11-06,0,9.81,False,10.33,1.10
3,1734.87亿,否,2.26,0.46,SH,600111,上交所主板,1734.87亿,0.22,7.26,47.99,39.09亿,84.42,北方稀土,否,8168.54万,86.85|2025-11-06,1,47.55,False,48.19,0.55
4,1715.66亿,否,4.26,3.65,SZ,000063,深交所主板,2037.79亿,1.50,2.72,42.60,72.21亿,28.72,中兴通讯,否,1.72亿,64.49|2025-11-06,0,41.32,False,42.66,1.06
5,1532.87亿,否,1.32,1.99,SZ,002916,深交所主板,1536.84亿,4.50,9.50,230.50,20.13亿,49.56,深南电路,否,877.95万,60.37|2025-11-06,0,223.00,False,235.00,0.76
6,1667.05亿,否,0.47,0.46,SH,600760,上交所主板,1719.77亿,0.28,7.88,60.66,7.78亿,94.74,中航沈飞,否,1281.46万,59.56|2025-11-06,1,60.37,False,61.02,0.67
7,3981.77亿,否,0.40,0.74,SH,600276,上交所主板,4142.94亿,0.46,6.96,62.42,15.67亿,54.03,恒瑞医药,否,2525.24万,57.94|2025-11-06,1,61.47,False,62.50,0.46
8,1542.06亿,否,1.81,1.77,SH,600183,上交所主板,1564.35亿,1.12,10.07,64.40,27.61亿,48.02,生益科技,否,4345.12万,57.06|2025-11-06,1,61.77,False,64.76,0.86
9,1078.19亿,否,2.37,2.46,SZ,002600,深交所主板,1094.45亿,0.36,4.65,14.98,25.31亿,42.28,领益智造,否,1.71亿,56.34|2025-11-06,0,14.54,False,15.06,0.85
10,1855.43亿,否,7.88,8.02,SZ,002050,深交所主板,2119.62亿,3.74,6.70,50.36,140.70亿,49.03,三花智控,否,2.90亿,53.62|2025-11-06,0,46.43,False,51.11,1.45
