SERIAL,PER_NAV,CHG,STARTDATE,TRADING_VOLUMES,PREMIUM,FOUND_DATE,SECURITY_CODE,NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE,QJFE_DAY{2025-11-03}
1,4.7649,-0.71,2012-04-05,57.09亿,-0.036,2012-05-04,510300,4.729,沪深300ETF,1,False,-0.034,903.69亿,0.27|2025-11-03,T+1,4305.97亿|2025-11-03,-1.39亿
2,4.5889,-0.72,2013-02-18,14.58亿,-0.035,2013-03-06,510310,4.554,沪深300ETF易方达,1,False,-0.033,669.41亿,0.28|2025-11-03,T+1,3071.85亿|2025-11-03,-3060.00万
3,4.8338,-0.77,2012-12-17,4.99亿,-0.039,2012-12-25,510330,4.795,沪深300ETF华夏,1,False,-0.037,475.16亿,0.28|2025-11-03,T+1,2296.82亿|2025-11-03,810.00万
4,4.9153,-0.77,2012-04-05,7.18亿,-0.034,2012-05-07,159919,4.881,沪深300ETF,0,False,-0.038,407.80亿,0.27|2025-11-03,T+1,2004.47亿|2025-11-03,2520.00万
5,3.1615,-0.16,2004-11-29,31.37亿,-0.006,2004-12-30,510050,3.156,上证50ETF,1,False,-0.005,582.41亿,0.15|2025-11-03,T+1,1841.30亿|2025-11-03,-3.80亿
6,7.4397,-1.69,2013-01-10,21.87亿,-0.127,2013-02-06,510500,7.313,中证500ETF,1,False,-0.126,183.29亿,0.01|2025-11-03,T+1,1363.59亿|2025-11-03,-7080.00万
7,3.1747,-2.02,2011-08-15,39.99亿,-0.063,2011-09-20,159915,3.112,创业板ETF,0,False,-0.064,327.17亿,0.33|2025-11-03,T+1,1038.68亿|2025-11-03,4400.00万
8,0.9677,-1.96,2021-08-23,20.71亿,-0.017,2021-09-15,159792,0.951,港股通互联网ETF,0,False,-0.019,914.57亿,1.01|2025-11-03,T+0,885.03亿|2025-11-03,-1900.00万
9,8.7998,-0.68,2013-06-24,46.38亿,-0.063,2013-07-18,518880,8.737,黄金ETF,1,False,-0.060,92.64亿,-0.17|2025-11-03,T+0,815.24亿|2025-11-03,3710.00万
10,3.0506,-1.34,2016-08-24,10.33亿,-0.043,2016-09-29,512100,3.008,中证1000ETF,1,False,-0.041,247.73亿,0.41|2025-11-03,T+1,755.73亿|2025-11-03,-1.38亿
11,1.4713,-1.02,2020-09-22,42.86亿,-0.016,2020-09-28,588000,1.455,科创50ETF,1,False,-0.015,504.97亿,-1.04|2025-11-03,T+1,742.96亿|2025-11-03,2.25亿
12,101.0329,0.01,2013-03-18,154.50亿,0.010,2013-04-01,511880,101.043,银华日利ETF,1,False,0.015,7.25亿,0.00|2025-11-03,T+0,732.22亿|2025-11-03,-83.47万
13,-,0.01,2012-12-19,158.62亿,0.007,2012-12-27,511990,100.007,华宝添益ETF,1,False,0.010,7.31亿,0.01|2025-11-03,T+0,730.80亿|2025-11-03,-161.49万
14,1.4249,-0.98,2020-09-22,8.43亿,-0.014,2020-09-28,588080,1.411,科创板50ETF,1,False,-0.014,505.91亿,-1.03|2025-11-03,T+1,720.87亿|2025-11-03,4800.00万
15,112.5726,0.01,2020-04-30,323.67亿,0.000,2020-08-03,511360,112.573,短融ETF,1,False,0.013,5.88亿,0.01|2025-11-03,T+0,661.53亿|2025-11-03,-316.20万
16,1.2497,-0.48,2016-06-20,32.31亿,-0.007,2016-07-26,512880,1.243,证券ETF,1,False,-0.006,497.99亿,-0.24|2025-11-03,T+1,622.34亿|2025-11-03,8.83亿
17,13.5210,-0.45,2020-02-10,112.54亿,-0.079,2020-03-06,511380,13.442,可转债ETF,1,False,-0.061,43.44亿,0.19|2025-11-03,T+0,587.42亿|2025-11-03,280.00万
18,0.7969,-1.62,2021-05-12,49.54亿,-0.006,2021-05-18,513180,0.791,恒生科技指数ETF,1,False,-0.013,570.81亿,0.18|2025-11-03,T+0,454.88亿|2025-11-03,4.19亿
19,3.1051,-1.48,2021-03-04,2.69亿,-0.045,2021-03-18,159845,3.060,中证1000ETF,0,False,-0.046,144.44亿,0.41|2025-11-03,T+1,448.51亿|2025-11-03,-5000.00万
20,115.2026,0.00,2022-08-03,34.47亿,-0.026,2022-08-19,511520,115.177,政金债券ETF,1,False,0.005,3.80亿,0.06|2025-11-03,T+0,438.19亿|2025-11-03,94.00万
21,0.7834,-1.52,2021-05-12,54.10亿,-0.006,2021-05-24,513130,0.777,恒生科技ETF,1,False,-0.012,527.78亿,0.03|2025-11-03,T+0,413.47亿|2025-11-03,3.50亿
22,2.3395,-0.68,2022-09-23,29.47亿,-0.016,2022-09-30,588200,2.324,科创芯片ETF,1,False,-0.016,173.02亿,-1.46|2025-11-03,T+1,404.78亿|2025-11-03,-6300.00万
23,0.5973,-0.67,2016-08-01,12.12亿,-0.004,2016-08-30,512000,0.593,券商ETF,1,False,-0.004,668.47亿,-0.25|2025-11-03,T+1,399.28亿|2025-11-03,6.44亿
24,1.6216,-1.47,2016-12-12,23.98亿,-0.008,2017-01-04,513050,1.614,中概互联网ETF,1,False,-0.024,241.93亿,-2.67|2025-10-31,T+0,390.80亿|2025-10-31,9400.00万
25,1.4471,-1.99,2022-06-17,8.02亿,-0.017,2022-06-30,159636,1.430,港股通科技30ETF,0,False,-0.029,264.41亿,0.20|2025-11-03,T+0,382.63亿|2025-11-03,0.00
26,8.7826,-0.71,2014-08-04,16.08亿,-0.066,2014-08-13,159937,8.717,黄金ETF基金,0,False,-0.062,42.41亿,-0.17|2025-11-03,T+0,372.49亿|2025-11-03,0.00
27,3.1000,-1.35,2022-07-22,6304.71万,-0.042,2022-07-28,560010,3.058,中证1000ETF指数,1,False,-0.042,111.82亿,0.41|2025-11-03,T+1,346.63亿|2025-11-03,-900.00万
28,0.5657,-1.76,2021-01-18,38.20亿,-0.007,2021-01-26,513330,0.559,恒生互联网ETF,1,False,-0.010,605.55亿,0.23|2025-11-03,T+0,342.56亿|2025-11-03,1000.00万
29,2.1972,-1.22,2020-02-24,96.44亿,-0.011,2020-03-13,513090,2.186,香港证券ETF,1,False,-0.027,149.99亿,-0.15|2025-11-03,T+0,329.56亿|2025-11-03,0.00
30,120.0913,0.13,2023-02-17,73.33亿,0.016,2023-05-19,511090,120.107,30年国债ETF,1,False,0.150,2.68亿,0.11|2025-11-03,T+0,321.77亿|2025-11-03,-17.00万
31,9.1918,-0.69,2013-10-28,12.54亿,-0.068,2013-11-29,159934,9.124,黄金ETF,0,False,-0.063,34.65亿,-0.17|2025-11-03,T+0,318.47亿|2025-11-03,60.00万
32,1.3757,-1.37,2015-05-20,15.41亿,0.060,2015-06-10,159941,1.436,纳指ETF,0,False,-0.020,221.78亿,0.50|2025-10-31,T+0,304.93亿|2025-10-31,1300.00万
33,1.7459,-0.29,2019-12-24,11.89亿,-0.007,2020-01-20,159995,1.739,芯片ETF,0,False,-0.005,161.35亿,-1.06|2025-11-03,T+1,281.70亿|2025-11-03,1.71亿
34,1.5179,-2.17,2016-06-06,18.10亿,-0.030,2016-06-30,159949,1.488,创业板50ETF,0,False,-0.033,177.90亿,0.36|2025-11-03,T+1,270.03亿|2025-11-03,-1.52亿
35,10.2004,0.02,2014-10-17,4.14亿,0.000,2014-11-13,511220,10.200,城投债ETF,1,False,0.002,26.25亿,0.04|2025-11-03,T+0,267.78亿|2025-11-03,1750.00万
36,0.3684,-1.63,2019-04-22,7.14亿,-0.005,2019-05-20,512170,0.363,医疗ETF,1,False,-0.006,691.78亿,-0.54|2025-11-03,T+1,254.85亿|2025-11-03,-3500.00万
