CIRCULATION_MARKET_VALUE<140>,SERIAL,CHG,PEAK_PRICE<140>,IFSTSTOCK{2025-11-05},TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,PETTMDEDUCTED{2025-11-05},SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,TOAL_MARKET_VALUE<140>
1559.54亿,1,-0.56,107.29,否,36.51亿,3480.54万,SH,603019,上交所主板,103.30,0.78,121.10,7.41,106.62,92.64|2025-11-05,中科曙光,否,2.38,1,False,-0.60,1559.97亿
691.39亿,2,-0.29,44.88,否,28.11亿,6360.41万,SH,600580,上交所主板,43.00,0.64,63.35,6.46,44.26,88.40|2025-11-05,卧龙电驱,否,4.07,1,False,-0.13,691.39亿
1726.92亿,3,-2.71,48.47,否,50.89亿,1.07亿,SH,600111,上交所主板,47.00,0.69,84.03,7.23,47.77,86.45|2025-11-05,北方稀土,否,2.96,1,False,-1.33,1726.92亿
924.05亿,4,-1.40,10.01,否,2.31亿,2329.00万,SZ,002493,深交所主板,9.80,0.71,83.23,2.26,9.87,86.24|2025-11-05,荣盛石化,否,0.25,0,False,-0.14,985.96亿
583.57亿,5,0.25,12.08,否,2.42亿,2014.34万,SH,600372,上交所主板,11.95,0.66,44.23,1.52,12.06,77.01|2025-11-05,中航机载,否,0.42,1,False,0.03,583.57亿
727.10亿,6,-1.15,173.88,否,13.88亿,807.61万,SH,603893,上交所主板,168.80,0.91,69.97,17.12,172.79,76.48|2025-11-05,瑞芯微,否,1.92,1,False,-2.01,727.31亿
749.35亿,7,2.87,77.85,否,20.83亿,2762.06万,SH,603228,上交所主板,71.18,0.61,59.83,5.93,76.80,75.50|2025-11-05,景旺电子,否,2.83,1,False,2.14,756.31亿
604.81亿,8,-1.23,20.22,否,6.04亿,3018.86万,SH,600673,上交所主板,19.69,0.67,50.23,6.23,20.15,73.52|2025-11-05,东阳光,否,1.01,1,False,-0.25,606.43亿
609.41亿,9,-1.76,40.40,否,26.79亿,6731.19万,SZ,002156,深交所主板,39.30,0.65,53.12,4.01,40.16,71.06|2025-11-05,通富微电,否,4.44,0,False,-0.72,609.47亿
697.90亿,10,-0.24,25.24,否,3.36亿,1336.51万,SZ,000768,深交所主板,24.99,0.78,52.91,3.21,25.17,70.62|2025-11-05,中航西飞,否,0.48,0,False,-0.06,700.02亿
564.83亿,11,-1.45,30.19,否,11.84亿,3978.57万,SH,600570,上交所主板,29.36,1.13,93.07,6.25,29.82,65.82|2025-11-05,恒生电子,否,2.10,1,False,-0.44,564.83亿
1655.24亿,12,-1.51,41.54,否,45.53亿,1.11亿,SZ,000063,深交所主板,40.73,0.50,27.71,2.62,41.10,62.22|2025-11-05,中兴通讯,否,2.74,0,False,-0.63,1966.03亿
761.28亿,13,-1.47,76.26,否,29.51亿,3921.95万,SZ,000988,深交所主板,74.30,0.67,43.23,6.98,75.75,62.08|2025-11-05,华工科技,否,3.90,0,False,-1.13,761.67亿
627.53亿,14,-1.19,40.92,否,15.07亿,3739.17万,SH,600895,上交所主板,39.80,0.62,76.33,4.70,40.52,60.51|2025-11-05,张江高科,否,2.41,1,False,-0.49,627.53亿
1659.35亿,15,0.15,60.70,否,6.99亿,1160.57万,SH,600760,上交所主板,59.58,0.54,94.30,7.85,60.38,59.29|2025-11-05,中航沈飞,否,0.42,1,False,0.09,1711.83亿
1502.95亿,16,1.41,228.58,否,16.80亿,762.21万,SZ,002916,深交所主板,212.80,0.65,48.59,9.31,226.00,59.19|2025-11-05,深南电路,否,1.15,0,False,3.15,1506.83亿
3952.43亿,17,0.06,62.49,否,20.74亿,3343.81万,SH,600276,上交所主板,61.22,0.56,53.63,6.91,61.96,57.51|2025-11-05,恒瑞医药,否,0.52,1,False,0.04,4112.41亿
1515.24亿,18,0.32,63.85,否,21.37亿,3455.21万,SH,600183,上交所主板,60.12,0.62,47.19,9.90,63.28,56.06|2025-11-05,生益科技,否,1.44,1,False,0.20,1537.15亿
677.79亿,19,-1.48,80.30,否,18.96亿,2385.58万,SZ,002049,深交所主板,78.80,0.85,40.26,5.17,79.79,56.02|2025-11-05,紫光国微,否,2.81,0,False,-1.20,677.92亿
1052.28亿,20,-1.48,14.75,否,23.45亿,1.62亿,SZ,002600,深交所主板,14.30,0.75,41.27,4.54,14.62,54.99|2025-11-05,领益智造,否,2.24,0,False,-0.22,1068.15亿
695.72亿,21,-2.36,39.23,否,19.31亿,4971.79万,SH,600584,上交所主板,38.50,0.65,54.71,2.47,38.88,53.10|2025-11-05,长电科技,否,2.78,1,False,-0.94,695.72亿
1717.63亿,22,-0.70,47.37,否,75.14亿,1.63亿,SZ,002050,深交所主板,45.34,0.75,45.39,6.20,46.62,49.64|2025-11-05,三花智控,否,4.41,0,False,-0.33,1962.20亿
2720.51亿,23,-0.28,36.44,否,21.32亿,5919.53万,SH,600150,上交所主板,35.71,0.75,34.87,1.93,36.15,49.62|2025-11-05,中国船舶,否,0.79,1,False,-0.10,2720.51亿
756.21亿,24,-0.83,26.63,否,12.17亿,4615.45万,SZ,000938,深交所主板,26.12,0.63,40.40,5.23,26.44,49.50|2025-11-05,紫光股份,否,1.61,0,False,-0.22,756.21亿
1.49万亿,25,2.38,75.80,否,121.90亿,1.67亿,SH,601138,上交所主板,69.87,0.81,49.83,9.25,75.24,49.25|2025-11-05,工业富联,否,0.84,1,False,1.75,1.49万亿
500.09亿,26,-0.42,19.18,否,11.02亿,5810.29万,SH,600143,上交所主板,18.63,0.58,35.26,2.62,18.98,48.62|2025-11-05,金发科技,否,2.21,1,False,-0.08,500.43亿
1515.12亿,27,2.85,79.94,否,50.44亿,6480.12万,SH,601888,上交所主板,74.39,1.20,39.45,2.88,77.60,48.54|2025-11-05,中国中免,否,3.32,1,False,2.15,1605.43亿
1051.62亿,28,-1.06,70.71,否,2.43亿,346.73万,SZ,002304,深交所主板,69.56,0.54,19.84,2.17,69.81,47.91|2025-11-05,洋河股份,否,0.23,0,False,-0.75,1051.65亿
1059.12亿,29,-0.90,176.79,否,3.38亿,192.25万,SH,600436,上交所主板,175.55,0.73,37.30,7.32,175.55,47.78|2025-11-05,片仔癀,否,0.32,1,False,-1.60,1059.12亿
1196.85亿,30,-0.40,69.50,否,20.76亿,3031.70万,SH,601689,上交所主板,67.00,0.48,45.65,5.14,68.87,47.47|2025-11-05,拓普集团,否,1.74,1,False,-0.28,1196.85亿
992.38亿,31,-0.60,31.84,否,19.88亿,6320.02万,SZ,002241,深交所主板,30.92,0.73,32.50,3.08,31.62,46.44|2025-11-05,歌尔股份,否,2.01,0,False,-0.19,1121.13亿
1170.94亿,32,-2.75,89.42,否,6.31亿,718.61万,SH,601100,上交所主板,87.30,0.71,42.08,6.87,87.33,45.76|2025-11-05,恒立液压,否,0.54,1,False,-2.47,1170.94亿
2872.25亿,33,-2.12,404.89,否,21.75亿,547.72万,SZ,002371,深交所主板,394.00,0.73,42.02,7.98,396.83,44.90|2025-11-05,北方华创,否,0.76,0,False,-8.60,2874.55亿
776.35亿,34,0.94,4.32,否,12.29亿,2.88亿,SZ,000100,深交所主板,4.20,0.66,21.97,1.46,4.29,44.65|2025-11-05,TCL科技,否,1.59,0,False,0.04,892.36亿
919.20亿,35,0.34,63.02,否,25.08亿,4049.76万,SZ,000977,深交所主板,60.85,0.57,46.57,4.37,62.51,44.62|2025-11-05,浪潮信息,否,2.75,0,False,0.21,920.23亿
659.93亿,36,0.53,32.44,否,4.48亿,1391.08万,SH,600009,上交所主板,31.73,1.13,36.83,1.91,32.25,43.66|2025-11-05,上海机场,否,0.68,1,False,0.17,802.48亿
853.32亿,37,-2.02,150.00,否,34.46亿,2472.79万,SZ,002028,深交所主板,131.28,1.78,37.43,7.57,140.01,43.59|2025-11-05,思源电气,否,4.06,0,False,-2.88,1093.60亿
1014.34亿,38,-0.08,12.31,否,5.26亿,4287.00万,SZ,000625,深交所主板,12.20,0.57,29.89,1.58,12.28,41.62|2025-11-05,长安汽车,否,0.52,0,False,-0.01,1217.45亿
521.90亿,39,0.23,31.50,否,9.02亿,2950.87万,SZ,002080,深交所主板,29.94,0.60,26.45,2.66,31.10,41.52|2025-11-05,中材科技,否,1.76,0,False,0.07,521.90亿
607.81亿,40,1.83,28.66,否,12.97亿,4661.11万,SH,603659,上交所主板,26.77,0.71,26.82,3.08,28.45,40.09|2025-11-05,璞泰来,否,2.18,1,False,0.51,607.81亿
1519.44亿,41,-0.67,126.45,否,13.15亿,1047.97万,SH,603501,上交所主板,124.05,0.63,35.50,5.53,125.95,39.74|2025-11-05,豪威集团,否,0.87,1,False,-0.85,1519.44亿
