CIRCULATION_MARKET_VALUE<140>,SERIAL,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,PETTMDEDUCTED{2025-12-24},MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,IFSTSTOCK{2025-12-24},TOAL_MARKET_VALUE<140>
1918.93亿,110,-1.08,7.47,10.89亿,1.47亿,6.91|2025-12-24,SH,601328,上交所主板,7.36,1.22,6.97,0.58,7.36,交通银行,否,0.56,1,False,-0.08,否,6503.57亿
1398.32亿,111,-0.44,11.40,2.72亿,2402.35万,6.56|2025-12-24,SH,601009,上交所主板,11.26,0.64,5.82,0.77,11.31,南京银行,否,0.19,1,False,-0.05,否,1398.32亿
1109.74亿,112,0.37,5.45,3.27亿,6015.85万,6.52|2025-12-24,SH,601390,上交所主板,5.40,1.01,5.74,0.42,5.42,中国中铁,否,0.29,1,False,0.02,否,1338.00亿
1872.39亿,113,-0.84,28.82,6.39亿,2249.59万,6.46|2025-12-24,SZ,002142,深交所主板,28.21,1.15,6.26,0.87,28.37,宁波银行,否,0.34,0,False,-0.24,否,1873.44亿
1934.36亿,114,-0.39,15.45,7.12亿,4643.39万,6.27|2025-12-24,SH,601919,上交所主板,15.24,0.75,6.58,1.02,15.34,中远海控,否,0.37,1,False,-0.06,否,2376.13亿
1485.25亿,115,-2.05,72.57,12.72亿,1780.35万,5.95|2025-12-24,SH,601336,上交所主板,71.01,0.82,5.07,2.26,71.22,新华保险,否,0.85,1,False,-1.49,否,2221.74亿
3024.61亿,116,-0.67,7.49,2.27亿,3050.36万,5.95|2025-12-24,SH,601998,上交所主板,7.39,0.69,5.80,0.58,7.42,中信银行,否,0.07,1,False,-0.05,否,4128.87亿
1110.55亿,117,-0.45,15.42,5.35亿,3498.42万,5.90|2025-12-24,SH,600926,上交所主板,15.23,0.80,5.24,0.84,15.32,杭州银行,否,0.48,1,False,-0.07,否,1110.55亿
1406.69亿,118,0.00,9.95,4.17亿,4234.68万,5.79|2025-12-24,SH,601229,上交所主板,9.78,0.80,5.84,0.59,9.90,上海银行,否,0.30,1,False,0.00,否,1406.69亿
4450.55亿,119,-0.14,21.11,10.49亿,4992.14万,5.78|2025-12-24,SH,601166,上交所主板,20.88,0.79,5.29,0.57,21.03,兴业银行,否,0.24,1,False,-0.03,否,4450.55亿
1893.86亿,120,-0.67,10.39,13.11亿,1.27亿,5.57|2025-12-24,SH,600919,上交所主板,10.23,1.12,4.64,0.74,10.32,江苏银行,否,0.69,1,False,-0.07,否,1893.86亿
1354.65亿,121,-0.26,3.83,11.04亿,2.90亿,5.46|2025-12-24,SH,600016,上交所主板,3.78,0.90,4.39,0.30,3.82,民生银行,否,0.82,1,False,-0.01,否,1672.49亿
2148.66亿,122,0.00,5.23,5.18亿,9950.51万,5.40|2025-12-24,SH,601668,上交所主板,5.19,0.73,4.22,0.45,5.20,中国建筑,否,0.24,1,False,0.00,否,2148.66亿
899.55亿,123,0.39,7.83,1.74亿,2227.89万,5.20|2025-12-24,SH,601186,上交所主板,7.78,1.12,5.38,0.39,7.82,中国铁建,否,0.19,1,False,0.03,否,1061.92亿
2239.41亿,124,-0.17,11.58,5.82亿,5052.44万,5.16|2025-12-24,SZ,000001,深交所主板,11.49,0.71,4.38,0.50,11.54,平安银行,否,0.26,0,False,-0.02,否,2239.44亿
1624.24亿,125,-0.28,3.52,5.20亿,1.48亿,5.07|2025-12-24,SH,601818,上交所主板,3.49,0.74,4.19,0.42,3.50,光大银行,否,0.32,1,False,-0.01,否,2067.99亿
1162.86亿,126,-0.18,5.52,5.51亿,1.00亿,4.49|2025-12-24,SH,601169,上交所主板,5.48,0.73,4.14,0.42,5.50,北京银行,否,0.47,1,False,-0.01,否,1162.86亿
1052.49亿,127,0.15,6.85,2.17亿,3172.23万,4.03|2025-12-24,SH,600015,上交所主板,6.80,0.74,4.54,0.35,6.84,华夏银行,否,0.21,1,False,0.01,否,1088.58亿
