SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,IFSTSTOCK{2025-10-28},MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-28},TOAL_MARKET_VALUE<140>
200,622.79亿,0.55,154.76,3.74亿,244.43万,SZ,000596,151.03,1.10,11.00,3.20,152.42,古井贡酒,否,0.60,否,0,False,0.83,14.37,805.69亿
201,935.53亿,-1.52,23.73,5.18亿,2208.73万,SH,600585,23.36,0.94,14.19,0.66,23.39,海螺水泥,否,0.55,否,1,False,-0.36,14.18,1239.51亿
202,745.10亿,-0.26,3.86,2.37亿,6169.97万,SH,601018,3.81,0.94,14.35,0.95,3.83,宁波港,否,0.32,否,1,False,-0.01,14.16,745.10亿
203,666.96亿,-0.48,8.42,5.15亿,6193.44万,SH,601872,8.21,0.91,15.70,1.65,8.26,招商轮船,否,0.77,否,1,False,-0.04,14.09,666.96亿
204,2540.92亿,0.11,18.94,19.16亿,1.02亿,SH,601211,18.77,0.82,10.55,1.07,18.83,XD国泰海,否,0.75,否,1,False,0.02,13.98,3319.53亿
205,1287.72亿,-0.34,17.44,10.24亿,5908.76万,SH,600999,17.26,0.79,14.55,1.31,17.35,招商证券,否,0.80,否,1,False,-0.06,13.94,1508.85亿
206,1352.47亿,-1.47,14.27,7.51亿,5319.18万,SZ,002736,14.03,0.71,13.42,1.53,14.07,国信证券,否,0.55,否,0,False,-0.21,13.80,1441.01亿
207,712.73亿,0.48,10.48,1.84亿,1766.88万,SZ,001965,10.33,0.99,13.32,1.07,10.45,招商公路,否,0.26,否,0,False,0.05,13.77,712.73亿
208,615.46亿,-1.51,28.92,4.95亿,1726.52万,SH,601877,28.43,1.10,12.05,1.44,28.64,正泰电器,否,0.80,否,1,False,-0.44,13.66,615.46亿
209,651.62亿,-4.45,3.81,8.99亿,2.44亿,SH,601618,3.63,1.53,12.20,0.74,3.65,中国中冶,否,1.36,否,1,False,-0.17,13.28,756.41亿
210,5157.39亿,-0.63,74.92,17.40亿,2336.58万,SZ,000333,74.13,0.73,10.99,2.65,74.41,美的集团,否,0.34,否,0,False,-0.47,13.07,5717.40亿
211,734.36亿,-1.82,14.92,3.76亿,2573.63万,SZ,000708,14.36,1.34,12.72,1.77,14.55,中信特钢,否,0.51,否,0,False,-0.27,13.07,734.36亿
212,565.13亿,-0.27,18.50,1.26亿,684.78万,SH,600803,18.28,1.04,11.82,2.46,18.37,新奥股份,否,0.22,否,1,False,-0.05,13.02,568.94亿
213,959.56亿,1.32,5.45,10.79亿,2.00亿,SH,600795,5.33,1.49,10.62,1.57,5.38,国电电力,否,1.12,否,1,False,0.07,12.94,959.56亿
214,870.22亿,-2.52,15.12,6.53亿,4410.62万,SH,600188,14.67,0.56,15.85,2.47,14.69,兖矿能源,否,0.74,否,1,False,-0.38,12.81,1474.51亿
215,533.60亿,-3.44,13.38,9.64亿,7407.54万,SZ,002532,12.57,1.15,13.50,2.07,12.92,天山铝业,否,1.79,否,0,False,-0.46,12.76,601.02亿
216,526.85亿,-4.68,24.54,14.67亿,6169.09万,SZ,000933,23.20,0.90,11.33,2.20,23.44,神火股份,否,2.74,否,0,False,-1.15,12.38,527.25亿
