SERIAL,PER_NAV,CHG,TRADING_VOLUMES,PREMIUM,QJFE_DAY{2025-12-26},SECURITY_CODE,ETF_TYPE,NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE
1,9.5938,-0.90,68.77亿,-0.031,-4830.00万,518880,黄金ETF,9.563,黄金ETF,1,False,-0.087,101.00亿,-0.30|2025-12-29,T+0,971.90亿|2025-12-26
2,9.6609,-0.87,9.28亿,-0.028,420.00万,518850,黄金ETF,9.633,黄金ETF华夏,1,False,-0.085,12.00亿,-0.30|2025-12-29,T+0,116.29亿|2025-12-26
3,9.4768,-0.90,5.33亿,-0.029,-500.00万,518800,黄金ETF,9.448,黄金基金ETF,1,False,-0.086,31.64亿,-0.30|2025-12-29,T+0,300.78亿|2025-12-26
4,9.9993,-0.86,3.33亿,-0.005,280.00万,518680,黄金ETF,9.994,金ETF,1,False,-0.087,5.92亿,-0.83|2025-12-29,T+0,59.73亿|2025-12-26
5,9.5996,-0.84,3.65亿,-0.028,-210.00万,518660,黄金ETF,9.572,黄金ETF基金,1,False,-0.081,6.97亿,-0.30|2025-12-29,T+0,67.12亿|2025-12-26
6,9.5731,-0.96,14.01亿,-0.036,-1440.00万,159937,黄金ETF,9.537,黄金ETF基金,0,False,-0.092,43.70亿,-0.30|2025-12-29,T+0,419.60亿|2025-12-26
7,10.0522,-0.97,16.84亿,-0.073,-1320.00万,159934,黄金ETF,9.979,黄金ETF,0,False,-0.098,36.34亿,0.40|2025-12-26,T+0,365.26亿|2025-12-26
8,1.3985,-0.21,1.26亿,-0.001,2000.00万,515450,风格策略,1.398,红利低波50ETF,1,False,-0.003,107.14亿,-0.14|2025-12-29,T+1,150.04亿|2025-12-26
9,1.3684,-0.29,1.48亿,0.000,-6600.00万,515180,风格策略,1.368,红利ETF易方达,1,False,-0.004,83.31亿,-0.22|2025-12-29,T+1,114.25亿|2025-12-26
10,1.4456,-0.62,1.32亿,-0.008,1950.00万,515100,风格策略,1.438,红利低波100ETF,1,False,-0.009,39.49亿,0.10|2025-12-26,T+1,57.09亿|2025-12-26
11,1.5467,-0.19,1.63亿,0.000,-5100.00万,515080,风格策略,1.547,中证红利ETF,1,False,-0.003,55.01亿,-0.22|2025-12-29,T+1,85.27亿|2025-12-26
12,1.1750,0.09,5.70亿,0.001,1000.00万,512890,风格策略,1.176,红利低波ETF,1,False,0.001,226.43亿,-0.18|2025-12-26,T+1,266.06亿|2025-12-26
13,3.1895,-0.06,4.95亿,-0.005,-650.00万,510880,风格策略,3.185,红利ETF,1,False,-0.002,61.13亿,0.14|2025-12-29,T+1,194.68亿|2025-12-26
14,0.7763,0.78,3.62亿,0.002,-1.32亿,588790,行业主题,0.778,科创AIETF,1,False,0.006,73.87亿,0.67|2025-12-29,T+1,56.96亿|2025-12-26
15,1.5527,0.45,1.20亿,0.007,-3900.00万,588750,行业主题,1.560,科创芯片50ETF,1,False,0.007,34.36亿,-0.80|2025-12-26,T+1,53.35亿|2025-12-26
