code,name,time,macd,signal
300748,金力永磁,2025-10-30 11:30:00,0.1277,0.1182
002294,信立泰,2025-10-30 11:00:00,-0.0099,-0.0146
002294,信立泰,2025-10-30 15:00:00,-0.1247,-0.1405
688111,金山办公,2025-10-30 10:00:00,5.0124,3.5463
600111,北方稀土,2025-10-30 11:30:00,-0.0189,-0.0277
688396,华润微,2025-10-30 11:30:00,0.0008,-0.0058
300476,胜宏科技,2025-10-30 14:00:00,-0.3697,-1.0757
603019,中科曙光,2025-10-30 13:30:00,-0.1564,-0.1827
301358,湖南裕能,2025-10-30 10:00:00,1.208,1.0575
002156,通富微电,2025-10-30 10:00:00,0.3461,0.2177
000768,中航西飞,2025-10-30 11:00:00,-0.0269,-0.0338
600895,张江高科,2025-10-30 13:30:00,-0.0012,-0.1509
600183,生益科技,2025-10-30 14:00:00,0.9685,0.8201
002281,光迅科技,2025-10-30 11:30:00,0.0342,-0.063
300413,芒果超媒,2025-10-30 11:30:00,-0.0568,-0.0613
002371,北方华创,2025-10-30 11:00:00,-0.967,-1.0736
300014,亿纬锂能,2025-10-30 14:00:00,1.5981,1.5889
002558,巨人网络,2025-10-30 14:00:00,-0.558,-0.5741
601231,环旭电子,2025-10-30 14:00:00,-0.1061,-0.1313
002938,鹏鼎控股,2025-10-30 14:00:00,0.0704,0.0406
002179,中航光电,2025-10-30 15:00:00,-0.6356,-0.6532
603296,华勤技术,2025-10-30 10:00:00,2.1773,2.154
603296,华勤技术,2025-10-30 11:00:00,2.1564,2.1349
601985,中国核电,2025-10-30 14:00:00,-0.0185,-0.0216
600489,中金黄金,2025-10-30 13:30:00,-0.0566,-0.0596
300866,安克创新,2025-10-30 15:00:00,-2.7238,-2.7756
605117,德业股份,2025-10-30 14:30:00,-1.1476,-1.1659
000792,盐湖股份,2025-10-30 11:30:00,0.3027,0.3024
003816,中国广核,2025-10-30 10:30:00,-0.006,-0.0063
600988,赤峰黄金,2025-10-30 13:30:00,0.1472,0.1054
600900,长江电力,2025-10-30 10:30:00,0.0125,-0.0072
600522,中天科技,2025-10-30 11:30:00,0.0012,-0.0121
601816,京沪高铁,2025-10-30 11:00:00,-0.0015,-0.0034
601816,京沪高铁,2025-10-30 15:00:00,-0.0036,-0.0046
600519,贵州茅台,2025-10-30 10:30:00,-3.0908,-3.9268
600519,贵州茅台,2025-10-30 15:00:00,-3.5372,-3.6843
600487,亨通光电,2025-10-30 11:30:00,0.2584,0.2166
603259,药明康德,2025-10-30 15:00:00,-2.0091,-2.031
000963,华东医药,2025-10-30 11:00:00,0.2522,0.2225
002311,海大集团,2025-10-30 10:30:00,0.0957,0.0632
600028,中国石化,2025-10-30 10:00:00,-0.0053,-0.0073
002236,大华股份,2025-10-30 11:30:00,0.015,0.0041
600309,万华化学,2025-10-30 11:00:00,-0.0303,-0.0345
600886,国投电力,2025-10-30 10:00:00,0.0314,0.0183
600674,川投能源,2025-10-30 10:00:00,-0.0061,-0.0078
600941,中国移动,2025-10-30 10:00:00,-0.1829,-0.2056
601766,中国中车,2025-10-30 10:00:00,0.0224,0.0118
600377,宁沪高速,2025-10-30 11:00:00,0.0286,0.0258
600377,宁沪高速,2025-10-30 13:30:00,0.0282,0.0263
601211,国泰海通,2025-10-30 10:30:00,0.1855,0.1637
600066,宇通客车,2025-10-30 10:00:00,0.0677,-0.1455
002736,国信证券,2025-10-30 11:30:00,0.0625,0.0578
601058,赛轮轮胎,2025-10-30 14:00:00,0.1752,0.1738
600803,新奥股份,2025-10-30 14:30:00,0.1537,0.153
600795,国电电力,2025-10-30 10:30:00,0.0367,0.0345
600039,四川路桥,2025-10-30 10:30:00,0.0037,0.0032
601857,中国石油,2025-10-30 10:00:00,0.0065,-0.0031
601298,青岛港,2025-10-30 10:00:00,-0.0395,-0.0539
600027,华电国际,2025-10-30 10:00:00,0.0377,0.0296
600011,华能国际,2025-10-30 10:00:00,0.1477,0.1428
601658,邮储银行,2025-10-30 14:00:00,-0.0275,-0.0282
601658,邮储银行,2025-10-30 15:00:00,-0.0263,-0.0277
601398,工商银行,2025-10-30 11:00:00,-0.0231,-0.024
601988,中国银行,2025-10-30 10:00:00,0.013,0.0117
601318,中国平安,2025-10-30 10:00:00,0.3572,0.3462
601939,建设银行,2025-10-30 10:00:00,-0.041,-0.0419
601939,建设银行,2025-10-30 15:00:00,-0.0205,-0.0209
600036,招商银行,2025-10-30 10:00:00,-0.1963,-0.2103
601328,交通银行,2025-10-30 13:30:00,-0.0409,-0.0412
601009,南京银行,2025-10-30 10:00:00,-0.058,-0.0589
002142,宁波银行,2025-10-30 10:00:00,0.0317,-0.0279
601998,中信银行,2025-10-30 10:00:00,-0.0158,-0.0216
600919,江苏银行,2025-10-30 10:00:00,-0.1,-0.1045
601229,上海银行,2025-10-30 10:00:00,-0.0626,-0.0725
601916,浙商银行,2025-10-30 10:00:00,-0.0138,-0.0144
601166,兴业银行,2025-10-30 10:00:00,-0.1016,-0.1105
601169,北京银行,2025-10-30 10:00:00,-0.0231,-0.028
