SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,TRADING_VOLUMES{2025-10-30},TOAL_MARKET_VALUE<140>{2025-10-30},MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>{2025-10-30},TURNOVER_RATE{2025-10-30},PE_DYNAMIC{2025-10-30},VOLUME{2025-10-30},PETTM{2025-10-30},PEAK_PRICE<140>{2025-10-30},QRR{2025-10-30},PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,MARKET_NUM,IN_OPTIONAL,PCHG{2025-10-30},IFSTSTOCK{2025-10-30}
186,731.68亿,0.33,3.34亿,731.68亿,SH,600674,14.90,0.46,13.00,2222.12万,16.99,15.13,1.05,1.65,15.01,川投能源,否,1,False,0.05,否
187,545.76亿,1.90,4.93亿,546.73亿,SH,600426,24.96,0.90,17.27,1911.83万,16.94,26.25,1.30,1.67,25.75,华鲁恒升,否,1,False,0.48,否
188,464.67亿,-0.55,1.66亿,570.79亿,SH,688009,5.39,0.35,18.74,3060.08万,16.69,5.46,1.00,1.24,5.39,中国通号,否,1,False,-0.03,否
189,817.74亿,-0.13,16.35亿,817.74亿,SZ,000807,23.15,2.00,13.94,6925.35万,16.39,23.96,0.82,2.53,23.58,云铝股份,否,0,False,-0.03,否
190,811.42亿,5.80,32.74亿,814.39亿,SZ,300442,49.50,3.98,12.99,6485.40万,16.35,51.22,4.22,6.01,49.83,润泽科技,否,0,False,2.73,否
191,507.04亿,-1.49,4.19亿,507.04亿,SH,600061,7.91,0.82,13.33,5249.34万,16.13,8.04,0.83,0.96,7.93,国投资本,否,1,False,-0.12,否
192,960.91亿,0.44,11.44亿,2.30万亿,SH,600941,105.92,1.19,14.97,1073.47万,16.11,107.16,1.28,1.68,106.44,中国移动,否,1,False,0.47,否
193,1282.08亿,-2.43,10.13亿,1935.39亿,SH,601881,17.68,0.78,13.23,5674.98万,15.95,18.10,1.24,1.69,17.70,中国银河,否,1,False,-0.44,否
194,741.21亿,-0.52,3.36亿,741.21亿,SH,601018,3.80,0.45,14.35,8773.05万,15.87,3.86,1.39,0.93,3.81,宁波港,否,1,False,-0.02,否
195,7097.74亿,2.14,16.62亿,8551.41亿,SH,601088,42.20,0.23,16.42,3857.81万,15.74,43.81,1.47,2.06,43.04,中国神华,否,1,False,0.90,否
196,3614.00亿,-2.05,73.40亿,4398.74亿,SH,600030,29.62,2.01,14.25,2.45亿,15.67,30.23,0.85,1.57,29.68,中信证券,否,1,False,-0.62,否
197,1390.40亿,-1.55,19.20亿,1791.18亿,SZ,000776,23.50,1.37,12.29,8112.81万,15.25,24.00,0.84,1.44,23.55,广发证券,否,0,False,-0.37,否
198,762.24亿,10.02,10.98亿,762.24亿,SH,601872,8.98,1.45,17.32,1.17亿,15.13,9.44,1.66,1.87,9.44,招商轮船,否,1,False,0.86,否
199,1955.95亿,0.00,10.59亿,2307.39亿,SH,601766,8.02,0.54,17.37,1.31亿,14.95,8.23,1.34,1.36,8.04,中国中车,否,1,False,0.00,否
200,1076.27亿,-1.26,6.20亿,1201.03亿,SZ,300498,18.02,0.57,17.14,3423.45万,14.91,18.34,0.79,2.79,18.05,温氏股份,否,0,False,-0.23,否
201,523.94亿,0.73,1.04亿,694.20亿,SH,600377,13.65,0.20,13.57,758.36万,14.88,13.82,0.82,1.72,13.78,宁沪高速,否,1,False,0.10,否
202,583.89亿,-2.68,4.11亿,583.89亿,SH,600233,17.01,0.70,15.22,2386.94万,14.75,17.74,1.52,1.75,17.06,圆通速递,否,1,False,-0.47,否
203,1908.52亿,0.01,10.34亿,1911.77亿,SZ,000568,129.00,0.54,13.32,791.44万,14.58,132.18,0.86,4.11,129.88,泸州老窖,否,0,False,0.01,否
204,2609.74亿,-0.46,35.03亿,3409.43亿,SH,601211,19.21,1.34,11.58,1.80亿,14.36,19.69,1.27,1.09,19.34,国泰海通,否,1,False,-0.09,否
205,712.89亿,5.54,9.91亿,712.89亿,SH,600066,30.43,1.40,16.24,3094.03万,14.32,32.87,1.54,5.31,32.20,宇通客车,否,1,False,1.69,否
206,618.42亿,0.59,5.25亿,800.04亿,SZ,000596,149.15,0.84,15.15,344.57万,14.27,154.29,1.39,3.18,151.35,古井贡酒,否,0,False,0.89,否
207,4598.35亿,-0.30,24.23亿,4598.54亿,SZ,000858,118.00,0.53,16.03,2043.30万,14.24,119.55,1.19,3.27,118.47,五 粮 液,否,0,False,-0.36,否
208,934.73亿,-0.13,5.29亿,1238.45亿,SH,600585,23.26,0.56,14.73,2258.45万,14.17,23.55,0.96,0.65,23.37,海螺水泥,否,1,False,-0.03,否
209,1293.66亿,-1.30,11.68亿,1515.80亿,SH,600999,17.43,0.90,12.81,6659.91万,14.00,17.69,0.88,1.31,17.43,招商证券,否,1,False,-0.23,否
210,1367.85亿,-1.32,8.35亿,1457.40亿,SZ,002736,14.20,0.61,11.96,5834.35万,13.95,14.51,0.71,1.55,14.23,国信证券,否,0,False,-0.19,否
211,506.04亿,1.12,6.15亿,506.04亿,SH,601058,15.17,1.22,13.22,4002.27万,13.71,15.49,1.82,2.40,15.39,赛轮轮胎,否,1,False,0.17,否
212,592.20亿,0.52,3.20亿,596.19亿,SH,600803,18.80,0.55,13.05,1679.12万,13.64,19.30,1.59,2.58,19.25,新奥股份,否,1,False,0.10,否
213,620.19亿,-5.31,11.87亿,620.19亿,SH,601877,28.80,1.90,11.13,4077.80万,13.61,29.50,1.92,1.42,28.86,正泰电器,否,1,False,-1.62,否
214,703.29亿,-0.77,1.36亿,703.29亿,SZ,001965,10.31,0.19,13.15,1306.46万,13.59,10.47,0.76,1.05,10.35,招商公路,否,0,False,-0.08,否
215,660.55亿,0.00,10.68亿,766.77亿,SH,601618,3.66,1.60,14.49,2.86亿,13.46,3.82,1.47,0.75,3.70,中国中冶,否,1,False,0.00,否
216,560.85亿,-0.17,11.45亿,631.73亿,SZ,002532,13.32,2.04,14.18,8415.56万,13.41,13.88,1.11,2.17,13.58,天山铝业,否,0,False,-0.02,否
217,565.96亿,0.04,15.28亿,566.39亿,SZ,000933,24.70,2.68,12.17,6020.03万,13.30,25.86,0.93,2.36,25.18,神火股份,否,0,False,0.01,否
218,737.39亿,0.69,2.85亿,737.39亿,SZ,000708,14.47,0.38,12.77,1942.75万,13.12,14.82,0.85,1.78,14.61,中信特钢,否,0,False,0.10,否
219,970.26亿,1.68,9.85亿,970.26亿,SH,600795,5.31,1.02,10.74,1.82亿,13.08,5.48,1.04,1.58,5.44,国电电力,否,1,False,0.09,否
220,5219.07亿,1.21,37.78亿,5785.78亿,SZ,000333,74.50,0.72,11.45,4996.53万,12.94,76.10,1.73,2.62,75.30,美的集团,否,0,False,0.90,否
221,874.96亿,-0.81,5.68亿,1482.54亿,SH,600188,14.74,0.65,15.62,3823.31万,12.88,15.02,0.63,2.48,14.77,兖矿能源,否,1,False,-0.12,否
222,1368.40亿,2.53,13.01亿,1368.40亿,SH,600989,18.24,0.95,11.47,6979.87万,12.73,18.94,0.85,2.98,18.66,宝丰能源,否,1,False,0.46,否
223,2221.12亿,1.73,9.85亿,2221.12亿,SH,601225,22.51,0.44,13.10,4284.78万,12.62,23.33,1.21,2.35,22.91,陕西煤业,否,1,False,0.39,否
224,1357.38亿,4.04,56.32亿,1768.75亿,SH,601600,9.78,4.18,12.20,5.51亿,12.40,10.50,1.23,2.41,10.31,中国铝业,否,1,False,0.40,否
225,800.99亿,0.00,7.02亿,1029.77亿,SH,601868,2.46,0.87,24.47,2.83亿,12.24,2.49,1.01,0.94,2.47,中国能建,否,1,False,0.00,否
226,1614.29亿,0.82,11.97亿,2421.10亿,SH,600690,25.62,0.74,10.45,4617.01万,11.89,26.18,1.47,2.11,25.81,海尔智家,否,1,False,0.21,否
227,1662.29亿,-0.91,29.85亿,2053.61亿,SH,601688,22.70,1.78,12.10,1.30亿,11.67,23.27,1.09,1.23,22.75,华泰证券,否,1,False,-0.21,否
228,607.76亿,2.26,3.60亿,786.95亿,SH,600039,8.82,0.60,11.14,4022.05万,11.58,9.10,1.25,1.65,9.05,四川路桥,否,1,False,0.20,否
229,9241.48亿,-1.86,9.26亿,1.25万亿,SH,601628,44.08,0.10,5.61,2060.25万,11.45,45.73,1.00,2.43,44.38,中国人寿,否,1,False,-0.84,否
230,719.86亿,1.69,16.25亿,1258.24亿,SZ,000338,14.15,2.26,10.63,1.13亿,11.29,14.54,2.17,1.41,14.44,潍柴动力,否,0,False,0.24,否
231,570.26亿,0.32,3.14亿,570.26亿,SZ,002128,25.20,0.55,10.39,1233.54万,11.27,25.79,0.62,1.53,25.44,电投能源,否,0,False,0.08,否
232,359.00亿,0.43,7823.18万,516.45亿,SZ,001872,20.72,0.22,10.18,375.00万,11.24,20.97,1.14,0.83,20.81,招商港口,否,0,False,0.09,否
233,510.98亿,0.11,3.05亿,679.37亿,SH,601607,18.26,0.60,9.90,1661.73万,11.19,18.42,1.43,0.90,18.32,上海医药,否,1,False,0.02,否
234,551.65亿,3.94,44.54亿,551.65亿,SH,600219,4.60,8.11,10.97,9.42亿,10.79,4.84,2.90,1.06,4.75,南山铝业,否,1,False,0.18,否
235,1262.98亿,-0.14,5.52亿,1829.70亿,SH,601898,13.71,0.43,10.99,3973.36万,10.64,14.19,0.83,1.16,13.80,中煤能源,否,1,False,-0.02,否
236,1.47万亿,0.11,10.22亿,1.67万亿,SH,601857,9.08,0.07,9.91,1.12亿,10.42,9.24,0.69,1.07,9.10,中国石油,否,1,False,0.01,否
237,737.65亿,-0.04,6.54亿,746.53亿,SZ,002001,24.16,0.89,10.52,2690.83万,10.37,24.47,0.99,2.32,24.29,新 和 成,否,0,False,-0.01,否
238,466.09亿,-0.53,6.75亿,695.85亿,SH,601991,3.76,1.43,7.78,1.77亿,10.25,3.86,1.13,1.98,3.76,大唐发电,否,1,False,-0.02,否
239,466.41亿,0.82,2.51亿,561.48亿,SH,601298,8.60,0.53,10.07,2882.98万,10.24,8.80,1.38,1.24,8.65,青岛港,否,1,False,0.07,否
240,807.60亿,-0.52,7.95亿,1.28万亿,SH,600938,26.98,0.98,9.44,2920.23万,10.05,27.44,0.60,1.63,27.01,中国海油,否,1,False,-0.14,否
241,2.57万亿,-1.10,30.06亿,2.82万亿,SH,601288,8.03,0.12,9.58,3.70亿,9.87,8.24,0.71,1.05,8.06,农业银行,否,1,False,-0.09,否
242,1893.10亿,-1.43,14.79亿,2713.90亿,SZ,002714,49.41,0.78,13.77,2967.52万,9.84,50.55,1.02,3.51,49.68,牧原股份,否,0,False,-0.72,否
243,470.62亿,1.28,10.71亿,642.13亿,SH,600027,5.44,2.27,7.48,1.94亿,9.75,5.59,1.55,1.32,5.53,华电国际,否,1,False,0.07,否
244,707.98亿,-1.31,6.20亿,707.98亿,SH,600023,5.18,0.88,8.52,1.18亿,9.71,5.31,1.47,0.94,5.28,浙能电力,否,1,False,-0.07,否
245,593.51亿,-1.51,7.06亿,593.89亿,SZ,002648,17.63,1.18,11.86,3969.09万,9.68,17.99,1.00,1.85,17.63,卫星化学,否,0,False,-0.27,否
246,651.04亿,3.72,6.87亿,651.04亿,SH,600741,20.28,1.05,10.42,3318.34万,9.43,21.08,3.08,1.01,20.65,华域汽车,否,1,False,0.74,否
247,530.31亿,-2.38,11.65亿,530.31亿,SH,600096,28.79,2.19,8.41,3986.94万,9.41,29.92,1.21,2.19,29.09,云天化,否,1,False,-0.71,否
248,1316.27亿,0.35,2.48亿,1320.05亿,SH,600018,5.64,0.19,8.78,4366.04万,9.05,5.71,1.13,0.97,5.67,上港集团,否,1,False,0.02,否
249,921.61亿,1.45,10.94亿,1315.50亿,SH,600011,8.09,1.18,6.65,1.30亿,9.03,8.49,1.26,1.97,8.38,华能国际,否,1,False,0.12,否
250,756.84亿,0.35,12.40亿,997.39亿,SH,601669,5.76,1.64,10.01,2.14亿,8.95,5.84,1.25,0.69,5.79,中国电建,否,1,False,0.02,否
251,3088.30亿,-1.47,6.43亿,3847.49亿,SH,601319,8.70,0.21,6.16,7294.88万,8.24,8.96,1.10,1.37,8.70,中国人保,否,1,False,-0.13,否
252,3966.93亿,-0.51,8.22亿,7097.62亿,SH,601658,5.89,0.21,6.95,1.38亿,8.17,6.02,0.63,0.72,5.91,邮储银行,否,1,False,-0.03,否
253,3876.80亿,-1.44,14.30亿,3876.80亿,SH,600000,11.62,0.37,7.49,1.22亿,8.08,11.83,0.83,0.54,11.64,浦发银行,否,1,False,-0.17,否
254,2.11万亿,0.13,21.87亿,2.79万亿,SH,601398,7.78,0.10,7.76,2.79亿,7.69,7.90,0.75,0.75,7.84,工商银行,否,1,False,0.01,否
255,2584.00亿,0.40,20.09亿,3631.68亿,SH,601601,37.50,0.77,5.96,5295.73万,7.61,38.30,1.45,1.29,37.75,中国太保,否,1,False,0.15,否
256,1.19万亿,0.89,26.19亿,1.82万亿,SH,601988,5.59,0.22,7.69,4.63亿,7.59,5.72,1.19,0.68,5.65,中国银行,否,1,False,0.05,否
257,6252.13亿,-0.51,44.24亿,1.06万亿,SH,601318,58.58,0.70,6.00,7457.13万,7.57,60.10,1.14,1.08,58.65,中国平安,否,1,False,-0.30,否
258,1478.58亿,1.21,22.62亿,2211.76亿,SH,601336,70.10,1.51,5.05,3156.22万,7.39,73.19,1.60,2.65,70.90,新华保险,否,1,False,0.85,否
259,886.45亿,0.11,10.80亿,2.42万亿,SH,601939,9.21,1.21,7.04,1.16亿,7.25,9.38,1.07,0.72,9.24,建设银行,否,1,False,0.01,否
260,2231.98亿,-0.54,17.83亿,2266.89亿,SZ,000651,40.41,0.80,7.86,4395.96万,6.98,40.79,1.18,1.82,40.47,格力电器,否,0,False,-0.22,否
261,8499.13亿,1.05,46.48亿,1.04万亿,SH,600036,40.73,0.55,6.85,1.13亿,6.97,41.36,1.41,0.95,41.20,招商银行,否,1,False,0.43,否
262,1042.39亿,-0.34,2.70亿,1440.66亿,SH,601800,8.83,0.26,7.92,3032.31万,6.68,8.95,0.94,0.49,8.85,中国交建,否,1,False,-0.03,否
263,1848.54亿,-0.56,16.80亿,6264.99亿,SH,601328,7.06,0.91,6.71,2.37亿,6.64,7.18,0.88,0.56,7.09,交通银行,否,1,False,-0.04,否
264,795.89亿,-0.35,1.43亿,818.81亿,SH,601825,8.45,0.18,5.81,1686.56万,6.64,8.58,0.82,0.65,8.49,沪农商行,否,1,False,-0.03,否
265,608.07亿,0.29,3.23亿,781.36亿,SH,601077,6.84,0.53,5.48,4684.41万,6.57,6.96,0.73,0.59,6.88,渝农商行,否,1,False,0.02,否
266,1367.41亿,-0.72,7.83亿,1367.41亿,SH,601009,11.06,0.57,5.70,7028.57万,6.35,11.25,1.28,0.75,11.06,南京银行,否,1,False,-0.08,否
267,1829.49亿,0.43,15.01亿,1830.52亿,SZ,002142,27.61,0.81,6.12,5363.68万,6.34,28.29,1.75,0.84,27.72,宁波银行,否,0,False,0.12,否
268,3195.82亿,1.55,5.62亿,4362.58亿,SH,601998,7.70,0.18,6.13,7199.99万,6.27,7.87,1.09,0.62,7.84,中信银行,否,1,False,0.12,否
269,1138.09亿,0.00,6.81亿,1138.09亿,SH,600926,15.67,0.60,5.37,4320.81万,6.10,15.89,0.89,0.87,15.70,杭州银行,否,1,False,0.00,否
270,1936.06亿,0.29,12.13亿,1936.06亿,SH,600919,10.45,0.63,4.75,1.15亿,5.81,10.60,0.86,0.78,10.55,江苏银行,否,1,False,0.03,否
271,1338.49亿,0.96,5.53亿,1338.49亿,SH,601229,9.30,0.41,5.55,5867.63万,5.62,9.48,0.89,0.55,9.42,上海银行,否,1,False,0.09,否
272,650.64亿,0.00,3.26亿,829.43亿,SH,601916,3.02,0.50,5.33,1.08亿,5.58,3.04,0.50,0.47,3.02,浙商银行,否,1,False,0.00,否
273,1175.26亿,0.17,8.17亿,1420.13亿,SH,601390,5.72,0.69,6.09,1.42亿,5.58,5.83,1.20,0.46,5.74,中国中铁,否,1,False,0.01,否
274,1400.75亿,-0.50,17.14亿,1729.41亿,SH,600016,3.95,1.22,4.54,4.32亿,5.54,3.99,0.66,0.31,3.95,民生银行,否,1,False,-0.02,否
275,4238.92亿,0.10,17.11亿,4238.92亿,SH,601166,19.92,0.40,5.04,8535.22万,5.48,20.18,0.92,0.58,20.03,兴业银行,否,1,False,0.02,否
276,713.36亿,-1.23,10.53亿,714.60亿,SH,601838,16.83,1.47,5.65,6205.80万,5.37,17.15,1.22,0.84,16.86,成都银行,否,1,False,-0.21,否
277,926.01亿,-0.12,3.82亿,1093.15亿,SH,601186,8.04,0.41,5.54,4721.61万,5.20,8.13,0.96,0.41,8.05,中国铁建,否,1,False,-0.01,否
278,2208.36亿,-0.09,10.77亿,2208.39亿,SZ,000001,11.36,0.49,4.32,9437.70万,5.12,11.47,0.88,0.49,11.38,平安银行,否,0,False,-0.01,否
279,2338.73亿,1.07,14.98亿,2338.73亿,SH,601668,5.59,0.64,4.59,2.64亿,4.96,5.70,1.20,0.49,5.66,中国建筑,否,1,False,0.06,否
280,1601.04亿,0.29,8.22亿,2038.45亿,SH,601818,3.44,0.51,4.13,2.38亿,4.87,3.47,0.64,0.42,3.45,光大银行,否,1,False,0.01,否
281,1876.36亿,0.27,13.10亿,2304.88亿,SH,601919,14.82,0.70,6.39,8771.41万,4.63,15.02,1.08,0.99,14.88,中远海控,否,1,False,0.04,否
282,1198.81亿,0.35,9.49亿,1198.81亿,SH,601169,5.65,0.79,4.27,1.67亿,4.61,5.72,0.69,0.44,5.67,北京银行,否,1,False,0.02,否
283,1047.87亿,-0.15,4.93亿,1083.81亿,SH,600015,6.81,0.47,4.52,7208.02万,3.99,6.87,0.70,0.35,6.81,华夏银行,否,1,False,-0.01,否
