SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,TRADING_VOLUMES{2025-10-30},TOAL_MARKET_VALUE<140>{2025-10-30},MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>{2025-10-30},TURNOVER_RATE{2025-10-30},PE_DYNAMIC{2025-10-30},VOLUME{2025-10-30},PETTM{2025-10-30},PEAK_PRICE<140>{2025-10-30},QRR{2025-10-30},PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,MARKET_NUM,IN_OPTIONAL,PCHG{2025-10-30},IFSTSTOCK{2025-10-30}
84,135.28亿,-3.83,8.22亿,634.33亿,SH,601059,19.53,6.02,35.14,4160.12万,34.60,20.25,0.94,3.11,19.56,信达证券,否,1,False,-0.78,否
85,1312.40亿,-1.39,16.84亿,1673.87亿,SH,600547,35.95,1.28,31.73,4637.55万,34.57,36.90,1.02,5.50,36.31,山东黄金,否,1,False,-0.51,否
86,226.32亿,9.50,36.72亿,599.34亿,SH,688472,15.73,16.19,45.45,2.25亿,34.46,16.80,2.60,2.57,16.25,阿特斯,否,1,False,1.41,否
87,592.88亿,-1.64,15.87亿,592.88亿,SZ,002080,34.80,2.66,30.05,4460.71万,33.62,36.51,0.76,3.02,35.33,中材科技,否,0,False,-0.59,否
88,1456.04亿,-2.09,6.62亿,1456.04亿,SH,605499,279.70,0.45,29.04,234.87万,33.24,286.00,1.07,16.55,280.00,东鹏饮料,否,1,False,-5.98,否
89,1342.68亿,-0.70,21.10亿,1347.71亿,SZ,002938,56.72,1.58,41.98,3652.70万,33.12,59.02,0.89,4.31,58.14,鹏鼎控股,否,0,False,-0.41,否
90,516.98亿,-4.16,5.98亿,523.45亿,SH,603486,90.30,1.14,27.69,653.24万,32.53,94.66,1.17,6.09,90.40,科沃斯,否,1,False,-3.92,否
91,2111.92亿,-1.20,9.39亿,2222.52亿,SH,603288,37.90,0.44,31.32,2466.04万,32.44,38.54,2.04,5.62,37.98,海天味业,否,1,False,-0.46,否
92,4725.37亿,-3.33,116.76亿,4736.09亿,SZ,002475,63.66,2.46,30.84,1.79亿,32.41,67.29,0.99,6.38,65.04,立讯精密,否,0,False,-2.24,否
93,851.72亿,0.17,57.91亿,851.72亿,SH,600021,29.59,6.73,20.95,1.90亿,32.30,31.78,1.17,4.02,30.19,上海电力,否,1,False,0.05,否
94,3428.37亿,-3.25,121.34亿,4050.57亿,SZ,300059,25.61,3.50,33.39,4.68亿,31.98,26.33,1.18,4.56,25.63,东方财富,否,0,False,-0.86,否
95,1324.89亿,-3.85,16.66亿,1324.89亿,SZ,000617,10.47,1.24,24.86,1.57亿,31.52,10.84,1.05,1.28,10.48,中油资本,否,0,False,-0.42,否
96,2627.16亿,-2.76,26.36亿,2627.24亿,SZ,300760,216.00,0.99,26.03,1200.15万,30.54,224.50,1.93,6.69,216.69,迈瑞医疗,否,0,False,-6.14,否
97,161.58亿,0.16,8.79亿,2690.57亿,SH,600930,6.43,5.42,26.19,1.36亿,30.42,6.52,1.83,2.44,6.45,华电新能,否,1,False,0.01,否
98,56.16亿,-0.61,1.06亿,798.46亿,SZ,001391,6.54,1.88,32.62,1610.77万,29.74,6.60,0.96,3.06,6.54,国货航,否,0,False,-0.04,否
99,654.25亿,-1.68,12.27亿,705.95亿,SZ,002920,117.48,1.87,29.62,1034.07万,29.59,120.25,0.79,4.82,118.28,德赛西威,否,0,False,-2.02,否
100,594.33亿,1.21,9651.30万,594.33亿,SH,600236,7.39,0.16,18.42,1283.22万,29.22,7.58,1.18,3.39,7.54,桂冠电力,否,1,False,0.09,否
101,731.99亿,-6.88,24.73亿,745.21亿,SZ,002179,34.56,3.37,32.18,7017.14万,28.91,35.98,3.14,3.14,35.18,中航光电,否,0,False,-2.60,否
102,1.69万亿,-0.43,137.98亿,1.82万亿,SZ,300750,396.83,0.81,27.80,3430.61万,28.49,409.08,1.07,5.78,398.29,宁德时代,否,0,False,-1.71,否
103,871.75亿,-2.10,1.06亿,1445.41亿,SZ,001289,17.23,0.12,24.68,610.75万,27.92,17.66,1.35,1.90,17.29,龙源电力,否,0,False,-0.37,否
104,567.96亿,-2.56,28.34亿,580.26亿,SH,600549,36.55,4.95,24.42,7688.79万,27.54,37.66,0.82,3.46,36.55,厦门钨业,否,1,False,-0.96,否
105,945.11亿,-1.59,8.20亿,945.12亿,SZ,000408,60.00,0.86,25.77,1347.20万,27.29,61.85,1.19,6.25,60.19,藏格矿业,否,0,False,-0.97,否
106,604.82亿,-1.08,23.49亿,1075.56亿,SH,603296,103.88,3.83,26.03,2188.02万,27.06,110.99,1.61,4.32,105.89,华勤技术,否,1,False,-1.16,否
107,1907.59亿,1.76,21.06亿,2049.76亿,SH,600031,22.24,1.10,21.54,9328.33万,26.90,22.80,1.16,2.89,22.51,三一重工,否,1,False,0.39,否
108,3094.85亿,1.67,252.03亿,4036.13亿,SZ,300274,192.31,8.00,25.48,1.27亿,26.35,203.88,1.41,9.38,194.68,阳光电源,否,0,False,3.19,否
109,549.60亿,4.53,37.89亿,692.07亿,SZ,002202,15.52,6.87,20.08,2.30亿,26.09,16.93,1.37,1.80,16.38,金风科技,否,0,False,0.71,否
110,444.87亿,-5.76,19.13亿,503.13亿,SZ,002517,23.40,4.25,23.83,8021.45万,26.04,25.36,1.81,4.93,23.55,恺英网络,否,0,False,-1.44,否
111,737.98亿,-1.67,9.60亿,870.98亿,SH,601788,18.88,1.29,24.39,5052.97万,25.99,19.20,1.05,1.46,18.89,光大证券,否,1,False,-0.32,否
112,447.27亿,-1.21,3.88亿,547.33亿,SZ,002422,34.01,0.86,34.19,1129.04万,25.62,34.67,1.19,2.33,34.25,科伦药业,否,0,False,-0.42,否
113,521.94亿,0.87,3.85亿,521.94亿,SH,601021,52.68,0.74,16.76,720.26万,25.08,53.78,1.51,2.98,53.35,春秋航空,否,1,False,0.46,否
114,795.18亿,-0.41,61.20亿,830.87亿,SZ,002074,45.62,7.60,24.60,1.32亿,24.97,47.32,1.50,2.92,45.81,国轩高科,否,0,False,-0.19,否
115,1946.31亿,-2.37,16.50亿,1955.01亿,SH,600406,24.20,0.84,30.20,6720.61万,24.91,25.00,1.28,4.01,24.34,国电南瑞,否,1,False,-0.59,否
