SERIAL,PER_NAV,CHG,STARTDATE,TRADING_VOLUMES,PREMIUM,FOUND_DATE,QJFE_DAY{2025-12-18},SECURITY_CODE,NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE
1,4.6896,0.43,2012-04-05,39.02亿,-0.002,2012-05-04,8820.00万,510300,4.688,沪深300ETF,1,False,0.020,902.49亿,0.40|2025-12-19,T+1,4215.62亿|2025-12-18
2,4.4914,0.47,2013-02-18,8.90亿,0.000,2013-03-06,90.00万,510310,4.491,沪深300ETF易方达,1,False,0.021,664.27亿,0.40|2025-12-19,T+1,2971.68亿|2025-12-18
3,4.7562,0.44,2012-12-17,3.34亿,-0.001,2012-12-25,630.00万,510330,4.755,沪深300ETF华夏,1,False,0.021,475.75亿,0.40|2025-12-19,T+1,2253.78亿|2025-12-18
4,4.7641,0.51,2012-04-05,8.21亿,0.002,2012-05-07,1800.00万,159919,4.766,沪深300ETF,0,False,0.024,408.31亿,0.40|2025-12-19,T+1,1937.49亿|2025-12-18
5,3.0761,0.46,2004-11-29,26.65亿,0.002,2004-12-30,-5220.00万,510050,3.078,上证50ETF,1,False,0.014,571.10亿,0.36|2025-12-19,T+1,1750.48亿|2025-12-18
6,7.2871,0.90,2013-01-10,18.29亿,-0.001,2013-02-06,400.00万,510500,7.286,中证500ETF,1,False,0.065,186.22亿,0.98|2025-12-19,T+1,1343.91亿|2025-12-18
7,3.1065,0.49,2011-08-15,33.26亿,0.001,2011-09-20,6.22亿,159915,3.107,创业板ETF,0,False,0.015,321.37亿,0.49|2025-12-19,T+1,993.47亿|2025-12-18
8,9.3232,-0.05,2013-06-24,34.44亿,-0.010,2013-07-18,800.00万,518880,9.313,黄金ETF,1,False,-0.005,98.80亿,-0.01|2025-12-19,T+0,921.19亿|2025-12-18
9,-,0.00,2012-12-19,143.13亿,-0.001,2012-12-27,258.54万,511990,99.999,华宝添益ETF,1,False,-0.001,8.59亿,0.00|2025-12-19,T+0,858.75亿|2025-12-18
10,101.1726,0.00,2013-03-18,115.63亿,-0.003,2013-04-01,-159.09万,511880,101.170,银华日利ETF,1,False,0.004,8.34亿,0.01|2025-12-19,T+0,843.57亿|2025-12-18
11,0.8635,1.53,2021-08-23,18.36亿,0.001,2021-09-15,1.63亿,159792,0.864,港股通互联网ETF,0,False,0.013,932.44亿,0.81|2025-12-19,T+0,798.73亿|2025-12-18
12,1.3778,0.29,2020-09-22,25.12亿,0.002,2020-09-28,3.20亿,588000,1.380,科创50ETF,1,False,0.004,539.89亿,0.20|2025-12-19,T+1,742.35亿|2025-12-18
13,2.9716,0.85,2016-08-24,10.06亿,0.002,2016-09-29,-7000.00万,512100,2.974,中证1000ETF,1,False,0.025,251.75亿,0.79|2025-12-19,T+1,742.22亿|2025-12-18
14,112.7609,0.00,2020-04-30,183.38亿,-0.021,2020-08-03,-42.20万,511360,112.740,短融ETF,1,False,0.005,6.26亿,0.01|2025-12-19,T+0,705.34亿|2025-12-18
15,1.3338,0.38,2020-09-22,6.88亿,0.002,2020-09-28,1.17亿,588080,1.336,科创板50ETF,1,False,0.005,517.25亿,0.20|2025-12-19,T+1,688.51亿|2025-12-18
16,1.2104,0.41,2016-06-20,16.77亿,0.001,2016-07-26,-1400.00万,512880,1.211,证券ETF,1,False,0.005,469.32亿,0.42|2025-12-19,T+1,565.67亿|2025-12-18
17,13.5019,0.42,2020-02-10,90.02亿,-0.007,2020-03-06,-2780.00万,511380,13.495,可转债ETF,1,False,0.057,40.56亿,0.36|2025-12-19,T+0,545.70亿|2025-12-18
18,0.7330,1.81,2021-05-12,37.52亿,0.000,2021-05-18,1.97亿,513180,0.733,恒生科技指数ETF,1,False,0.013,663.48亿,1.05|2025-12-19,T+0,481.29亿|2025-12-18
19,3.0225,0.77,2021-03-04,15.59亿,-0.001,2021-03-18,-7600.00万,159845,3.022,中证1000ETF,0,False,0.023,153.54亿,0.79|2025-12-19,T+1,460.43亿|2025-12-18
20,0.7185,1.84,2021-05-12,46.99亿,0.001,2021-05-24,2.82亿,513130,0.719,恒生科技ETF,1,False,0.013,599.53亿,0.87|2025-12-19,T+0,427.05亿|2025-12-18
21,115.0227,0.01,2022-08-03,23.85亿,-0.085,2022-08-19,-89.00万,511520,114.938,政金债券ETF,1,False,0.015,3.68亿,0.09|2025-12-19,T+0,422.63亿|2025-12-18
22,9.3038,-0.02,2014-08-04,8.33亿,-0.009,2014-08-13,-250.00万,159937,9.295,黄金ETF基金,0,False,-0.002,44.03亿,-0.01|2025-12-19,T+0,409.63亿|2025-12-18
23,1.4807,1.36,2016-12-12,18.91亿,0.004,2017-01-04,3800.00万,513050,1.491,中概互联网ETF,1,False,0.020,270.32亿,-0.45|2025-12-18,T+0,400.27亿|2025-12-18
24,0.5786,0.35,2016-08-01,8.88亿,-0.001,2016-08-30,9000.00万,512000,0.578,券商ETF,1,False,0.002,691.44亿,0.43|2025-12-19,T+1,398.34亿|2025-12-18
25,2.2264,-0.04,2022-09-23,15.94亿,0.006,2022-09-30,6300.00万,588200,2.232,科创芯片ETF,1,False,-0.001,173.98亿,-0.34|2025-12-19,T+1,388.65亿|2025-12-18
26,9.7389,-0.02,2013-10-28,7.96亿,-0.010,2013-11-29,300.00万,159934,9.729,黄金ETF,0,False,-0.002,36.55亿,-0.01|2025-12-19,T+0,355.94亿|2025-12-18
27,0.6659,2.30,2022-06-17,5.15亿,0.000,2022-06-30,-4000.00万,159636,0.666,港股通科技30ETF,0,False,0.015,529.41亿,1.26|2025-12-19,T+0,348.14亿|2025-12-18
28,0.5209,1.56,2021-01-18,27.72亿,-0.001,2021-01-26,4800.00万,513330,0.520,恒生互联网ETF,1,False,0.008,668.33亿,1.11|2025-12-19,T+0,344.33亿|2025-12-18
