SERIAL,PER_NAV,CHG,TRADING_VOLUMES,PREMIUM,SECURITY_CODE,QJFE_DAY{2025-12-23},ETF_TYPE,NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE
1,9.6222,0.03,71.37亿,0.012,518880,1.57亿,黄金ETF,9.642,黄金ETF,1,False,0.003,101.30亿,1.42|2025-12-23,T+0,974.69亿|2025-12-23
2,9.6970,0.02,8.05亿,0.014,518850,1440.00万,黄金ETF,9.711,黄金ETF华夏,1,False,0.002,11.80亿,0.08|2025-12-24,T+0,114.33亿|2025-12-23
3,9.5126,0.03,8.44亿,0.011,518800,190.00万,黄金ETF,9.524,黄金基金ETF,1,False,0.003,32.13亿,0.08|2025-12-24,T+0,305.41亿|2025-12-23
4,10.0729,0.06,2.74亿,0.001,518680,100.00万,黄金ETF,10.074,金ETF,1,False,0.006,5.91亿,0.14|2025-12-24,T+0,59.43亿|2025-12-23
5,9.6355,0.05,3.90亿,0.011,518660,-30.00万,黄金ETF,9.646,黄金ETF基金,1,False,0.005,7.06亿,0.09|2025-12-24,T+0,67.97亿|2025-12-23
6,9.6090,0.04,16.57亿,0.013,159937,2340.00万,黄金ETF,9.622,黄金ETF基金,0,False,0.004,44.02亿,0.08|2025-12-24,T+0,422.62亿|2025-12-23
7,10.0594,0.03,19.66亿,0.014,159934,1470.00万,黄金ETF,10.073,黄金ETF,0,False,0.003,36.59亿,0.08|2025-12-24,T+0,367.76亿|2025-12-23
8,1.4011,0.00,9957.59万,0.001,515450,3200.00万,风格策略,1.402,红利低波50ETF,1,False,0.000,106.57亿,-0.04|2025-12-24,T+1,149.38亿|2025-12-23
9,1.3609,0.44,1.88亿,0.001,515180,-7600.00万,风格策略,1.362,红利ETF易方达,1,False,0.006,83.78亿,0.24|2025-12-24,T+1,113.74亿|2025-12-23
10,1.4358,0.21,1.26亿,0.004,515100,2650.00万,风格策略,1.440,红利低波100ETF,1,False,0.003,39.46亿,-0.05|2025-12-23,T+1,56.66亿|2025-12-23
11,1.5345,0.33,1.40亿,0.005,515080,-600.00万,风格策略,1.539,中证红利ETF,1,False,0.005,55.66亿,0.02|2025-12-23,T+1,85.41亿|2025-12-23
12,1.1753,0.34,5.16亿,0.002,512890,4100.00万,风格策略,1.177,红利低波ETF,1,False,0.004,226.18亿,0.07|2025-12-24,T+1,265.65亿|2025-12-23
13,3.1639,0.16,4.01亿,0.001,510880,3200.00万,风格策略,3.165,红利ETF,1,False,0.005,60.86亿,0.08|2025-12-24,T+1,192.41亿|2025-12-23
14,0.7619,1.33,2.13亿,-0.001,588790,-2100.00万,行业主题,0.761,科创AIETF,1,False,0.010,75.64亿,1.45|2025-12-24,T+1,56.81亿|2025-12-23
15,1.5623,1.43,2.09亿,-0.001,588750,-5100.00万,行业主题,1.561,科创芯片50ETF,1,False,0.022,35.92亿,1.27|2025-12-24,T+1,55.42亿|2025-12-23
16,2.3128,1.34,21.16亿,0.030,588200,-1.77亿,行业主题,2.343,科创芯片ETF,1,False,0.031,170.05亿,0.96|2025-12-23,T+1,393.29亿|2025-12-23
17,0.9553,1.06,8.63亿,0.000,562500,1.65亿,行业主题,0.955,机器人ETF,1,False,0.010,267.79亿,1.11|2025-12-24,T+1,253.01亿|2025-12-23
18,0.8192,0.73,1.96亿,0.007,561910,-1.13亿,行业主题,0.826,电池ETF,1,False,0.006,69.10亿,2.22|2025-12-23,T+1,56.61亿|2025-12-23
19,1.5098,0.53,4.62亿,0.008,560860,2600.00万,行业主题,1.518,工业有色ETF,1,False,0.008,50.27亿,0.13|2025-12-23,T+1,75.90亿|2025-12-23
20,2.0809,-0.24,4.74亿,-0.002,517520,-6100.00万,行业主题,2.079,黄金股ETF,1,False,-0.005,61.46亿,-0.58|2025-12-24,T+1,128.64亿|2025-12-23
