SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,IFSTSTOCK{2025-11-13},TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,PETTM{2025-11-13},BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,TOAL_MARKET_VALUE<140>
184,509.87亿,-0.71,18.44,否,1.70亿,930.74万,SH,601607,上交所主板,12.01,18.24,0.95,9.88,0.89,18.28,上海医药,否,0.33,1,False,-0.13,677.89亿
185,654.45亿,3.73,36.36,否,23.43亿,6571.73万,SH,600096,上交所主板,11.61,34.61,1.07,10.38,2.70,35.90,云天化,否,3.60,1,False,1.29,654.45亿
186,1341.90亿,0.58,14.12,否,3.31亿,2366.89万,SZ,002736,深交所主板,11.46,13.88,0.80,11.74,1.47,13.96,国信证券,否,0.25,0,False,0.08,1429.75亿
187,1.59万亿,-1.31,9.90,否,11.44亿,1.16亿,SH,601857,上交所主板,11.35,9.77,1.58,10.66,1.15,9.81,中国石油,否,0.07,1,False,-0.13,1.80万亿
188,1328.87亿,0.14,14.60,否,3.90亿,2704.92万,SH,601898,上交所主板,11.20,14.25,1.28,11.57,1.22,14.52,中煤能源,否,0.30,1,False,0.02,1925.16亿
189,795.66亿,3.35,26.28,否,6.78亿,2612.40万,SZ,002001,深交所主板,11.18,25.39,1.37,11.35,2.50,26.20,新 和 成,否,0.86,0,False,0.85,805.24亿
190,356.08亿,-1.15,20.99,否,5697.70万,275.13万,SZ,001872,深交所主板,11.17,20.61,1.84,10.09,0.80,20.64,招商港口,否,0.16,0,False,-0.24,512.24亿
191,859.03亿,-2.91,29.18,否,11.04亿,3829.54万,SH,600938,上交所主板,11.08,28.55,1.94,10.04,1.74,28.73,中国海油,否,1.28,1,False,-0.86,1.37万亿
192,637.31亿,-3.16,9.90,否,2.85亿,2967.61万,SH,600039,上交所主板,10.67,9.43,1.62,11.68,1.66,9.49,四川路桥,否,0.44,1,False,-0.31,825.21亿
193,469.65亿,-1.91,8.92,否,1.39亿,1591.33万,SH,601298,上交所主板,10.31,8.69,2.24,10.14,1.25,8.71,青岛港,否,0.30,1,False,-0.17,565.37亿
194,2.69万亿,-1.75,8.61,否,20.64亿,2.42亿,SH,601288,上交所主板,10.24,8.42,1.50,10.03,1.08,8.44,农业银行,否,0.08,1,False,-0.15,2.95万亿
195,463.61亿,0.00,3.77,否,2.27亿,6062.04万,SH,601991,上交所主板,10.20,3.71,0.86,7.73,1.97,3.74,大唐发电,否,0.49,1,False,0.00,692.15亿
196,617.08亿,0.38,18.42,否,5.26亿,2881.58万,SZ,002648,深交所主板,10.07,18.07,1.11,12.33,1.93,18.33,卫星化学,否,0.86,0,False,0.07,617.47亿
197,701.28亿,-1.32,5.32,否,2.30亿,4367.97万,SH,600023,上交所主板,9.62,5.23,1.47,8.44,0.93,5.23,浙能电力,否,0.33,1,False,-0.07,701.28亿
198,657.97亿,0.92,20.87,否,1.53亿,738.31万,SH,600741,上交所主板,9.53,20.55,1.03,10.53,1.02,20.87,华域汽车,否,0.23,1,False,0.19,657.97亿
199,452.75亿,-1.30,5.41,否,3.07亿,5744.62万,SH,600027,上交所主板,9.38,5.30,1.47,7.20,1.27,5.32,华电国际,否,0.68,1,False,-0.07,617.75亿
200,750.31亿,0.17,5.74,否,3.85亿,6718.71万,SH,601669,上交所主板,9.23,5.71,0.48,9.92,0.69,5.74,中国电建,否,0.51,1,False,0.01,988.78亿
201,1313.44亿,-0.88,5.71,否,1.97亿,3487.93万,SH,600018,上交所主板,9.12,5.62,1.95,8.75,0.94,5.65,上港集团,否,0.15,1,False,-0.05,1315.40亿
202,884.22亿,-1.35,8.18,否,3.35亿,4146.25万,SH,600011,上交所主板,8.67,8.02,1.40,6.38,1.89,8.04,华能国际,否,0.38,1,False,-0.11,1262.13亿
203,3872.96亿,-1.70,5.89,否,6.90亿,1.19亿,SH,601658,上交所主板,7.94,5.77,1.82,6.79,0.68,5.77,邮储银行,否,0.18,1,False,-0.10,6929.48亿
204,3846.82亿,-1.11,11.72,否,9.32亿,8026.76万,SH,600000,上交所主板,7.87,11.51,1.48,7.43,0.53,11.55,浦发银行,否,0.24,1,False,-0.13,3846.82亿
205,2.18万亿,-1.22,8.24,否,15.72亿,1.93亿,SH,601398,上交所主板,7.86,8.08,1.42,8.01,0.75,8.09,工商银行,否,0.07,1,False,-0.10,2.88万亿
206,6468.53亿,1.08,61.38,否,32.16亿,5279.53万,SH,601318,上交所主板,7.83,60.29,1.60,6.20,1.11,60.68,中国平安,否,0.50,1,False,0.65,1.10万亿
207,1.20万亿,-1.39,5.81,否,12.84亿,2.24亿,SH,601988,上交所主板,7.63,5.66,1.91,7.73,0.68,5.68,中国银行,否,0.11,1,False,-0.08,1.83万亿
208,9256.06亿,-0.34,45.07,否,3.76亿,843.97万,SH,601628,上交所主板,7.38,44.17,1.23,5.62,2.01,44.45,中国人寿,否,0.04,1,False,-0.15,1.26万亿
209,906.60亿,-1.46,9.71,否,6.09亿,6392.96万,SH,601939,上交所主板,7.33,9.43,1.63,7.20,0.72,9.45,建设银行,否,0.67,1,False,-0.14,2.47万亿
210,3130.90亿,0.00,9.02,否,4.81亿,5419.93万,SH,601319,上交所主板,7.31,8.79,1.63,6.25,1.24,8.82,中国人保,否,0.15,1,False,0.00,3900.56亿
211,8835.38亿,-0.23,43.24,否,13.41亿,3124.62万,SH,600036,上交所主板,7.25,42.74,1.00,7.12,0.99,42.83,招商银行,否,0.15,1,False,-0.10,1.08万亿
212,2252.94亿,-0.73,41.32,否,12.02亿,2938.67万,SZ,000651,深交所主板,7.22,40.75,1.29,8.00,1.58,40.85,格力电器,否,0.53,0,False,-0.30,2288.17亿
213,845.57亿,-0.22,9.11,否,8778.28万,970.85万,SH,601825,上交所主板,7.03,8.99,0.99,6.17,0.69,9.02,沪农商行,否,0.10,1,False,-0.02,869.93亿
214,1036.50亿,0.00,8.81,否,7843.24万,891.91万,SH,601800,上交所主板,6.90,8.78,0.76,7.87,0.49,8.80,中国交建,否,0.08,1,False,0.00,1432.52亿
215,1924.15亿,-0.94,7.48,否,7.71亿,1.04亿,SH,601328,上交所主板,6.87,7.37,1.36,6.99,0.57,7.38,交通银行,否,0.40,1,False,-0.07,6521.25亿
216,2500.49亿,0.08,36.89,否,6.07亿,1660.65万,SH,601601,上交所主板,6.71,36.36,0.86,5.77,1.24,36.53,中国太保,否,0.24,1,False,0.03,3514.31亿
217,1928.49亿,-0.38,29.55,否,3.54亿,1206.24万,SZ,002142,深交所主板,6.68,29.17,0.94,6.45,0.89,29.22,宁波银行,否,0.18,0,False,-0.11,1929.57亿
218,616.03亿,-1.41,7.14,否,2.56亿,3647.86万,SH,601077,上交所主板,6.65,6.95,1.24,5.55,0.60,6.97,渝农商行,否,0.41,1,False,-0.10,791.58亿
219,1419.34亿,-0.95,11.64,否,3.03亿,2624.80万,SH,601009,上交所主板,6.60,11.46,0.82,5.91,0.78,11.48,南京银行,否,0.21,1,False,-0.11,1419.34亿
220,3261.04亿,-1.60,8.17,否,2.49亿,3095.56万,SH,601998,上交所主板,6.35,7.97,1.27,6.25,0.62,8.00,中信银行,否,0.08,1,False,-0.13,4451.61亿
221,1941.93亿,-0.39,15.55,否,5.21亿,3374.08万,SH,601919,上交所主板,6.27,15.38,0.88,6.61,1.03,15.40,中远海控,否,0.27,1,False,-0.06,2385.42亿
222,1162.74亿,-0.68,16.23,否,3.81亿,2365.49万,SH,600926,上交所主板,6.12,16.03,1.18,5.49,0.87,16.04,杭州银行,否,0.33,1,False,-0.11,1162.74亿
223,661.41亿,-0.65,3.11,否,3.42亿,1.11亿,SH,601916,上交所主板,6.04,3.06,1.63,5.42,0.48,3.07,浙商银行,否,0.52,1,False,-0.02,843.16亿
224,1443.63亿,-0.59,10.28,否,3.68亿,3607.25万,SH,601229,上交所主板,6.00,10.13,1.35,5.99,0.60,10.16,上海银行,否,0.25,1,False,-0.06,1443.63亿
225,2011.31亿,-1.53,11.18,否,7.67亿,6954.38万,SH,600919,上交所主板,5.88,10.95,1.41,4.93,0.79,10.96,江苏银行,否,0.38,1,False,-0.17,2011.31亿
226,1425.58亿,-0.74,4.07,否,10.72亿,2.66亿,SH,600016,上交所主板,5.80,4.01,1.73,4.62,0.31,4.02,民生银行,否,0.75,1,False,-0.03,1760.05亿
227,4478.06亿,-0.66,21.42,否,9.20亿,4336.62万,SH,601166,上交所主板,5.79,21.13,1.13,5.32,0.56,21.16,兴业银行,否,0.20,1,False,-0.14,4478.06亿
228,1165.02亿,0.00,5.71,否,2.09亿,3662.34万,SH,601390,上交所主板,5.67,5.68,0.87,6.04,0.45,5.69,中国中铁,否,0.18,1,False,0.00,1407.76亿
229,1434.16亿,-1.02,69.77,否,7.69亿,1115.75万,SH,601336,上交所主板,5.59,68.33,1.16,4.90,2.13,68.77,新华保险,否,0.54,1,False,-0.71,2145.31亿
230,718.01亿,-0.99,17.21,否,4.82亿,2830.63万,SH,601838,上交所主板,5.40,16.96,1.53,5.68,0.85,16.97,成都银行,否,0.67,1,False,-0.17,719.26亿
231,2251.05亿,-0.68,11.72,否,7.21亿,6207.05万,SZ,000001,深交所主板,5.22,11.57,1.42,4.40,0.50,11.60,平安银行,否,0.32,0,False,-0.08,2251.09亿
232,921.41亿,-0.25,8.04,否,1.71亿,2132.97万,SH,601186,上交所主板,5.10,7.99,1.23,5.51,0.40,8.01,中国铁建,否,0.19,1,False,-0.02,1087.72亿
233,1605.68亿,-1.14,3.52,否,6.59亿,1.89亿,SH,601818,上交所主板,5.07,3.46,1.61,4.14,0.41,3.46,光大银行,否,0.41,1,False,-0.04,2044.36亿
234,2243.70亿,-0.37,5.47,否,7.81亿,1.44亿,SH,601668,上交所主板,5.02,5.42,1.53,4.41,0.47,5.43,中国建筑,否,0.35,1,False,-0.02,2243.70亿
235,1203.04亿,-0.70,5.75,否,7.06亿,1.24亿,SH,601169,上交所主板,4.65,5.68,1.42,4.28,0.43,5.69,北京银行,否,0.59,1,False,-0.04,1203.04亿
236,1067.87亿,-1.00,7.05,否,3.59亿,5148.05万,SH,600015,上交所主板,4.07,6.93,1.60,4.61,0.36,6.94,华夏银行,否,0.33,1,False,-0.07,1104.50亿
