SERIAL,PER_NAV,CHG,STARTDATE,TRADING_VOLUMES,PREMIUM,FOUND_DATE,SECURITY_CODE,QJFE_DAY{2025-10-17},NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,NEW_SCALE{2025-10-19},T0,NEW_SCALE
1,4.6173,-2.05,2012-04-05,39.10亿,0.007,2012-05-04,510300,4230.00万,4.624,沪深300ETF,1,False,-0.097,897.48亿,-2.23|2025-10-17,4143.92亿|2025-10-17,T+1,4143.92亿|2025-10-17
2,4.4470,-1.91,2013-02-18,8.85亿,0.012,2013-03-06,510310,6300.00万,4.459,沪深300ETF易方达,1,False,-0.087,670.72亿,-2.23|2025-10-17,2982.70亿|2025-10-17,T+1,2982.70亿|2025-10-17
3,4.6843,-2.00,2012-12-17,3.41亿,0.009,2012-12-25,510330,630.00万,4.693,沪深300ETF华夏,1,False,-0.096,474.04亿,-2.24|2025-10-17,2220.55亿|2025-10-17,T+1,2220.55亿|2025-10-17
4,4.7633,-2.13,2012-04-05,12.32亿,0.005,2012-05-07,159919,-,4.768,沪深300ETF,0,False,-0.104,408.63亿,-2.24|2025-10-17,1990.92亿|2025-10-16,T+1,1990.92亿|2025-10-16
5,3.1047,-1.55,2004-11-29,32.79亿,0.005,2004-12-30,510050,-2.27亿,3.110,上证50ETF,1,False,-0.049,576.38亿,-1.69|2025-10-17,1789.47亿|2025-10-17,T+1,1789.47亿|2025-10-17
6,7.1116,-3.03,2013-01-10,21.74亿,0.002,2013-02-06,510500,7280.00万,7.114,中证500ETF,1,False,-0.222,183.22亿,-2.96|2025-10-17,1303.00亿|2025-10-17,T+1,1303.00亿|2025-10-17
7,2.9147,-3.28,2011-08-15,45.77亿,0.000,2011-09-20,159915,-,2.915,创业板ETF,0,False,-0.099,338.54亿,-3.33|2025-10-17,1020.78亿|2025-10-16,T+1,1020.78亿|2025-10-16
8,0.9373,-3.59,2021-08-23,23.72亿,0.003,2021-09-15,159792,-,0.940,港股通互联网ETF,0,False,-0.035,924.41亿,-3.86|2025-10-17,901.21亿|2025-10-16,T+0,901.21亿|2025-10-16
9,9.5404,3.50,2013-06-24,150.83亿,0.028,2013-07-18,518880,1.72亿,9.568,黄金ETF,1,False,0.324,89.34亿,3.00|2025-10-17,852.35亿|2025-10-17,T+0,852.35亿|2025-10-17
10,2.9069,-2.87,2016-08-24,15.93亿,0.002,2016-09-29,512100,1.48亿,2.909,中证1000ETF,1,False,-0.086,247.81亿,-2.90|2025-10-17,720.37亿|2025-10-17,T+1,720.37亿|2025-10-17
11,1.4314,-3.63,2020-09-22,60.25亿,0.002,2020-09-28,588000,7.43亿,1.433,科创50ETF,1,False,-0.054,496.65亿,-3.76|2025-10-17,710.90亿|2025-10-17,T+1,710.90亿|2025-10-17
12,100.9879,0.02,2013-03-18,185.05亿,0.025,2013-04-01,511880,25.73万,101.013,银华日利ETF,1,False,0.022,6.90亿,0.01|2025-10-17,696.89亿|2025-10-17,T+0,696.89亿|2025-10-17
13,1.3860,-3.68,2020-09-22,20.16亿,0.002,2020-09-28,588080,-2.70亿,1.388,XD科创板50ETF,1,False,-0.053,499.94亿,-3.74|2025-10-17,692.91亿|2025-10-17,T+1,692.91亿|2025-10-17
14,-,0.01,2012-12-19,169.91亿,0.014,2012-12-27,511990,436.65万,100.014,华宝添益ETF,1,False,0.010,6.92亿,0.01|2025-10-19,691.88亿|2025-10-17,T+0,691.88亿|2025-10-17
15,112.4817,0.02,2020-04-30,480.17亿,0.011,2020-08-03,511360,2000.00万,112.493,短融ETF,1,False,0.024,5.40亿,0.00|2025-10-17,607.01亿|2025-10-17,T+0,607.01亿|2025-10-17
16,1.2331,-2.07,2016-06-20,37.55亿,0.000,2016-07-26,512880,6.10亿,1.233,证券ETF,1,False,-0.026,474.45亿,-2.08|2025-10-17,585.05亿|2025-10-17,T+1,585.05亿|2025-10-17
17,13.2087,-0.91,2020-02-10,128.98亿,0.009,2020-03-06,511380,2080.00万,13.218,可转债ETF,1,False,-0.122,43.62亿,-0.92|2025-10-17,576.14亿|2025-10-17,T+0,576.14亿|2025-10-17
18,2.9587,-2.63,2021-03-04,4.86亿,0.005,2021-03-18,159845,-,2.964,中证1000ETF,0,False,-0.080,144.44亿,-2.90|2025-10-17,440.14亿|2025-10-16,T+1,440.14亿|2025-10-16
19,114.6630,0.18,2022-08-03,52.05亿,0.008,2022-08-19,511520,734.00万,114.671,政金债券ETF,1,False,0.207,3.78亿,0.17|2025-10-17,433.26亿|2025-10-17,T+0,433.26亿|2025-10-17
20,0.7767,-3.21,2021-05-12,61.82亿,0.008,2021-05-18,513180,9.57亿,0.785,恒生科技指数ETF,1,False,-0.026,554.04亿,-4.05|2025-10-17,430.32亿|2025-10-17,T+0,430.32亿|2025-10-17
21,1.6145,-2.72,2016-12-12,26.13亿,-0.057,2017-01-04,513050,100.00万,1.573,中概互联网ETF,1,False,-0.044,243.91亿,-0.93|2025-10-16,393.78亿|2025-10-16,T+0,393.78亿|2025-10-16
22,0.7612,-3.27,2021-05-12,73.05亿,0.009,2021-05-24,513130,8.81亿,0.770,恒生科技ETF,1,False,-0.026,513.93亿,-4.30|2025-10-17,391.21亿|2025-10-17,T+0,391.21亿|2025-10-17
23,2.3018,-4.12,2022-09-23,50.65亿,0.001,2022-09-30,588200,-4.38亿,2.303,科创芯片ETF,1,False,-0.099,167.23亿,-4.21|2025-10-17,384.93亿|2025-10-17,T+1,384.93亿|2025-10-17
24,1.4124,-3.52,2022-06-17,11.00亿,0.014,2022-06-30,159636,-,1.426,港股通科技30ETF,0,False,-0.052,259.39亿,-4.02|2025-10-17,381.70亿|2025-10-16,T+0,381.70亿|2025-10-16
25,9.5219,3.62,2014-08-04,50.20亿,0.036,2014-08-13,159937,-,9.558,黄金ETF基金,0,False,0.334,40.44亿,3.00|2025-10-17,373.88亿|2025-10-16,T+0,373.88亿|2025-10-16
26,0.5894,-1.83,2016-08-01,18.02亿,0.001,2016-08-30,512000,9.26亿,0.590,券商ETF,1,False,-0.011,630.34亿,-2.08|2025-10-17,371.52亿|2025-10-17,T+1,371.52亿|2025-10-17
