SERIAL,PER_NAV,CHG,STARTDATE,TRADING_VOLUMES,PREMIUM,FOUND_DATE,SECURITY_CODE,QJFE_DAY{2025-10-24},NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE,NEW_SCALE{2025-10-26}
58,1.0462,1.65,2021-06-01,12.81亿,0.001,2021-06-15,159755,-,1.047,电池ETF,0,False,0.017,150.32亿,1.67|2025-10-24,T+1,154.68亿|2025-10-23,154.68亿|2025-10-23
59,1.6137,0.62,2012-07-09,5.37亿,0.002,2012-08-09,159920,-,1.616,恒生ETF,0,False,0.010,96.08亿,0.76|2025-10-24,T+0,153.87亿|2025-10-23,153.87亿|2025-10-23
60,1.2046,2.55,2016-06-20,7.73亿,0.003,2016-07-26,512660,6300.00万,1.208,军工ETF,1,False,0.030,125.38亿,2.37|2025-10-24,T+1,151.03亿|2025-10-24,151.03亿|2025-10-24
61,134.6660,-0.05,2017-07-17,65.34亿,-0.144,2017-08-04,511260,0.00,134.522,十年国债ETF,1,False,-0.064,1.09亿,-0.05|2025-10-24,T+0,146.66亿|2025-10-24,146.66亿|2025-10-24
62,1.9196,3.51,2017-03-22,7.48亿,-0.001,2017-04-25,159952,-,1.919,创业板ETF广发,0,False,0.065,77.99亿,3.56|2025-10-24,T+1,144.56亿|2025-10-23,144.56亿|2025-10-23
63,0.6934,2.21,2019-05-24,8.33亿,0.001,2019-07-23,512710,-2.73亿,0.694,军工龙头ETF,1,False,0.015,201.08亿,1.99|2025-10-24,T+1,139.43亿|2025-10-24,139.43亿|2025-10-24
64,1.1870,-1.82,2020-01-02,14.43亿,0.001,2020-01-20,515220,4.37亿,1.188,煤炭ETF,1,False,-0.022,114.51亿,-1.75|2025-10-24,T+1,135.92亿|2025-10-24,135.92亿|2025-10-24
65,0.9329,1.74,2020-12-01,4.80亿,0.000,2020-12-07,515790,-1.02亿,0.933,光伏ETF,1,False,0.016,144.17亿,1.89|2025-10-24,T+1,134.50亿|2025-10-24,134.50亿|2025-10-24
66,0.8912,0.56,2014-06-09,4.95亿,-0.001,2014-06-26,512070,8300.00万,0.890,证券保险ETF,1,False,0.005,150.72亿,0.62|2025-10-24,T+1,134.33亿|2025-10-24,134.33亿|2025-10-24
67,1.4463,-0.34,2019-12-23,1.53亿,-0.001,2020-01-17,515450,500.00万,1.445,红利低波50ETF,1,False,-0.005,92.46亿,-0.32|2025-10-24,T+1,133.72亿|2025-10-24,133.72亿|2025-10-24
68,2.9393,1.62,2013-01-07,3.48亿,0.001,2013-02-06,159922,-,2.940,中证500ETF,0,False,0.047,45.64亿,1.63|2025-10-24,T+1,132.00亿|2025-10-23,132.00亿|2025-10-23
69,1.9429,0.00,2023-10-16,3.23亿,-0.004,2023-10-24,517520,-7150.00万,1.939,黄金股ETF,1,False,0.000,66.59亿,0.20|2025-10-24,T+1,129.38亿|2025-10-24,129.38亿|2025-10-24
70,3.0433,1.74,2022-07-22,2.32亿,-0.001,2022-07-27,159629,-,3.042,1000ETF,0,False,0.052,40.63亿,1.54|2025-10-24,T+1,121.78亿|2025-10-23,121.78亿|2025-10-23
71,1.8686,1.59,2023-07-10,9.81亿,0.387,2023-07-19,159509,-,2.238,纳指科技ETF,0,False,0.035,64.84亿,0.98|2025-10-23,T+0,121.15亿|2025-10-23,121.15亿|2025-10-23
72,1.5001,4.24,2020-09-22,5.06亿,0.000,2020-09-28,588050,-1.04亿,1.500,科创ETF,1,False,0.061,80.41亿,4.35|2025-10-24,T+1,120.63亿|2025-10-24,120.63亿|2025-10-24
73,0.9063,0.55,2020-03-02,3.79亿,0.001,2020-03-20,159992,-,0.907,创新药ETF,0,False,0.005,126.70亿,0.50|2025-10-24,T+1,114.25亿|2025-10-23,114.25亿|2025-10-23
