CIRCULATION_MARKET_VALUE<140>,SERIAL,CHG,PETTMDEDUCTED{2025-12-19},PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,IFSTSTOCK{2025-12-19},PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,TOAL_MARKET_VALUE<140>
830.64亿,1,0.00,47.77|2025-12-19,4.65,14.92亿,3.25亿,SZ,000100,深交所主板,4.53,0.76,23.50,否,1.57,4.59,TCL科技,否,1.79,0,False,0.00,954.76亿
1203.80亿,2,1.20,47.74|2025-12-19,71.10,22.23亿,3176.91万,SH,601689,上交所主板,69.00,1.07,45.91,否,5.17,69.27,拓普集团,否,1.83,1,False,0.82,1203.80亿
872.38亿,3,3.66,47.59|2025-12-19,45.31,17.00亿,3812.92万,SZ,002558,深交所主板,43.22,1.20,46.18,否,5.75,45.09,巨人网络,否,1.97,0,False,1.59,872.38亿
1047.06亿,4,0.52,47.24|2025-12-19,173.55,2.69亿,155.05万,SH,600436,上交所主板,172.02,0.87,36.88,否,7.23,173.55,片仔癀,否,0.26,1,False,0.90,1047.06亿
1601.52亿,5,1.38,46.27|2025-12-19,44.18,39.29亿,8984.77万,SZ,002050,深交所主板,43.34,0.85,42.31,否,5.78,43.47,三花智控,否,2.44,0,False,0.59,1829.22亿
2498.51亿,6,1.68,45.58|2025-12-19,33.20,14.58亿,4426.94万,SH,600150,上交所主板,32.61,0.90,32.02,否,1.77,33.20,中国船舶,否,0.59,1,False,0.55,2498.51亿
888.91亿,7,1.14,45.41|2025-12-19,148.50,9.65亿,655.63万,SZ,002028,深交所主板,145.13,0.74,38.99,否,7.88,145.85,思源电气,否,1.08,0,False,1.65,1139.22亿
903.86亿,8,0.59,43.87|2025-12-19,62.95,19.39亿,3117.44万,SZ,000977,深交所主板,61.50,0.74,45.79,否,4.30,61.62,浪潮信息,否,2.13,0,False,0.36,904.88亿
945.27亿,9,1.14,43.07|2025-12-19,62.76,2.31亿,369.09万,SZ,002304,深交所主板,61.92,0.89,17.84,否,1.95,62.75,洋河股份,否,0.25,0,False,0.71,945.29亿
878.14亿,10,1.16,41.09|2025-12-19,28.48,20.09亿,7146.09万,SZ,002241,深交所主板,27.81,1.04,28.76,否,2.72,27.98,歌尔股份,否,2.28,0,False,0.32,992.07亿
970.56亿,11,0.69,39.83|2025-12-19,11.84,7.11亿,6053.93万,SZ,000625,深交所主板,11.62,0.58,28.60,否,1.52,11.75,长安汽车,否,0.73,0,False,0.08,1164.91亿
1504.26亿,12,1.12,39.34|2025-12-19,125.60,13.81亿,1107.73万,SH,603501,上交所主板,123.40,0.65,35.14,否,5.48,124.38,豪威集团,否,0.92,1,False,1.38,1504.26亿
1.16万亿,13,0.03,38.16|2025-12-19,59.22,57.94亿,9900.77万,SH,601138,上交所主板,57.74,0.64,38.61,否,7.17,58.30,工业富联,否,0.50,1,False,0.02,1.16万亿
1298.28亿,14,-0.87,38.03|2025-12-19,69.28,26.14亿,3842.21万,SZ,002463,深交所主板,67.50,0.66,35.86,否,9.32,67.52,沪电股份,否,2.00,0,False,-0.59,1299.33亿
1253.03亿,15,6.56,36.25|2025-12-19,79.80,15.53亿,1999.67万,SZ,000408,深交所主板,74.20,1.34,34.16,否,8.29,79.80,藏格矿业,否,1.27,0,False,4.91,1253.04亿
1316.38亿,16,-1.81,34.67|2025-12-19,36.80,11.41亿,3141.64万,SH,600547,上交所主板,35.86,0.86,31.83,否,5.52,36.42,山东黄金,否,0.87,1,False,-0.67,1678.94亿
1417.82亿,17,2.14,34.26|2025-12-19,272.85,3.95亿,146.19万,SH,605499,上交所主板,264.70,0.74,28.27,否,16.11,272.65,东鹏饮料,否,0.28,1,False,5.72,1417.82亿
2100.79亿,18,2.08,33.45|2025-12-19,37.86,8.24亿,2194.11万,SH,603288,上交所主板,37.18,2.15,31.15,否,5.59,37.78,海天味业,否,0.39,1,False,0.77,2210.82亿
1501.28亿,19,-0.49,32.50|2025-12-19,4.13,17.70亿,4.31亿,SZ,000725,深交所主板,4.09,0.61,24.94,否,1.14,4.09,京东方Ａ,否,1.17,0,False,-0.02,1530.23亿
1820.80亿,20,0.92,31.94|2025-12-19,121.30,15.42亿,1279.77万,SH,601127,上交所主板,118.83,0.65,29.66,否,7.70,120.60,赛力斯,否,0.85,1,False,1.10,2100.83亿
4125.42亿,21,-0.35,31.52|2025-12-19,57.87,35.34亿,6184.61万,SZ,002475,深交所主板,56.75,0.67,26.92,否,5.18,56.78,立讯精密,否,0.85,0,False,-0.20,4134.78亿
1181.51亿,22,3.76,30.84|2025-12-19,17.50,25.94亿,1.51亿,SZ,002602,深交所主板,16.57,1.24,22.05,否,4.27,17.38,世纪华通,否,2.22,0,False,0.63,1281.25亿
1122.82亿,23,-1.50,29.30|2025-12-19,50.15,9.28亿,1888.44万,SZ,002938,深交所主板,48.61,0.58,35.11,否,3.45,48.62,鹏鼎控股,否,0.82,0,False,-0.74,1127.04亿
1105.55亿,24,1.20,29.07|2025-12-19,22.08,20.19亿,9214.89万,SH,600089,上交所主板,21.70,0.37,15.12,否,1.61,21.88,特变电工,否,1.82,1,False,0.26,1105.55亿
1348.69亿,25,0.84,28.29|2025-12-19,19.60,4.64亿,2408.36万,SH,600346,上交所主板,19.10,1.04,20.14,否,2.09,19.16,恒力石化,否,0.34,1,False,0.16,1348.69亿
