SERIAL,PER_NAV,CHG,STARTDATE,PREMIUM,FOUND_DATE,SECURITY_CODE,PCHG{2025-11-06},NEWEST_PRICE,TRADING_VOLUMES{2025-11-06},SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE,QJFE_DAY{2025-11-05}
1,4.8061,1.48,2012-04-05,-0.001,2012-05-04,510300,0.070,4.805,35.07亿,沪深300ETF,1,False,895.56亿,1.43|2025-11-06,T+1,4295.02亿|2025-11-06,-1.51亿
2,4.6286,1.45,2013-02-18,-0.002,2013-03-06,510310,0.066,4.627,6.78亿,沪深300ETF易方达,1,False,666.83亿,1.43|2025-11-06,T+1,3086.38亿|2025-11-06,-4860.00万
3,4.8755,1.44,2012-12-17,-0.002,2012-12-25,510330,0.069,4.874,5.32亿,沪深300ETF华夏,1,False,474.60亿,1.43|2025-11-06,T+1,2312.02亿|2025-11-06,990.00万
4,4.9576,1.54,2012-04-05,-0.002,2012-05-07,159919,0.075,4.956,5.74亿,沪深300ETF,0,False,407.82亿,1.43|2025-11-06,T+1,1993.34亿|2025-11-05,990.00万
5,3.1911,1.27,2004-11-29,-0.001,2004-12-30,510050,0.040,3.190,20.38亿,上证50ETF,1,False,577.30亿,1.21|2025-11-06,T+1,1832.35亿|2025-11-06,8280.00万
6,7.4526,1.65,2013-01-10,-0.002,2013-02-06,510500,0.121,7.451,12.90亿,中证500ETF,1,False,181.41亿,1.62|2025-11-06,T+1,1353.26亿|2025-11-06,-40.00万
7,3.2029,1.88,2011-08-15,-0.002,2011-09-20,159915,0.059,3.201,42.51亿,创业板ETF,0,False,327.42亿,1.86|2025-11-06,T+1,1029.55亿|2025-11-05,-1400.00万
8,0.9540,1.60,2021-08-23,0.000,2021-09-15,159792,0.015,0.954,16.47亿,港股通互联网ETF,0,False,914.19亿,1.64|2025-11-06,T+0,858.06亿|2025-11-05,0.00
9,8.7800,0.56,2013-06-24,-0.025,2013-07-18,518880,0.049,8.755,35.77亿,黄金ETF,1,False,93.11亿,0.88|2025-11-06,T+0,815.69亿|2025-11-06,-210.00万
10,-,0.00,2012-12-19,0.004,2012-12-27,511990,0.000,100.004,85.01亿,华宝添益ETF,1,False,7.44亿,0.00|2025-11-06,T+0,761.19亿|2025-11-06,1791.00万
11,3.0561,1.12,2016-08-24,0.001,2016-09-29,512100,0.034,3.057,6.75亿,中证1000ETF,1,False,247.45亿,1.16|2025-11-06,T+1,755.32亿|2025-11-06,5800.00万
12,101.0436,0.01,2013-03-18,0.012,2013-04-01,511880,0.008,101.056,192.49亿,银华日利ETF,1,False,7.35亿,0.00|2025-11-06,T+0,749.70亿|2025-11-06,1174.98万
