SERIAL,PER_NAV,CHG,STARTDATE,PREMIUM,FOUND_DATE,SECURITY_CODE,PCHG{2025-11-06},NEWEST_PRICE,TRADING_VOLUMES{2025-11-06},SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE,QJFE_DAY{2025-11-05}
13,1.5086,3.36,2020-09-22,0.000,2020-09-28,588000,0.049,1.509,48.73亿,科创50ETF,1,False,500.61亿,3.33|2025-11-06,T+1,739.26亿|2025-11-06,8550.00万
14,1.4618,3.39,2020-09-22,0.000,2020-09-28,588080,0.048,1.462,13.48亿,科创板50ETF,1,False,506.42亿,3.35|2025-11-06,T+1,736.68亿|2025-11-06,7200.00万
15,112.5869,0.00,2020-04-30,0.005,2020-08-03,511360,0.004,112.592,314.13亿,短融ETF,1,False,5.91亿,0.00|2025-11-06,T+0,665.93亿|2025-11-06,374.80万
16,1.2550,1.13,2016-06-20,-0.001,2016-07-26,512880,0.014,1.254,28.98亿,证券ETF,1,False,514.29亿,1.28|2025-11-06,T+1,639.54亿|2025-11-06,6.27亿
17,13.5974,0.41,2020-02-10,-0.036,2020-03-06,511380,0.055,13.561,112.34亿,可转债ETF,1,False,43.54亿,0.49|2025-11-06,T+0,584.80亿|2025-11-06,-1850.00万
18,0.7995,2.17,2021-05-12,0.001,2021-05-18,513180,0.017,0.800,44.68亿,恒生科技指数ETF,1,False,588.25亿,2.70|2025-11-06,T+0,470.32亿|2025-11-06,11.84亿
19,3.1106,1.24,2021-03-04,-0.001,2021-03-18,159845,0.038,3.110,2.21亿,中证1000ETF,0,False,144.26亿,1.16|2025-11-06,T+1,443.60亿|2025-11-05,200.00万
20,115.1054,-0.09,2022-08-03,0.029,2022-08-19,511520,-0.104,115.134,35.16亿,政金债券ETF,1,False,3.80亿,-0.10|2025-11-06,T+0,437.05亿|2025-11-06,-38.00万
21,0.7852,2.08,2021-05-12,0.000,2021-05-24,513130,0.016,0.785,46.20亿,恒生科技ETF,1,False,551.88亿,2.68|2025-11-06,T+0,433.35亿|2025-11-06,15.72亿
22,2.4166,4.50,2022-09-23,0.000,2022-09-30,588200,0.104,2.417,48.74亿,科创芯片ETF,1,False,173.62亿,4.48|2025-11-06,T+1,405.58亿|2025-11-06,1500.00万
23,0.5999,1.18,2016-08-01,0.000,2016-08-30,512000,0.007,0.600,14.87亿,券商ETF,1,False,671.49亿,1.28|2025-11-06,T+1,401.19亿|2025-11-06,3840.00万
24,1.6003,2.12,2016-12-12,0.039,2017-01-04,513050,0.034,1.639,21.65亿,中概互联网ETF,1,False,246.20亿,-0.01|2025-11-05,T+0,394.00亿|2025-11-05,2.56亿
25,1.4476,1.97,2022-06-17,0.000,2022-06-30,159636,0.028,1.448,8.17亿,港股通科技30ETF,0,False,264.91亿,2.47|2025-11-06,T+0,374.24亿|2025-11-05,3300.00万
26,8.7631,0.54,2014-08-04,-0.028,2014-08-13,159937,0.047,8.735,10.41亿,黄金ETF基金,0,False,42.31亿,0.87|2025-11-06,T+0,367.58亿|2025-11-05,-540.00万
27,3.1056,1.17,2022-07-22,-0.003,2022-07-28,560010,0.036,3.103,8104.97万,中证1000ETF指数,1,False,111.91亿,1.16|2025-11-06,T+1,347.44亿|2025-11-06,900.00万
28,0.5666,1.98,2021-01-18,0.000,2021-01-26,513330,0.011,0.567,35.01亿,恒生互联网ETF,1,False,606.93亿,2.40|2025-11-06,T+0,343.95亿|2025-11-06,4400.00万
29,2.2137,1.93,2020-02-24,-0.001,2020-03-13,513090,0.042,2.213,134.67亿,香港证券ETF,1,False,151.57亿,2.58|2025-11-06,T+0,334.98亿|2025-11-06,9650.00万
30,119.4759,-0.42,2023-02-17,0.169,2023-05-19,511090,-0.504,119.645,77.36亿,30年国债ETF,1,False,2.73亿,-0.44|2025-11-06,T+0,328.54亿|2025-11-06,438.00万
31,9.1713,0.56,2013-10-28,-0.027,2013-11-29,159934,0.051,9.144,5.30亿,黄金ETF,0,False,34.62亿,0.88|2025-11-06,T+0,314.78亿|2025-11-05,450.00万
32,1.3633,1.82,2015-05-20,0.098,2015-06-10,159941,0.026,1.451,14.97亿,纳指ETF,0,False,222.04亿,0.74|2025-11-05,T+0,302.71亿|2025-11-05,1300.00万
33,1.7942,4.00,2019-12-24,0.001,2020-01-20,159995,0.069,1.795,11.93亿,芯片ETF,0,False,164.71亿,4.07|2025-11-06,T+1,283.96亿|2025-11-05,1.12亿
34,10.2057,-0.03,2014-10-17,-0.001,2014-11-13,511220,-0.003,10.205,5.72亿,城投债ETF,1,False,26.35亿,0.00|2025-11-06,T+0,268.97亿|2025-11-06,1000.00万
35,1.5368,1.99,2016-06-06,-0.002,2016-06-30,159949,0.030,1.535,16.46亿,创业板50ETF,0,False,177.67亿,2.05|2025-11-06,T+1,267.57亿|2025-11-05,2300.00万
36,1.2162,-0.08,2018-11-21,0.000,2018-12-19,512890,-0.001,1.216,4.56亿,红利低波ETF,1,False,211.85亿,-0.03|2025-11-06,T+1,257.37亿|2025-11-06,8300.00万
37,8.6727,0.60,2013-06-24,-0.024,2013-07-18,518800,0.052,8.649,2.26亿,黄金基金ETF,1,False,29.41亿,0.88|2025-11-06,T+0,254.93亿|2025-11-06,1540.00万
38,0.3620,-0.28,2019-04-22,0.000,2019-05-20,512170,-0.001,0.362,4.68亿,医疗ETF,1,False,700.48亿,-0.14|2025-11-06,T+1,254.66亿|2025-11-06,-2300.00万
39,1.3469,0.45,2022-06-13,0.005,2022-07-01,513120,0.006,1.352,60.52亿,港股创新药ETF,1,False,181.31亿,0.54|2025-11-06,T+0,246.36亿|2025-11-06,3.03亿
40,0.8180,2.37,2021-05-12,0.002,2021-05-18,513010,0.019,0.820,11.89亿,恒生科技ETF易方达,1,False,295.30亿,2.71|2025-11-06,T+0,241.56亿|2025-11-06,5.64亿
41,106.5623,-0.03,2018-12-10,0.014,2018-12-27,511030,-0.029,106.576,20.98亿,公司债ETF,1,False,2.21亿,-0.01|2025-11-06,T+0,239.00亿|2025-11-06,80.00万
42,0.7974,1.92,2021-05-31,0.000,2021-06-21,513980,0.015,0.797,6.02亿,港股科技50ETF,1,False,297.41亿,2.38|2025-11-06,T+0,237.16亿|2025-11-06,100.00万
43,4.1669,1.54,2006-03-09,-0.003,2006-04-13,510180,0.063,4.164,1.03亿,上证180ETF,1,False,56.87亿,1.57|2025-11-06,T+1,236.77亿|2025-11-06,700.00万
44,1.5082,3.15,2020-07-20,-0.001,2020-07-27,159819,0.046,1.507,9.09亿,人工智能ETF,0,False,161.15亿,3.11|2025-11-06,T+1,235.72亿|2025-11-05,1.62亿
45,1.0140,1.91,2021-11-11,0.001,2021-12-17,562500,0.019,1.015,11.27亿,机器人ETF,1,False,229.98亿,1.90|2025-11-06,T+1,233.23亿|2025-11-06,1.82亿
46,1.4794,3.93,2019-04-22,0.001,2019-05-08,512480,0.056,1.480,20.14亿,半导体ETF,1,False,157.51亿,3.81|2025-11-06,T+1,226.22亿|2025-11-06,1000.00万
47,2.2776,0.04,2013-11-04,0.120,2013-12-05,513500,0.001,2.389,5.89亿,标普500ETF,1,False,98.11亿,0.40|2025-11-05,T+0,223.45亿|2025-11-05,0.00
48,0.5785,0.17,2019-03-11,0.002,2019-04-04,512690,0.001,0.580,7.94亿,酒ETF,1,False,358.88亿,-0.10|2025-11-06,T+1,209.35亿|2025-11-06,-4.68亿
49,0.8206,0.12,2013-07-15,0.000,2013-08-23,159928,0.001,0.821,2.93亿,消费ETF,0,False,254.67亿,0.10|2025-11-06,T+1,208.78亿|2025-11-05,-7800.00万
50,0.8355,-0.48,2017-05-25,0.001,2017-07-18,512800,-0.004,0.836,10.12亿,银行ETF,1,False,243.48亿,-0.42|2025-11-06,T+1,205.18亿|2025-11-06,7.17亿
51,3.3278,0.12,2006-10-30,-0.002,2006-11-17,510880,0.004,3.326,3.14亿,红利ETF,1,False,54.06亿,0.20|2025-11-06,T+1,179.22亿|2025-11-06,-1100.00万
52,0.7853,1.95,2021-05-11,-0.001,2021-05-18,159740,0.015,0.784,21.64亿,恒生科技ETF,0,False,230.00亿,2.68|2025-11-06,T+0,175.90亿|2025-11-05,5.56亿
53,0.4029,0.50,2013-08-26,0.001,2013-09-23,512010,0.002,0.404,3.35亿,医药ETF,1,False,426.25亿,0.37|2025-11-06,T+1,172.05亿|2025-11-06,3800.00万
54,1.8160,1.94,2013-04-15,0.147,2013-04-25,513100,0.037,1.949,6.97亿,纳指ETF,1,False,94.66亿,0.78|2025-11-05,T+0,171.90亿|2025-11-05,0.00
55,4.0879,1.67,2015-04-08,-0.002,2015-05-05,512500,0.067,4.086,1.23亿,中证500ETF华夏,1,False,41.24亿,1.62|2025-11-06,T+1,168.72亿|2025-11-06,400.00万
56,0.7303,2.67,2021-02-18,0.001,2021-02-23,159870,0.019,0.731,9.80亿,化工ETF,0,False,236.04亿,2.41|2025-11-06,T+1,168.32亿|2025-11-05,-1.65亿
57,1.7259,3.23,2017-06-01,0.002,2017-08-03,512400,0.054,1.728,10.20亿,有色金属ETF,1,False,98.33亿,3.20|2025-11-06,T+1,168.12亿|2025-11-06,-300.00万
58,1.1005,2.32,2021-06-01,0.001,2021-06-15,159755,0.025,1.101,10.09亿,电池ETF,0,False,149.04亿,2.10|2025-11-06,T+1,160.65亿|2025-11-05,-1.19亿
59,0.8923,1.25,2014-06-09,0.000,2014-06-26,512070,0.011,0.892,5.42亿,证券保险ETF,1,False,174.43亿,1.35|2025-11-06,T+1,157.27亿|2025-11-06,7600.00万
60,135.2130,-0.10,2017-07-17,-0.001,2017-08-04,511260,-0.140,135.212,75.97亿,十年国债ETF,1,False,1.14亿,-0.09|2025-11-06,T+0,154.02亿|2025-11-06,400.00万
61,1.0644,1.53,2020-12-01,0.000,2020-12-07,515790,0.016,1.064,13.39亿,光伏ETF,1,False,141.01亿,1.86|2025-11-06,T+1,150.35亿|2025-11-06,8400.00万
62,1.6326,1.94,2012-07-09,-0.002,2012-08-09,159920,0.031,1.631,5.42亿,恒生ETF,0,False,93.94亿,2.13|2025-11-06,T+0,150.16亿|2025-11-05,0.00
63,1.9525,1.83,2017-03-22,-0.002,2017-04-25,159952,0.035,1.951,4.69亿,创业板ETF广发,0,False,75.58亿,1.85|2025-11-06,T+1,144.88亿|2025-11-05,6460.00万
64,1.2023,0.84,2016-06-20,0.001,2016-07-26,512660,0.010,1.203,3.31亿,军工ETF,1,False,119.52亿,0.89|2025-11-06,T+1,143.95亿|2025-11-06,1600.00万
65,0.6887,1.32,2019-05-24,0.000,2019-07-23,512710,0.009,0.689,3.91亿,军工龙头ETF,1,False,197.18亿,1.37|2025-11-06,T+1,134.78亿|2025-11-06,-7600.00万
66,1.4711,0.75,2019-12-23,0.000,2020-01-17,515450,0.011,1.471,1.47亿,红利低波50ETF,1,False,89.68亿,0.73|2025-11-06,T+1,132.34亿|2025-11-06,-1350.00万
67,1.2402,0.73,2020-01-02,0.000,2020-01-20,515220,0.009,1.240,9.56亿,煤炭ETF,1,False,107.67亿,0.79|2025-11-06,T+1,132.06亿|2025-11-06,1.17亿
68,2.9759,1.67,2013-01-07,0.003,2013-02-06,159922,0.049,2.979,1.71亿,中证500ETF,0,False,44.93亿,1.62|2025-11-06,T+1,131.57亿|2025-11-05,-700.00万
69,0.8945,0.56,2020-03-02,0.001,2020-03-20,159992,0.005,0.895,4.80亿,创新药ETF,0,False,146.41亿,0.49|2025-11-06,T+1,130.32亿|2025-11-05,1.06亿
70,1.8977,1.45,2023-10-16,-0.004,2023-10-24,517520,0.027,1.894,2.42亿,黄金股ETF,1,False,68.72亿,1.82|2025-11-06,T+1,130.21亿|2025-11-06,5650.00万
71,3.0983,1.08,2022-07-22,-0.002,2022-07-27,159629,0.033,3.096,1.00亿,1000ETF,0,False,40.67亿,1.16|2025-11-06,T+1,124.57亿|2025-11-05,-600.00万
72,1.9146,2.85,2023-07-10,0.376,2023-07-19,159509,0.063,2.275,11.77亿,纳指科技ETF,0,False,64.93亿,0.83|2025-11-05,T+0,124.31亿|2025-11-05,100.00万
73,2.7620,2.60,2019-07-22,0.000,2019-08-16,515880,0.070,2.762,14.86亿,通信ETF,1,False,43.96亿,2.49|2025-11-06,T+1,121.13亿|2025-11-06,1100.00万
74,1.4744,3.37,2020-09-22,0.000,2020-09-28,588050,0.048,1.474,5.30亿,科创ETF,1,False,82.77亿,3.33|2025-11-06,T+1,119.77亿|2025-11-06,4200.00万
75,0.5842,1.73,2022-01-17,0.004,2022-02-09,513770,0.010,0.588,5.83亿,港股互联网ETF,1,False,199.71亿,1.64|2025-11-06,T+0,118.04亿|2025-11-06,1700.00万
76,2.2792,2.11,2020-10-14,0.154,2020-10-22,513300,0.050,2.416,6.99亿,纳斯达克ETF,1,False,50.80亿,0.75|2025-11-05,T+0,115.78亿|2025-11-05,75.00万
77,0.9349,3.31,2021-06-21,0.001,2021-06-28,159781,0.030,0.936,3.44亿,科创创业ETF,0,False,126.80亿,3.24|2025-11-06,T+1,114.83亿|2025-11-05,-900.00万
78,0.7236,2.40,2022-04-18,0.000,2022-04-27,513380,0.017,0.724,5.79亿,恒生科技ETF龙头,1,False,155.97亿,2.70|2025-11-06,T+0,113.60亿|2025-11-06,2.99亿
79,1.4430,-0.07,2021-02-19,0.003,2021-02-25,159869,-0.001,1.446,6.03亿,游戏ETF,0,False,77.24亿,-0.11|2025-11-06,T+1,111.58亿|2025-11-05,-5600.00万
80,1.4250,0.35,2019-10-30,0.001,2019-11-26,515180,0.005,1.426,1.92亿,红利ETF易方达,1,False,77.82亿,0.40|2025-11-06,T+1,111.07亿|2025-11-06,2.43亿
81,1.6492,3.71,2019-04-22,0.000,2019-05-16,512760,0.059,1.649,6.27亿,芯片ETF,1,False,67.30亿,3.80|2025-11-06,T+1,109.72亿|2025-11-06,6240.00万
82,0.8741,0.46,2021-02-22,0.000,2021-03-04,159851,0.004,0.874,3.68亿,金融科技ETF,0,False,122.78亿,0.37|2025-11-06,T+1,106.93亿|2025-11-05,3000.00万
83,1.1377,1.25,2021-01-18,0.000,2021-01-28,159841,0.014,1.138,4.19亿,证券ETF,0,False,93.23亿,1.27|2025-11-06,T+1,104.74亿|2025-11-05,1.02亿
84,-,0.00,2016-08-15,0.003,2016-09-02,511660,0.000,100.003,13.83亿,货币ETF建信添益,1,False,1.01亿,0.00|2025-11-06,T+0,100.79亿|2025-11-06,2900.00
