code,name,time,macd,signal
159915,创业板ETF,2025-10-28 11:30:00,0.0333,0.0326
511880,银华日利ETF,2025-10-28 10:00:00,-0.0007,-0.0008
511880,银华日利ETF,2025-10-28 13:30:00,-0.0008,-0.0009
511990,华宝添益ETF,2025-10-28 13:30:00,-0.002,-0.0023
159941,纳指ETF,2025-10-28 10:00:00,0.0124,0.0111
159949,创业板50ETF,2025-10-28 11:30:00,0.0169,0.0166
512890,红利低波ETF,2025-10-28 13:30:00,-0.0006,-0.0009
159928,消费ETF,2025-10-28 10:30:00,0.0004,0.0
512800,银行ETF,2025-10-28 13:30:00,-0.0007,-0.0011
159870,化工ETF,2025-10-28 10:00:00,0.0042,0.0037
159870,化工ETF,2025-10-28 11:30:00,0.0038,0.0038
159755,电池ETF,2025-10-28 10:00:00,0.0071,0.0066
159755,电池ETF,2025-10-28 11:30:00,0.0082,0.0071
512660,军工ETF,2025-10-28 10:00:00,0.0086,0.0083
159952,创业板ETF广发,2025-10-28 11:30:00,0.0199,0.0195
512710,军工龙头ETF,2025-10-28 10:00:00,0.0043,0.0039
515220,煤炭ETF,2025-10-28 15:00:00,-0.0031,-0.0036
513300,纳斯达克ETF,2025-10-28 10:00:00,0.0222,0.019
159851,金融科技ETF,2025-10-28 11:30:00,0.0063,0.0055
159869,游戏ETF,2025-10-28 15:00:00,-0.0045,-0.0048
511660,货币ETF建信添益,2025-10-28 13:30:00,-0.0024,-0.0025
518880,黄金ETF,2025-10-28 14:30:00,-0.0922,-0.0819
518880,黄金ETF,2025-10-28 15:00:00,-0.0944,-0.0861
159636,港股通科技30ETF,2025-10-28 15:00:00,-0.0037,-0.0006
159937,黄金ETF基金,2025-10-28 14:30:00,-0.0922,-0.0817
159937,黄金ETF基金,2025-10-28 15:00:00,-0.0946,-0.086
513090,香港证券ETF,2025-10-28 15:00:00,-0.0074,-0.0016
159934,黄金ETF,2025-10-28 14:30:00,-0.0967,-0.086
159934,黄金ETF,2025-10-28 15:00:00,-0.0993,-0.0904
518800,黄金基金ETF,2025-10-28 14:30:00,-0.0917,-0.0814
518800,黄金基金ETF,2025-10-28 15:00:00,-0.095,-0.0859
512400,有色金属ETF,2025-10-28 15:00:00,-0.0105,-0.0051
512010,医药ETF,2025-10-28 14:30:00,-0.0013,-0.0008
512010,医药ETF,2025-10-28 15:00:00,-0.0012,-0.001
517520,黄金股ETF,2025-10-28 15:00:00,-0.0162,-0.0112
159992,创新药ETF,2025-10-28 14:30:00,-0.0018,-0.0007
159992,创新药ETF,2025-10-28 15:00:00,-0.0018,-0.0011
159869,游戏ETF,2025-10-28 14:30:00,-0.0051,-0.0049
