SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IFSTSTOCK{2025-10-29},IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-29},TOAL_MARKET_VALUE<140>
76,815.23亿,6.84,135.85,17.29亿,1314.24万,SZ,002028,122.00,1.70,35.76,7.23,133.76,思源电气,否,否,2.16,0,False,8.56,38.00,1044.78亿
77,1860.64亿,-6.46,46.70,182.60亿,3.99亿,SZ,000063,44.59,2.22,31.14,2.95,46.20,中兴通讯,否,否,9.91,0,False,-3.19,37.84,2209.99亿
78,611.01亿,3.29,28.67,15.58亿,5511.32万,SH,603659,27.37,1.50,26.96,3.09,28.60,璞泰来,否,否,2.58,1,False,0.91,36.99,611.01亿
79,2475.89亿,3.14,164.00,44.54亿,2745.10万,SH,601127,158.82,1.37,45.54,10.20,163.99,赛力斯,否,否,1.82,1,False,4.99,36.88,2678.56亿
80,646.62亿,0.32,31.61,2.25亿,712.34万,SH,600009,31.40,1.08,37.66,1.87,31.60,上海机场,否,否,0.35,1,False,0.10,36.35,786.36亿
81,770.92亿,1.43,4.27,18.08亿,4.28亿,SZ,000100,4.16,1.73,23.52,1.42,4.26,TCL科技,否,否,2.36,0,False,0.06,36.13,886.12亿
82,140.67亿,0.35,20.42,11.89亿,5913.43万,SH,601059,19.52,1.56,36.54,3.24,20.34,信达证券,否,否,8.55,1,False,0.07,35.98,659.63亿
83,576.21亿,1.24,27.20,13.63亿,5178.08万,SH,601231,25.85,0.95,34.21,3.10,26.18,环旭电子,否,否,2.35,1,False,0.32,35.60,576.21亿
84,965.20亿,-0.57,12.23,7.22亿,5948.02万,SZ,300015,12.10,1.13,27.33,5.06,12.17,爱尔眼科,否,否,0.75,0,False,-0.07,35.26,1134.90亿
85,602.78亿,4.00,36.96,25.95亿,7166.09万,SZ,002080,35.12,1.21,30.55,3.07,35.92,中材科技,否,否,4.27,0,False,1.38,34.19,602.78亿
86,1045.30亿,-0.34,69.62,2.04亿,294.47万,SZ,002304,68.95,1.00,12.03,2.14,69.39,洋河股份,否,否,0.20,0,False,-0.24,34.05,1045.32亿
87,1487.13亿,-0.13,286.65,3.62亿,126.96万,SH,605499,283.28,0.57,29.66,16.90,285.98,东鹏饮料,否,否,0.24,1,False,-0.36,33.95,1487.13亿
88,539.40亿,1.90,94.35,3.68亿,394.61万,SH,603486,92.36,0.72,28.89,6.35,94.32,科沃斯,否,否,0.69,1,False,1.76,33.94,546.14亿
89,4888.11亿,4.05,67.48,119.84亿,1.80亿,SZ,002475,65.17,1.06,36.87,6.60,67.28,立讯精密,否,否,2.48,0,False,2.62,33.52,4899.20亿
90,1352.14亿,1.12,60.34,25.17亿,4294.21万,SZ,002938,57.43,1.14,55.04,4.35,58.55,鹏鼎控股,否,否,1.86,0,False,0.65,33.35,1357.22亿
91,3543.40亿,1.88,26.79,143.86亿,5.44亿,SZ,300059,25.88,1.69,34.51,4.71,26.49,东方财富,否,否,4.07,0,False,0.49,33.05,4186.49亿
92,2137.49亿,0.10,38.50,5.23亿,1366.56万,SH,603288,38.10,1.22,31.70,5.69,38.44,海天味业,否,否,0.25,1,False,0.04,32.83,2249.44亿
93,1377.99亿,3.12,11.06,21.14亿,1.95亿,SZ,000617,10.56,1.38,26.54,1.33,10.90,中油资本,否,否,1.54,0,False,0.33,32.78,1377.99亿
94,850.31亿,10.00,30.14,46.14亿,1.56亿,SH,600021,27.52,0.98,22.27,4.12,30.14,上海电力,否,否,5.54,1,False,2.74,32.36,850.31亿
95,206.68亿,19.97,14.84,22.65亿,1.63亿,SH,688472,12.30,2.64,37.44,2.35,14.84,阿特斯,否,否,11.69,1,False,2.47,31.47,547.33亿
96,364.29亿,4.50,187.46,12.18亿,668.36万,SZ,002850,172.11,1.33,32.03,4.05,184.82,科达利,否,否,3.39,0,False,7.96,30.85,505.99亿
97,161.33亿,0.00,6.44,4.49亿,6989.29万,SH,600930,6.40,1.01,26.15,2.43,6.44,华电新能,否,否,2.79,1,False,0.00,30.37,2686.40亿
98,472.07亿,4.78,25.08,10.92亿,4411.87万,SZ,002517,23.68,1.09,25.29,6.51,24.99,恺英网络,否,否,2.34,0,False,1.14,30.17,533.90亿
99,665.42亿,0.25,120.30,13.26亿,1109.72万,SZ,002920,118.60,0.93,30.12,4.90,120.30,德赛西威,否,否,2.01,0,False,0.30,30.10,718.00亿
100,56.51亿,-0.15,6.59,9047.01万,1379.12万,SZ,001391,6.54,0.87,32.82,3.08,6.58,国货航,否,否,1.61,0,False,-0.01,29.92,803.34亿
101,2701.60亿,-1.00,224.69,20.22亿,916.91万,SZ,300760,218.28,1.64,26.65,6.92,222.83,迈瑞医疗,否,否,0.76,0,False,-2.26,29.44,2701.68亿
102,587.24亿,1.22,7.46,6714.12万,907.95万,SH,600236,7.26,0.75,24.72,3.35,7.45,桂冠电力,否,否,0.12,1,False,0.09,28.88,587.24亿
103,1.70万亿,3.50,400.04,136.45亿,3447.40万,SZ,300750,384.70,1.17,27.92,5.81,400.00,宁德时代,否,否,0.81,0,False,13.52,28.62,1.83万亿
104,582.88亿,6.71,37.84,38.72亿,1.05亿,SH,600549,35.15,1.33,25.07,3.55,37.51,厦门钨业,否,否,6.74,1,False,2.36,28.26,595.50亿
105,960.34亿,5.28,61.16,7.36亿,1223.89万,SZ,000408,58.78,1.12,26.18,6.36,61.16,藏格矿业,否,否,0.78,0,False,3.07,27.73,960.35亿
106,371.91亿,-2.16,126.97,4.97亿,405.92万,SZ,300866,121.32,1.20,28.29,7.03,123.16,安克创新,否,否,1.34,0,False,-2.72,27.41,660.33亿
