SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IFSTSTOCK{2025-10-29},IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-29},TOAL_MARKET_VALUE<140>
184,1069.67亿,-0.21,14.46,2.17亿,1513.60万,SH,600886,14.25,0.65,15.14,1.81,14.35,国投电力,否,否,0.20,1,False,-0.03,17.16,1148.64亿
185,880.26亿,1.03,25.46,1.63亿,644.07万,SZ,000895,25.16,1.01,16.68,4.35,25.41,双汇发展,否,否,0.19,0,False,0.26,17.12,880.37亿
186,729.24亿,-0.66,15.06,2.76亿,1844.00万,SH,600674,14.90,0.88,12.96,1.64,14.96,川投能源,否,否,0.38,1,False,-0.10,16.93,729.24亿
187,467.26亿,-0.73,5.45,1.52亿,2817.68万,SH,688009,5.37,0.93,18.85,1.25,5.42,中国通号,否,否,0.33,1,False,-0.04,16.78,573.97亿
188,535.59亿,3.27,25.41,3.68亿,1467.41万,SH,600426,24.23,1.07,16.95,1.71,25.27,华鲁恒升,否,否,0.69,1,False,0.80,16.52,536.54亿
189,818.78亿,7.56,23.85,20.78亿,8994.76万,SZ,000807,22.20,1.14,13.96,2.53,23.61,云铝股份,否,否,2.59,0,False,1.66,16.41,818.78亿
190,514.72亿,2.03,8.08,5.96亿,7445.89万,SH,600061,7.88,1.37,15.13,0.98,8.05,国投资本,否,否,1.16,1,False,0.16,16.37,514.72亿
191,1313.96亿,1.62,18.20,8.55亿,4729.72万,SH,601881,17.81,1.13,15.29,1.74,18.14,中国银河,否,否,0.65,1,False,0.29,16.35,1983.50亿
192,501.74亿,5.78,15.57,7.83亿,5107.05万,SH,601958,14.85,2.19,16.46,2.78,15.55,金钼股份,否,否,1.58,1,False,0.85,16.32,501.74亿
193,956.66亿,-0.65,106.69,9.60亿,904.86万,SH,600941,105.90,1.09,14.90,1.68,105.97,中国移动,否,否,1.00,1,False,-0.69,16.04,2.29万亿
194,3689.49亿,1.00,30.46,94.78亿,3.14亿,SH,600030,29.85,1.25,14.54,1.60,30.30,中信证券,否,否,2.58,1,False,0.30,16.00,4490.63亿
195,1162.49亿,-0.35,5.80,5.54亿,9611.03万,SH,601006,5.75,0.89,14.13,0.71,5.77,大秦铁路,否,否,0.48,1,False,-0.02,15.95,1162.49亿
196,1412.25亿,4.09,24.10,29.01亿,1.23亿,SZ,000776,22.88,1.41,14.06,1.46,23.92,广发证券,否,否,2.08,0,False,0.94,15.49,1819.32亿
197,6949.32亿,-1.06,42.50,9.23亿,2190.40万,SH,601088,41.95,0.80,16.08,2.01,42.14,中国神华,否,否,0.13,1,False,-0.45,15.41,8372.59亿
198,599.97亿,2.39,17.71,3.33亿,1909.69万,SH,600233,16.97,1.43,15.64,1.80,17.53,圆通速递,否,否,0.56,1,False,0.41,15.16,599.97亿
199,1089.98亿,0.27,18.37,7.00亿,3836.97万,SZ,300498,18.13,0.88,17.36,2.82,18.28,温氏股份,否,否,0.64,0,False,0.05,15.10,1216.34亿
200,1955.95亿,0.12,8.09,5.62亿,6995.85万,SH,601766,7.98,0.69,15.92,1.36,8.04,中国中车,否,否,0.29,1,False,0.01,14.95,2307.39亿
201,520.14亿,-0.29,13.83,1.13亿,823.94万,SH,600377,13.58,0.91,14.22,1.72,13.68,宁沪高速,否,否,0.22,1,False,-0.04,14.91,689.16亿
202,692.80亿,3.87,8.59,6.05亿,7130.78万,SH,601872,8.30,1.02,15.75,1.71,8.58,招商轮船,否,否,0.88,1,False,0.32,14.63,692.80亿
203,1908.37亿,-0.48,130.89,7.49亿,578.52万,SZ,000568,128.89,0.63,12.47,4.11,129.87,泸州老窖,否,否,0.39,0,False,-0.62,14.58,1911.62亿
204,655.01亿,6.42,30.69,11.67亿,3909.39万,SH,601877,28.47,2.46,11.75,1.53,30.48,正泰电器,否,否,1.82,1,False,1.84,14.53,655.01亿
205,2621.88亿,3.19,19.48,47.53亿,2.47亿,SH,601211,18.80,2.33,10.88,1.10,19.43,国泰海通,否,否,1.83,1,False,0.60,14.43,3425.30亿
206,4612.32亿,-1.06,119.95,29.11亿,2450.83万,SZ,000858,118.21,1.65,11.83,3.28,118.83,五 粮 液,否,否,0.63,0,False,-1.27,14.29,4612.51亿
207,935.93亿,0.04,23.43,4.51亿,1936.99万,SH,600585,23.16,0.84,14.19,0.66,23.40,海螺水泥,否,否,0.48,1,False,0.01,14.19,1240.04亿
208,1310.73亿,1.79,17.74,16.37亿,9315.55万,SH,600999,17.30,1.39,14.81,1.33,17.66,招商证券,否,否,1.26,1,False,0.31,14.19,1535.81亿
209,614.78亿,-1.29,152.90,4.01亿,267.49万,SZ,000596,149.01,1.19,10.86,3.16,150.46,古井贡酒,否,否,0.65,0,False,-1.96,14.19,795.33亿
210,745.10亿,0.00,3.84,2.09亿,5490.62万,SH,601018,3.78,0.86,14.42,0.95,3.83,宁波港,否,否,0.28,1,False,0.00,14.16,745.10亿
211,1386.11亿,2.49,14.47,11.60亿,8106.57万,SZ,002736,14.00,1.12,13.76,1.57,14.42,国信证券,否,否,0.84,0,False,0.35,14.14,1476.86亿
212,711.36亿,-0.19,10.49,1.63亿,1570.42万,SZ,001965,10.31,0.87,13.30,1.06,10.43,招商公路,否,否,0.23,0,False,-0.02,13.75,711.36亿
213,569.94亿,6.81,13.90,10.86亿,8056.04万,SZ,002532,12.79,1.16,14.41,2.21,13.80,天山铝业,否,否,1.95,0,False,0.88,13.63,641.96亿
214,675.47亿,-3.63,31.71,11.52亿,3771.13万,SH,600066,30.01,2.69,15.39,5.04,30.51,宇通客车,否,否,1.70,1,False,-1.15,13.57,675.47亿
215,589.12亿,4.25,19.15,4.39亿,2341.51万,SH,600803,18.25,3.44,12.32,2.56,19.15,新奥股份,否,否,0.76,1,False,0.78,13.57,593.09亿
216,500.45亿,4.03,15.27,8.16亿,5409.46万,SH,601058,14.55,4.27,13.07,2.38,15.22,赛轮轮胎,否,否,1.65,1,False,0.59,13.56,500.45亿
217,660.55亿,1.37,3.70,6.86亿,1.88亿,SH,601618,3.58,1.05,12.37,0.75,3.70,中国中冶,否,否,1.05,1,False,0.05,13.46,766.77亿
218,565.73亿,7.38,25.37,18.28亿,7437.96万,SZ,000933,23.23,1.19,12.17,2.36,25.17,神火股份,否,否,3.31,0,False,1.73,13.30,566.16亿
219,5156.69亿,-0.01,74.42,20.25亿,2735.87万,SZ,000333,73.50,0.88,10.99,2.65,74.40,美的集团,否,否,0.39,0,False,-0.01,13.07,5716.63亿
220,732.34亿,-0.27,14.59,2.02亿,1394.47万,SZ,000708,14.29,0.62,12.68,1.76,14.51,中信特钢,否,否,0.28,0,False,-0.04,13.03,732.34亿
221,882.07亿,1.36,14.96,5.15亿,3483.57万,SH,600188,14.59,0.53,16.06,2.50,14.89,兖矿能源,否,否,0.59,1,False,0.20,12.99,1494.58亿
222,954.21亿,1.33,5.39,8.19亿,1.54亿,SH,600795,5.25,0.98,10.56,1.56,5.35,XD国电电,否,否,0.86,1,False,0.07,12.87,954.21亿
223,1334.67亿,0.94,18.22,7.41亿,4103.35万,SH,600989,17.86,0.52,11.18,2.90,18.20,宝丰能源,否,否,0.56,1,False,0.17,12.41,1334.67亿
224,800.99亿,0.00,2.47,5.34亿,2.17亿,SH,601868,2.45,0.75,18.38,0.94,2.47,中国能建,否,否,0.67,1,False,0.00,12.24,1029.77亿
225,1304.71亿,7.02,10.05,48.15亿,4.94亿,SH,601600,9.34,1.22,11.73,2.32,9.91,中国铝业,否,否,3.75,1,False,0.65,11.92,1700.12亿
226,1601.15亿,0.20,25.66,5.49亿,2150.59万,SH,600690,25.37,0.59,9.98,2.09,25.60,海尔智家,否,否,0.34,1,False,0.05,11.79,2401.40亿
227,1677.63亿,3.52,23.01,37.56亿,1.65亿,SH,601688,22.11,1.59,13.73,1.24,22.96,华泰证券,否,否,2.26,1,False,0.78,11.78,2072.57亿
228,9416.40亿,0.27,45.58,7.92亿,1756.51万,SH,601628,44.75,0.81,15.61,2.47,45.22,中国人寿,否,否,0.08,1,False,0.12,11.66,1.28万亿
229,2183.31亿,-0.49,22.72,4.99亿,2216.08万,SH,601225,22.32,0.58,12.88,2.45,22.52,陕西煤业,否,否,0.23,1,False,-0.11,11.55,2183.31亿
230,594.33亿,-0.11,8.90,1.98亿,2237.96万,SH,600039,8.78,0.61,13.84,1.62,8.85,四川路桥,否,否,0.33,1,False,-0.01,11.33,769.56亿
231,568.46亿,4.41,25.73,6.42亿,2550.90万,SZ,002128,24.15,1.55,10.35,1.53,25.36,电投能源,否,否,1.14,0,False,1.07,11.23,568.46亿
232,357.45亿,-0.10,20.78,4977.33万,240.88万,SZ,001872,20.55,0.74,9.79,0.82,20.72,招商港口,否,否,0.14,0,False,-0.02,11.19,514.22亿
233,510.42亿,0.05,18.32,2.11亿,1156.42万,SH,601607,18.21,0.94,7.61,0.90,18.30,上海医药,否,否,0.41,1,False,0.01,11.18,678.63亿
234,707.89亿,0.50,14.20,5.71亿,4047.61万,SZ,000338,14.03,0.76,10.96,1.38,14.20,潍柴动力,否,否,0.81,0,False,0.07,11.10,1237.33亿
235,1264.81亿,2.37,14.08,5.76亿,4194.97万,SH,601898,13.32,0.89,11.01,1.16,13.82,中煤能源,否,否,0.46,1,False,0.32,10.66,1832.35亿
236,1.47万亿,-0.33,9.14,8.59亿,9452.22万,SH,601857,9.04,0.53,9.90,1.07,9.09,中国石油,否,否,0.06,1,False,-0.03,10.41,1.66万亿
237,737.96亿,4.02,24.41,12.45亿,5164.88万,SZ,002001,23.62,2.36,10.53,2.32,24.30,新 和 成,否,否,1.70,0,False,0.94,10.37,746.84亿
238,468.57亿,-1.05,3.82,7.77亿,2.09亿,SH,601991,3.61,1.53,7.82,1.99,3.78,大唐发电,否,否,1.68,1,False,-0.04,10.31,699.55亿
239,462.64亿,-3.27,8.85,2.75亿,3195.39万,SH,601298,8.55,1.97,9.99,1.23,8.58,青岛港,否,否,0.59,1,False,-0.29,10.16,556.94亿
240,811.78亿,-0.04,27.27,7.15亿,2631.84万,SH,600938,27.01,0.43,9.28,1.64,27.15,中国海油,否,否,0.88,1,False,-0.01,10.10,1.29万亿
241,530.74亿,10.12,4.57,28.55亿,6.45亿,SH,600219,4.15,2.78,10.55,1.03,4.57,南山铝业,否,否,5.55,1,False,0.42,10.08,530.74亿
242,2.60万亿,-1.93,8.30,33.29亿,4.06亿,SH,601288,8.11,0.76,10.22,1.07,8.15,农业银行,否,否,0.13,1,False,-0.16,9.98,2.85万亿
243,1920.54亿,-0.04,50.91,10.92亿,2166.19万,SZ,002714,50.09,0.68,13.07,3.56,50.40,牧原股份,否,否,0.57,0,False,-0.02,9.98,2753.24亿
244,602.60亿,0.96,17.95,7.96亿,4481.28万,SZ,002648,17.56,1.31,12.04,1.88,17.90,卫星化学,否,否,1.33,0,False,0.17,9.83,602.99亿
245,717.37亿,1.90,5.37,4.60亿,8641.97万,SH,600023,5.25,1.22,8.64,0.97,5.35,浙能电力,否,否,0.64,1,False,0.10,9.78,717.37亿
246,543.25亿,7.04,29.93,19.11亿,6535.98万,SH,600096,28.50,2.67,8.62,2.24,29.80,云天化,否,否,3.59,1,False,1.96,9.64,543.25亿
247,464.66亿,1.68,5.50,10.18亿,1.87亿,SH,600027,5.41,1.81,7.39,1.30,5.46,华电国际,否,否,2.19,1,False,0.09,9.63,634.00亿
248,627.71亿,1.12,19.92,1.94亿,982.37万,SH,600741,19.57,0.91,10.04,1.00,19.91,华域汽车,否,否,0.31,1,False,0.22,9.35,627.71亿
249,1311.62亿,-0.35,5.67,1.46亿,2594.02万,SH,600018,5.61,0.66,8.18,0.96,5.65,上港集团,否,否,0.11,1,False,-0.02,9.02,1315.40亿
250,754.23亿,0.70,5.78,8.16亿,1.42亿,SH,601669,5.70,0.84,9.16,0.69,5.77,中国电建,否,否,1.09,1,False,0.04,8.92,993.95亿
251,908.41亿,6.86,8.34,16.71亿,2.04亿,SH,600011,7.96,2.72,6.55,1.94,8.26,华能国际,否,否,1.85,1,False,0.53,8.90,1296.66亿
252,3134.45亿,0.46,8.84,5.18亿,5892.55万,SH,601319,8.71,0.88,7.36,1.39,8.83,中国人保,否,否,0.17,1,False,0.04,8.36,3904.98亿
253,3987.07亿,-2.14,6.07,10.63亿,1.78亿,SH,601658,5.93,0.82,7.25,0.72,5.94,邮储银行,否,否,0.26,1,False,-0.13,8.21,7133.65亿
254,3933.42亿,-4.68,12.36,19.70亿,1.66亿,SH,600000,11.75,1.19,6.61,0.55,11.81,浦发银行,否,否,0.50,1,False,-0.58,8.19,3933.42亿
255,2.11万亿,-2.00,7.99,29.02亿,3.68亿,SH,601398,7.80,0.99,8.30,0.74,7.83,工商银行,否,否,0.14,1,False,-0.16,7.68,2.79万亿
256,6284.11亿,2.06,59.70,61.72亿,1.04亿,SH,601318,58.49,1.99,6.03,1.08,58.95,中国平安,否,否,0.98,1,False,1.19,7.61,1.07万亿
257,2573.74亿,0.80,37.83,22.15亿,5906.57万,SH,601601,37.27,1.98,6.49,1.28,37.60,中国太保,否,否,0.86,1,False,0.30,7.58,3617.25亿
258,1.18万亿,0.00,5.67,22.21亿,3.95亿,SH,601988,5.56,1.05,7.62,0.67,5.60,中国银行,否,否,0.19,1,False,0.00,7.53,1.80万亿
259,1460.85亿,1.49,70.25,11.74亿,1691.11万,SH,601336,68.66,0.83,7.38,2.62,70.05,新华保险,否,否,0.81,1,False,1.03,7.30,2185.24亿
260,885.49亿,-1.70,9.39,10.35亿,1.12亿,SH,601939,9.20,1.02,7.45,0.72,9.23,建设银行,否,否,1.16,1,False,-0.16,7.24,2.41万亿
261,2244.12亿,-0.07,40.72,11.67亿,2874.33万,SZ,000651,40.52,0.76,7.91,1.83,40.69,格力电器,否,否,0.52,0,False,-0.03,7.02,2279.21亿
262,8410.42亿,-2.00,41.53,37.35亿,9109.88万,SH,600036,40.69,1.25,6.86,0.97,40.77,招商银行,否,否,0.44,1,False,-0.83,6.92,1.03万亿
263,1045.93亿,0.23,8.88,2.25亿,2544.37万,SH,601800,8.80,0.69,7.55,0.50,8.88,中国交建,否,否,0.22,1,False,0.02,6.71,1445.54亿
264,1858.96亿,-1.93,7.26,17.89亿,2.49亿,SH,601328,7.12,0.95,6.85,0.56,7.13,交通银行,否,否,0.96,1,False,-0.14,6.68,6300.34亿
265,798.70亿,-2.07,8.69,1.65亿,1931.96万,SH,601825,8.48,0.97,5.86,0.65,8.52,沪农商行,否,否,0.21,1,False,-0.18,6.66,821.71亿
266,606.27亿,-1.44,6.97,6.37亿,9304.78万,SH,601077,6.71,1.76,5.46,0.59,6.86,渝农商行,否,否,1.05,1,False,-0.10,6.55,779.09亿
267,1377.30亿,-1.85,11.34,8.29亿,7414.63万,SH,601009,11.06,1.48,5.74,0.76,11.14,南京银行,否,否,0.60,1,False,-0.21,6.40,1377.30亿
268,1821.57亿,-0.54,27.96,8.31亿,3008.04万,SZ,002142,27.45,1.02,6.09,0.84,27.60,宁波银行,否,否,0.46,0,False,-0.15,6.31,1822.59亿
269,3146.90亿,-1.03,7.80,4.73亿,6133.23万,SH,601998,7.63,0.89,5.89,0.61,7.72,中信银行,否,否,0.15,1,False,-0.08,6.18,4295.81亿
270,1138.09亿,-2.91,16.14,10.48亿,6633.36万,SH,600926,15.66,1.63,4.88,0.87,15.70,杭州银行,否,否,0.92,1,False,-0.47,6.10,1138.09亿
271,1930.56亿,-3.84,10.91,21.64亿,2.04亿,SH,600919,10.48,1.81,4.77,0.77,10.52,江苏银行,否,否,1.11,1,False,-0.42,5.79,1930.56亿
272,650.64亿,-1.31,3.06,4.78亿,1.58亿,SH,601916,3.02,0.64,5.41,0.47,3.02,浙商银行,否,否,0.73,1,False,-0.04,5.58,829.43亿
273,1173.21亿,0.53,5.74,5.21亿,9132.08万,SH,601390,5.66,0.78,5.99,0.46,5.73,中国中铁,否,否,0.45,1,False,0.03,5.57,1417.66亿
274,1407.85亿,-1.49,4.03,20.73亿,5.21亿,SH,600016,3.96,0.77,4.06,0.31,3.97,民生银行,否,否,1.47,1,False,-0.06,5.57,1738.16亿
275,1325.70亿,-2.81,9.57,6.85亿,7295.91万,SH,601229,9.29,1.17,5.01,0.55,9.33,上海银行,否,否,0.51,1,False,-0.27,5.57,1325.70亿
276,4234.69亿,-2.01,20.35,18.70亿,9310.97万,SH,601166,19.98,0.98,4.91,0.58,20.01,兴业银行,否,否,0.44,1,False,-0.41,5.48,4234.69亿
277,722.24亿,-5.74,17.69,22.27亿,1.30亿,SH,601838,17.00,4.56,5.72,0.85,17.07,成都银行,否,否,3.07,1,False,-1.04,5.43,723.50亿
278,927.16亿,0.37,8.07,3.64亿,4532.37万,SH,601186,7.99,0.94,5.11,0.41,8.06,中国铁建,否,否,0.39,1,False,0.03,5.21,1094.51亿
279,2210.30亿,-0.70,11.46,11.01亿,9662.14万,SZ,000001,11.36,0.92,4.32,0.49,11.39,平安银行,否,否,0.50,0,False,-0.08,5.13,2210.33亿
280,2313.94亿,-1.06,5.67,14.56亿,2.60亿,SH,601668,5.58,1.30,3.81,0.49,5.60,中国建筑,否,否,0.63,1,False,-0.06,4.91,2313.94亿
281,1596.39亿,-1.71,3.50,10.51亿,3.04亿,SH,601818,3.43,0.76,4.13,0.42,3.44,光大银行,否,否,0.66,1,False,-0.06,4.86,2032.54亿
282,1871.31亿,0.54,14.90,8.86亿,5986.96万,SH,601919,14.65,0.72,6.55,0.99,14.84,中远海控,否,否,0.47,1,False,0.08,4.62,2298.68亿
283,1194.58亿,-1.91,5.76,12.74亿,2.24亿,SH,601169,5.65,0.92,3.97,0.43,5.65,北京银行,否,否,1.06,1,False,-0.11,4.59,1194.58亿
284,1049.41亿,-1.30,6.92,5.54亿,8119.53万,SH,600015,6.79,0.77,4.53,0.35,6.82,华夏银行,否,否,0.53,1,False,-0.09,4.00,1085.40亿
