code,name,time,macd,signal
600426,华鲁恒升,2025-10-27 10:00:00,0.0943,0.0831
688009,中国通号,2025-10-27 10:00:00,0.0138,0.0066
600941,中国移动,2025-10-27 10:30:00,0.1747,0.1471
601088,中国神华,2025-10-27 10:30:00,0.0987,0.0772
600066,宇通客车,2025-10-27 10:00:00,0.3707,0.249
601766,中国中车,2025-10-27 10:00:00,0.0137,0.0087
000568,泸州老窖,2025-10-27 11:00:00,-1.1023,-1.1183
000858,五 粮 液,2025-10-27 11:00:00,-0.0879,-0.0892
000596,古井贡酒,2025-10-27 15:00:00,-0.6995,-0.7058
600585,海螺水泥,2025-10-27 10:00:00,0.0175,-0.0332
601872,招商轮船,2025-10-27 10:00:00,-0.0164,-0.031
601018,宁波港,2025-10-27 10:00:00,-0.0006,-0.0011
001965,招商公路,2025-10-27 10:30:00,0.0143,0.0103
000708,中信特钢,2025-10-27 10:00:00,0.2448,0.1328
600795,国电电力,2025-10-27 10:00:00,0.0145,-0.0034
000333,美的集团,2025-10-27 10:00:00,0.187,0.1865
600188,兖矿能源,2025-10-27 10:00:00,0.0342,0.0265
601600,中国铝业,2025-10-27 10:00:00,0.1238,0.1143
601600,中国铝业,2025-10-27 15:00:00,0.0836,0.0809
600989,宝丰能源,2025-10-27 11:30:00,0.2666,0.264
601868,中国能建,2025-10-27 10:00:00,-0.002,-0.0025
600690,海尔智家,2025-10-27 10:00:00,0.0418,0.0214
601628,中国人寿,2025-10-27 10:00:00,0.1576,0.1346
601628,中国人寿,2025-10-27 11:30:00,0.208,0.1573
601991,大唐发电,2025-10-27 10:00:00,0.0118,0.0021
600039,四川路桥,2025-10-27 11:30:00,0.0215,0.0214
601607,上海医药,2025-10-27 10:00:00,-0.0043,-0.0052
001872,招商港口,2025-10-27 10:00:00,0.0034,-0.0124
002128,电投能源,2025-10-27 10:00:00,-0.0366,-0.0838
601298,青岛港,2025-10-27 10:30:00,-0.0041,-0.0066
601857,中国石油,2025-10-27 10:30:00,0.0401,0.032
600938,中国海油,2025-10-27 10:30:00,0.1101,0.0787
600011,华能国际,2025-10-27 10:00:00,0.0047,-0.009
601288,农业银行,2025-10-27 10:00:00,0.0201,0.0137
600023,浙能电力,2025-10-27 10:00:00,0.016,0.0037
600000,浦发银行,2025-10-27 11:00:00,-0.0084,-0.0084
600000,浦发银行,2025-10-27 15:00:00,-0.0081,-0.0107
600018,上港集团,2025-10-27 10:30:00,-0.0004,-0.002
601318,中国平安,2025-10-27 10:00:00,0.1653,0.1483
601319,中国人保,2025-10-27 10:00:00,0.0417,0.0292
601658,邮储银行,2025-10-27 11:00:00,0.0331,0.0327
601398,工商银行,2025-10-27 11:00:00,0.0327,0.0285
601988,中国银行,2025-10-27 10:30:00,0.0317,0.0277
601939,建设银行,2025-10-27 10:30:00,0.0199,0.013
000651,格力电器,2025-10-27 10:00:00,0.0637,0.0266
601328,交通银行,2025-10-27 11:00:00,0.03,0.0288
601800,中国交建,2025-10-27 10:30:00,0.0072,0.0006
601009,南京银行,2025-10-27 10:30:00,-0.0325,-0.0346
601009,南京银行,2025-10-27 14:30:00,-0.0309,-0.0329
002142,宁波银行,2025-10-27 13:30:00,-0.0063,-0.0068
002142,宁波银行,2025-10-27 15:00:00,-0.0085,-0.0097
600926,杭州银行,2025-10-27 11:00:00,-0.0482,-0.0522
600919,江苏银行,2025-10-27 10:30:00,-0.0084,-0.0097
600919,江苏银行,2025-10-27 15:00:00,-0.0008,-0.0034
601838,成都银行,2025-10-27 15:00:00,-0.1151,-0.1184
601916,浙商银行,2025-10-27 15:00:00,-0.0065,-0.0065
601390,中国中铁,2025-10-27 10:00:00,0.0044,0.0008
601186,中国铁建,2025-10-27 14:30:00,0.023,0.022
000001,平安银行,2025-10-27 13:30:00,-0.0032,-0.0043
601668,中国建筑,2025-10-27 10:30:00,0.0143,0.0122
601169,北京银行,2025-10-27 11:00:00,0.0085,0.007
601919,中远海控,2025-10-27 10:00:00,0.0713,0.042
