CIRCULATION_MARKET_VALUE<140>,SERIAL,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,PETTMDEDUCTED{2025-12-23},MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,IFSTSTOCK{2025-12-23},TOAL_MARKET_VALUE<140>
909.33亿,1,4.26,48.48,16.42亿,3538.18万,49.61|2025-12-23,SZ,002558,深交所主板,44.67,1.05,48.14,5.99,47.00,巨人网络,否,1.83,0,False,1.92,否,909.33亿
1206.75亿,2,-1.29,70.26,13.81亿,1986.76万,47.86|2025-12-23,SH,601689,上交所主板,69.03,0.66,46.02,5.18,69.44,拓普集团,否,1.14,1,False,-0.91,否,1206.75亿
1653.47亿,3,-1.19,45.79,60.03亿,1.33亿,47.77|2025-12-23,SZ,002050,深交所主板,44.70,1.19,43.68,5.97,44.88,三花智控,否,3.61,0,False,-0.54,否,1888.56亿
915.36亿,4,-0.07,151.31,7.56亿,505.57万,46.76|2025-12-23,SZ,002028,深交所主板,148.01,0.64,40.15,8.12,150.19,思源电气,否,0.83,0,False,-0.11,否,1173.11亿
812.54亿,5,0.00,4.55,11.81亿,2.62亿,46.73|2025-12-23,SZ,000100,深交所主板,4.47,0.63,22.99,1.53,4.49,TCL科技,否,1.45,0,False,0.00,否,933.96亿
953.44亿,6,0.95,65.70,31.46亿,4835.40万,46.28|2025-12-23,SZ,000977,深交所主板,64.30,1.07,48.30,4.53,65.00,浪潮信息,否,3.30,0,False,0.61,否,954.51亿
1025.64亿,7,-1.15,171.98,3.10亿,181.87万,46.27|2025-12-23,SH,600436,上交所主板,169.86,1.13,36.13,7.09,170.00,片仔癀,否,0.30,1,False,-1.98,否,1025.64亿
2504.53亿,8,0.33,33.39,14.02亿,4223.81万,45.69|2025-12-23,SH,600150,上交所主板,32.91,0.91,32.10,1.77,33.28,中国船舶,否,0.56,1,False,0.11,否,2504.53亿
936.08亿,9,-0.66,62.65,1.68亿,269.94万,42.65|2025-12-23,SZ,002304,深交所主板,62.08,0.78,17.66,1.93,62.14,洋河股份,否,0.18,0,False,-0.41,否,936.10亿
1.25万亿,10,3.70,63.38,135.46亿,2.16亿,41.15|2025-12-23,SH,601138,上交所主板,60.32,1.46,41.63,7.73,62.86,工业富联,否,1.09,1,False,2.24,否,1.25万亿
874.06亿,11,-1.24,28.16,19.68亿,7053.40万,40.90|2025-12-23,SZ,002241,深交所主板,27.73,1.01,28.62,2.71,27.85,歌尔股份,否,2.25,0,False,-0.35,否,987.46亿
980.48亿,12,-1.49,11.97,11.69亿,9832.51万,40.23|2025-12-23,SZ,000625,深交所主板,11.85,0.69,28.89,1.54,11.87,长安汽车,否,1.19,0,False,-0.18,否,1176.80亿
1373.27亿,13,0.04,73.71,43.37亿,6010.92万,40.23|2025-12-23,SZ,002463,深交所主板,70.90,0.98,37.93,9.85,71.42,沪电股份,否,3.13,0,False,0.03,否,1374.38亿
1514.05亿,14,-0.41,126.66,13.41亿,1067.32万,39.60|2025-12-23,SH,603501,上交所主板,124.86,0.85,35.37,5.51,125.19,豪威集团,否,0.88,1,False,-0.51,否,1514.05亿
1471.44亿,15,6.91,41.36,38.24亿,9526.18万,38.75|2025-12-23,SH,600547,上交所主板,38.81,2.40,35.58,6.17,40.71,山东黄金,否,2.64,1,False,2.63,否,1876.70亿
1252.56亿,16,-0.15,81.47,11.84亿,1484.21万,36.23|2025-12-23,SZ,000408,深交所主板,77.96,0.93,34.15,8.29,79.77,藏格矿业,否,0.95,0,False,-0.12,否,1252.57亿
1419.12亿,17,-0.75,277.20,3.37亿,123.62万,34.29|2025-12-23,SH,605499,上交所主板,270.50,0.73,28.30,16.13,272.90,东鹏饮料,否,0.24,1,False,-2.07,否,1419.12亿
2100.79亿,18,-0.18,37.92,4.16亿,1100.55万,33.45|2025-12-23,SH,603288,上交所主板,37.61,0.82,31.15,5.59,37.78,海天味业,否,0.20,1,False,-0.07,否,2210.82亿
4219.81亿,19,0.55,58.60,45.08亿,7750.56万,32.24|2025-12-23,SZ,002475,深交所主板,57.43,1.11,27.54,5.30,58.05,立讯精密,否,1.07,0,False,0.32,否,4229.38亿
1482.92亿,20,0.00,4.06,20.97亿,5.20亿,32.10|2025-12-23,SZ,000725,深交所主板,4.02,0.81,24.64,1.13,4.04,京东方Ａ,否,1.42,0,False,0.00,否,1511.52亿
1806.30亿,21,-1.47,121.00,17.42亿,1451.92万,31.68|2025-12-23,SH,601127,上交所主板,119.30,0.80,29.42,7.64,119.64,赛力斯,否,0.96,1,False,-1.78,否,2084.11亿
1186.95亿,22,0.34,17.73,18.21亿,1.04亿,30.98|2025-12-23,SZ,002602,深交所主板,17.23,0.82,22.15,4.29,17.46,世纪华通,否,1.53,0,False,0.06,否,1287.14亿
1161.64亿,23,2.36,23.00,41.60亿,1.84亿,30.55|2025-12-23,SH,600089,上交所主板,22.15,1.20,15.89,1.69,22.99,特变电工,否,3.64,1,False,0.53,否,1161.64亿
1166.47亿,24,-0.28,51.36,11.67亿,2300.11万,30.43|2025-12-23,SZ,002938,深交所主板,50.20,0.79,36.47,3.58,50.51,鹏鼎控股,否,1.00,0,False,-0.14,否,1170.85亿
1405.00亿,25,-0.35,20.14,4.44亿,2229.41万,29.47|2025-12-23,SH,600346,上交所主板,19.65,0.77,20.98,2.17,19.96,恒力石化,否,0.32,1,False,-0.07,否,1405.00亿
1151.69亿,26,-1.09,9.21,5.61亿,6140.27万,27.56|2025-12-23,SZ,000617,深交所主板,9.07,0.61,21.61,1.10,9.11,中油资本,否,0.49,0,False,-0.10,否,1151.69亿
1371.62亿,27,-1.07,22.33,1.95亿,881.56万,27.53|2025-12-23,SH,601633,上交所主板,22.07,0.77,16.42,2.20,22.09,长城汽车,否,0.14,1,False,-0.24,否,1890.43亿
1240.10亿,28,0.32,67.31,54.20亿,8213.05万,26.19|2025-12-23,SH,603799,上交所主板,65.00,1.20,22.20,2.62,65.82,华友钴业,否,4.36,1,False,0.21,否,1248.01亿
1012.13亿,29,-0.21,37.88,7.06亿,1881.44万,25.83|2025-12-23,SH,600160,上交所主板,37.25,0.94,23.37,4.95,37.49,巨化股份,否,0.70,1,False,-0.08,否,1012.13亿
1502.80亿,30,0.82,28.57,25.18亿,8906.73万,25.80|2025-12-23,SZ,000792,深交所主板,27.95,0.79,25.03,3.66,28.40,盐湖股份,否,1.68,0,False,0.23,否,1502.81亿
3306.25亿,31,0.47,95.50,22.48亿,2366.17万,25.22|2025-12-23,SZ,002594,深交所主板,94.50,0.94,27.78,3.93,94.81,比亚迪,否,0.68,0,False,0.44,否,8644.01亿
1177.81亿,32,-0.24,4.14,2.71亿,6583.78万,24.98|2025-12-23,SH,600905,上交所主板,4.11,0.85,20.48,1.32,4.12,三峡能源,否,0.23,1,False,-0.01,否,1177.81亿
1752.50亿,33,-1.01,20.93,10.73亿,5201.29万,24.34|2025-12-23,SH,600031,上交所主板,20.44,1.09,19.99,2.59,20.68,三一重工,否,0.61,1,False,-0.21,否,1901.53亿
1820.83亿,34,-0.58,29.50,12.43亿,4273.38万,24.06|2025-12-23,SH,600887,上交所主板,28.81,1.10,13.16,3.43,28.93,伊利股份,否,0.68,1,False,-0.17,否,1829.93亿
1839.15亿,35,0.17,23.05,6.68亿,2917.76万,24.01|2025-12-23,SH,600406,上交所主板,22.73,0.97,28.54,3.75,23.00,国电南瑞,否,0.36,1,False,0.04,否,1847.38亿
1639.07亿,36,-0.34,8.75,4.43亿,5094.61万,23.30|2025-12-23,SH,601985,上交所主板,8.67,0.89,16.73,1.54,8.68,中国核电,否,0.27,1,False,-0.03,否,1785.30亿
1169.66亿,37,1.17,24.65,20.32亿,8375.71万,22.81|2025-12-23,SH,600489,上交所主板,23.95,1.25,23.85,4.01,24.13,中金黄金,否,1.73,1,False,0.28,否,1169.66亿
906.43亿,38,-0.30,16.70,8.45亿,5127.95万,22.15|2025-12-23,SH,600415,上交所主板,16.26,0.99,19.66,4.09,16.53,小商品城,否,0.94,1,False,-0.05,否,906.43亿
1572.18亿,39,-0.58,5.14,5.13亿,1.00亿,21.46|2025-12-23,SH,600050,上交所主板,5.10,0.78,13.66,0.95,5.11,中国联通,否,0.33,1,False,-0.03,否,1597.61亿
2636.13亿,40,-0.03,29.33,8.81亿,3023.55万,21.14|2025-12-23,SZ,002415,深交所主板,28.95,1.06,21.49,3.41,29.14,海康威视,否,0.33,0,False,-0.01,否,2670.64亿
1502.60亿,41,-0.52,3.87,3.65亿,9505.03万,21.08|2025-12-23,SZ,003816,深交所主板,3.81,1.04,16.87,1.56,3.82,中国广核,否,0.24,0,False,-0.02,否,1929.05亿
2241.29亿,42,-0.65,91.79,22.86亿,2512.55万,21.08|2025-12-23,SH,603259,上交所主板,90.34,0.74,16.79,3.81,90.62,药明康德,否,1.02,1,False,-0.59,否,2703.88亿
1826.25亿,43,-0.10,38.49,6.40亿,1669.79万,21.01|2025-12-23,SZ,002352,深交所主板,38.20,0.70,17.41,1.96,38.27,顺丰控股,否,0.35,0,False,-0.04,否,1928.59亿
