CIRCULATION_MARKET_VALUE<140>,SERIAL,CHG,PEAK_PRICE<140>,PETTMDEDUCTED{2025-12-18},TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,IFSTSTOCK{2025-12-18},NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,TOAL_MARKET_VALUE<140>
1510.44亿,1,-2.96,79.52,49.86|2025-12-17,18.59亿,2386.48万,SH,601888,上交所主板,77.31,0.90,39.33,2.87,否,77.36,中国中免,否,1.22,1,False,-2.36,1600.47亿
832.45亿,2,-1.50,4.66,48.61|2025-12-17,14.37亿,3.13亿,SZ,000100,深交所主板,4.55,0.88,23.55,1.57,否,4.60,TCL科技,否,1.73,0,False,-0.07,956.84亿
1193.37亿,3,-0.69,70.98,47.66|2025-12-17,17.43亿,2508.61万,SH,601689,上交所主板,67.17,0.87,45.51,5.13,否,68.67,拓普集团,否,1.44,1,False,-0.48,1193.37亿
1584.57亿,4,-2.29,44.23,46.86|2025-12-17,33.98亿,7813.83万,SZ,002050,深交所主板,42.93,0.76,41.86,5.72,否,43.01,三花智控,否,2.12,0,False,-1.01,1809.87亿
880.56亿,5,-3.74,149.65,46.73|2025-12-17,8.94亿,614.20万,SZ,002028,深交所主板,144.21,0.79,38.62,7.81,否,144.48,思源电气,否,1.01,0,False,-5.62,1128.51亿
1041.57亿,6,0.79,173.85,46.62|2025-12-17,3.06亿,177.08万,SH,600436,上交所主板,170.55,1.12,36.69,7.20,否,172.64,片仔癀,否,0.29,1,False,1.36,1041.57亿
2457.12亿,7,-0.91,32.89,45.23|2025-12-17,9.98亿,3048.47万,SH,600150,上交所主板,32.64,0.68,31.49,1.74,否,32.65,中国船舶,否,0.41,1,False,-0.30,2457.12亿
847.03亿,8,2.60,44.98,45.04|2025-12-17,12.19亿,2776.79万,SZ,002558,深交所主板,42.39,1.00,44.84,5.58,否,43.78,巨人网络,否,1.44,0,False,1.11,847.03亿
901.37亿,9,-2.23,62.66,44.75|2025-12-17,15.93亿,2569.15万,SZ,000977,深交所主板,61.41,0.67,45.67,4.29,否,61.45,浪潮信息,否,1.75,0,False,-1.40,902.38亿
935.33亿,10,-0.46,62.48,42.81|2025-12-17,1.90亿,306.20万,SZ,002304,深交所主板,62.01,0.87,17.65,1.93,否,62.09,洋河股份,否,0.20,0,False,-0.29,935.35亿
868.73亿,11,-2.64,28.20,41.75|2025-12-17,17.79亿,6373.70万,SZ,002241,深交所主板,27.67,1.12,28.45,2.74,否,27.68,歌尔股份,否,2.03,0,False,-0.75,981.43亿
1314.24亿,12,-5.07,70.40,40.56|2025-12-17,39.36亿,5703.30万,SZ,002463,深交所主板,68.29,1.21,36.30,9.43,否,68.35,沪电股份,否,2.97,0,False,-3.65,1315.30亿
1.16万亿,13,-4.99,59.86,40.26|2025-12-17,90.98亿,1.54亿,SH,601138,上交所主板,58.40,1.12,38.70,7.18,否,58.43,工业富联,否,0.78,1,False,-3.07,1.16万亿
963.96亿,14,-1.02,11.75,39.96|2025-12-17,6.22亿,5326.10万,SZ,000625,深交所主板,11.63,0.61,28.40,1.50,否,11.67,长安汽车,否,0.64,0,False,-0.12,1156.97亿
1492.16亿,15,-1.88,125.58,39.77|2025-12-17,13.64亿,1096.79万,SH,603501,上交所主板,123.28,0.76,34.86,5.42,否,123.38,豪威集团,否,0.91,1,False,-2.36,1492.16亿
1338.43亿,16,2.35,37.57,34.44|2025-12-17,14.12亿,3828.48万,SH,600547,上交所主板,35.85,1.28,32.36,5.61,否,37.03,山东黄金,否,1.06,1,False,0.85,1707.06亿
1180.80亿,17,0.01,75.93,34.15|2025-12-17,8.30亿,1103.26万,SZ,000408,深交所主板,74.01,0.78,32.19,7.81,否,75.20,藏格矿业,否,0.70,0,False,0.01,1180.81亿
1388.28亿,18,-1.03,270.60,33.89|2025-12-17,2.87亿,107.42万,SH,605499,上交所主板,265.30,0.60,27.68,15.78,否,266.97,东鹏饮料,否,0.21,1,False,-2.79,1388.28亿
1508.62亿,19,-1.44,4.16,33.14|2025-12-17,23.87亿,5.82亿,SZ,000725,深交所主板,4.07,0.96,25.06,1.15,否,4.11,京东方Ａ,否,1.58,0,False,-0.06,1537.71亿
2058.53亿,20,-0.03,37.15,32.78|2025-12-17,2.38亿,644.17万,SH,603288,上交所主板,36.90,0.73,30.53,5.48,否,37.02,海天味业,否,0.12,1,False,-0.01,2166.35亿
4146.49亿,21,-2.71,58.17,32.56|2025-12-17,29.53亿,5137.83万,SZ,002475,深交所主板,57.01,0.60,27.06,5.20,否,57.07,立讯精密,否,0.71,0,False,-1.59,4155.90亿
1809.17亿,22,-1.42,120.70,32.19|2025-12-17,11.96亿,995.33万,SH,601127,上交所主板,119.69,0.56,29.47,7.04,否,119.83,赛力斯,否,0.66,1,False,-1.72,2087.42亿
1146.84亿,23,-3.10,50.95,30.88|2025-12-17,11.09亿,2215.00万,SZ,002938,深交所主板,49.30,0.74,35.86,3.52,否,49.66,鹏鼎控股,否,0.96,0,False,-1.59,1151.14亿
1142.08亿,24,0.42,17.18,29.68|2025-12-17,14.74亿,8765.52万,SZ,002602,深交所主板,16.45,0.78,21.32,4.16,否,16.80,世纪华通,否,1.29,0,False,0.07,1238.49亿
1095.45亿,25,-2.65,22.02,29.59|2025-12-17,22.78亿,1.04亿,SH,600089,上交所主板,21.68,0.43,14.98,1.59,否,21.68,特变电工,否,2.07,1,False,-0.59,1095.45亿
1373.48亿,26,-1.03,22.45,27.86|2025-12-17,1.86亿,839.10万,SH,601633,上交所主板,22.11,0.46,16.44,2.20,否,22.12,长城汽车,否,0.14,1,False,-0.23,1893.00亿
1343.76亿,27,1.65,19.63,27.73|2025-12-17,5.32亿,2756.27万,SH,600346,上交所主板,18.85,1.64,20.07,2.08,否,19.09,恒力石化,否,0.39,1,False,0.31,1343.76亿
1131.47亿,28,-1.21,9.17,27.41|2025-12-17,5.39亿,5968.97万,SZ,000617,深交所主板,8.95,0.80,21.23,1.08,否,8.95,中油资本,否,0.47,0,False,-0.11,1131.47亿
3272.78亿,29,-1.43,94.60,25.32|2025-12-17,17.92亿,1904.19万,SZ,002594,深交所主板,93.80,0.67,27.50,3.89,否,93.85,比亚迪,否,0.55,0,False,-1.36,8556.49亿
1180.67亿,30,0.24,4.13,24.98|2025-12-17,1.93亿,4683.71万,SH,600905,上交所主板,4.10,0.64,20.53,1.32,否,4.13,三峡能源,否,0.16,1,False,0.01,1180.67亿
968.67亿,31,-1.02,36.60,24.98|2025-12-17,5.85亿,1622.60万,SH,600160,上交所主板,35.80,1.09,22.37,4.74,否,35.88,巨化股份,否,0.60,1,False,-0.37,968.67亿
1784.71亿,32,-0.05,21.18,24.80|2025-12-17,7.12亿,3397.02万,SH,600031,上交所主板,20.70,0.82,20.35,2.43,否,21.06,三一重工,否,0.40,1,False,-0.01,1936.47亿
1401.73亿,33,-1.82,27.30,24.51|2025-12-17,20.42亿,7600.68万,SZ,000792,深交所主板,26.47,0.91,23.35,3.41,否,26.49,盐湖股份,否,1.44,0,False,-0.49,1401.74亿
1830.36亿,34,-0.74,22.99,24.08|2025-12-17,4.36亿,1905.31万,SH,600406,上交所主板,22.80,0.53,28.40,3.74,否,22.89,国电南瑞,否,0.24,1,False,-0.17,1838.54亿
1822.72亿,35,0.38,29.09,24.00|2025-12-17,6.68亿,2307.51万,SH,600887,上交所主板,28.68,0.67,13.18,3.25,否,28.96,伊利股份,否,0.37,1,False,0.11,1831.82亿
1163.61亿,36,3.85,62.50,23.66|2025-12-17,45.77亿,7419.35万,SH,603799,上交所主板,59.02,1.71,20.83,2.46,否,61.76,华友钴业,否,3.94,1,False,2.29,1171.03亿
1642.85亿,37,0.23,8.70,23.30|2025-12-17,2.69亿,3098.69万,SH,601985,上交所主板,8.64,0.47,16.77,1.55,否,8.70,中国核电,否,0.16,1,False,0.02,1789.42亿
893.27亿,38,-0.43,16.47,21.92|2025-12-17,5.01亿,3072.21万,SH,600415,上交所主板,16.12,0.89,19.38,4.03,否,16.29,小商品城,否,0.56,1,False,-0.07,893.27亿
1578.34亿,39,-0.19,5.14,21.58|2025-12-17,3.94亿,7697.12万,SH,600050,上交所主板,5.10,0.54,13.71,0.93,否,5.13,中国联通,否,0.25,1,False,-0.01,1603.87亿
1096.46亿,40,0.00,22.90,21.39|2025-12-17,10.65亿,4693.35万,SH,600489,上交所主板,22.33,0.72,22.35,3.76,否,22.62,中金黄金,否,0.97,1,False,0.00,1096.46亿
1736.94亿,41,-2.69,27.30,21.27|2025-12-17,9.18亿,3437.02万,SH,601066,上交所主板,26.40,1.16,21.95,2.53,否,26.74,中信建投,否,0.53,1,False,-0.74,2074.14亿
1510.46亿,42,0.26,3.85,21.14|2025-12-17,2.34亿,6123.55万,SZ,003816,深交所主板,3.80,0.60,16.96,1.57,否,3.84,中国广核,否,0.16,0,False,0.01,1939.15亿
2630.70亿,43,0.03,29.20,21.09|2025-12-17,5.47亿,1880.96万,SZ,002415,深交所主板,28.90,0.55,21.45,3.40,否,29.08,海康威视,否,0.21,0,False,0.01,2665.14亿
2243.51亿,44,0.13,92.20,21.07|2025-12-17,23.62亿,2593.06万,SH,603259,上交所主板,89.59,0.80,16.81,3.79,否,90.71,药明康德,否,1.05,1,False,0.12,2706.57亿
6738.84亿,45,0.54,28.09,20.87|2025-12-17,10.96亿,3911.73万,SH,600900,上交所主板,27.89,0.66,18.27,3.11,否,28.07,长江电力,否,0.16,1,False,0.15,6868.23亿
1005.88亿,46,0.96,56.80,20.86|2025-12-17,3.60亿,637.39万,SZ,000538,深交所主板,56.09,1.35,15.89,2.55,否,56.74,云南白药,否,0.36,0,False,0.54,1012.39亿
1823.87亿,47,0.76,38.29,20.82|2025-12-17,7.19亿,1887.59万,SZ,002352,深交所主板,37.76,0.93,17.39,1.96,否,38.22,顺丰控股,否,0.40,0,False,0.29,1926.07亿
5618.82亿,48,1.54,5.97,20.41|2025-12-17,5.73亿,9694.28万,SH,600028,上交所主板,5.82,0.90,17.96,0.86,否,5.93,中国石化,否,0.10,1,False,0.09,7180.53亿
1060.06亿,49,1.66,7.37,20.32|2025-12-17,7.84亿,1.07亿,SZ,002027,深交所主板,7.17,0.97,18.75,6.44,否,7.34,分众传媒,否,0.74,0,False,0.12,1060.06亿
1692.00亿,50,0.32,9.42,20.21|2025-12-17,1.12亿,1188.88万,SH,600025,上交所主板,9.35,0.67,17.42,2.55,否,9.40,华能水电,否,0.07,1,False,0.03,1751.32亿
