CIRCULATION_MARKET_VALUE<140>,SERIAL,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,IFSTSTOCK{2025-11-04},VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,PETTMDEDUCTED{2025-11-04},TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,TOAL_MARKET_VALUE<140>
1568.31亿,1,0.71,109.95,37.25亿,否,3454.71万,SH,603019,上交所主板,106.26,0.76,121.78,7.45,107.22,中科曙光,否,93.16|2025-11-04,2.36,1,False,0.76,1568.75亿
1775.00亿,2,0.41,49.95,39.97亿,否,8132.36万,SH,600111,上交所主板,48.40,0.46,86.37,7.43,49.10,北方稀土,否,88.86|2025-11-04,2.25,1,False,0.20,1775.00亿
693.42亿,3,-5.13,46.94,46.18亿,否,1.02亿,SH,600580,上交所主板,44.27,0.89,63.53,6.48,44.39,卧龙电驱,否,88.66|2025-11-04,6.55,1,False,-2.40,693.42亿
937.16亿,4,-3.19,10.40,4.00亿,否,3937.47万,SZ,002493,深交所主板,9.93,1.27,84.41,2.29,10.01,荣盛石化,否,87.47|2025-11-04,0.42,0,False,-0.33,999.94亿
735.56亿,5,-2.27,179.60,12.26亿,否,696.43万,SH,603893,上交所主板,173.52,0.70,70.79,17.32,174.80,瑞芯微,否,77.37|2025-11-04,1.66,1,False,-4.06,735.77亿
582.12亿,6,-0.99,12.14,3.01亿,否,2493.33万,SH,600372,上交所主板,12.01,0.79,44.12,1.52,12.03,中航机载,否,76.82|2025-11-04,0.52,1,False,-0.12,582.12亿
612.32亿,7,-2.06,20.93,6.94亿,否,3393.72万,SH,600673,上交所主板,20.18,0.61,50.85,6.31,20.40,东阳光,否,74.43|2025-11-04,1.13,1,False,-0.43,613.95亿
728.47亿,8,-3.29,78.22,20.43亿,否,2702.45万,SH,603228,上交所主板,73.88,0.52,58.16,5.76,74.66,景旺电子,否,73.40|2025-11-04,2.77,1,False,-2.54,735.24亿
620.33亿,9,-2.06,42.48,28.21亿,否,6807.38万,SZ,002156,深交所主板,40.57,0.56,54.07,4.09,40.88,通富微电,否,72.34|2025-11-04,4.49,0,False,-0.86,620.39亿
699.56亿,10,-1.94,25.69,4.58亿,否,1803.70万,SZ,000768,深交所主板,25.12,0.96,53.03,3.22,25.23,中航西飞,否,70.79|2025-11-04,0.65,0,False,-0.50,701.68亿
573.16亿,11,-3.14,31.20,12.91亿,否,4236.67万,SH,600570,上交所主板,30.09,1.30,94.45,6.34,30.26,恒生电子,否,66.79|2025-11-04,2.24,1,False,-0.98,573.16亿
1680.62亿,12,-2.48,43.00,59.57亿,否,1.41亿,SZ,000063,深交所主板,41.40,0.61,28.13,2.66,41.73,中兴通讯,否,63.18|2025-11-04,3.51,0,False,-1.06,1996.17亿
772.63亿,13,-1.76,78.72,26.01亿,否,3362.29万,SZ,000988,深交所主板,76.30,0.49,43.88,7.09,76.88,华工科技,否,63.01|2025-11-04,3.35,0,False,-1.38,773.03亿
635.12亿,14,-2.33,42.19,17.81亿,否,4308.68万,SH,600895,上交所主板,40.74,0.68,77.26,4.76,41.01,张江高科,否,61.24|2025-11-04,2.78,1,False,-0.98,635.12亿
1656.88亿,15,-1.82,61.30,9.29亿,否,1536.69万,SH,600760,上交所主板,59.94,0.59,94.16,7.83,60.29,中航沈飞,否,59.20|2025-11-04,0.56,1,False,-1.12,1709.28亿
1482.00亿,16,1.84,233.99,29.98亿,否,1325.03万,SZ,002916,深交所主板,219.00,1.15,47.91,9.18,222.85,深南电路,否,58.37|2025-11-04,1.99,0,False,4.02,1485.83亿
3949.88亿,17,-2.33,63.45,32.16亿,否,5156.10万,SH,600276,上交所主板,61.55,0.73,53.59,6.91,61.92,恒瑞医药,否,57.47|2025-11-04,0.81,1,False,-1.48,4109.75亿
687.99亿,18,-3.02,83.48,17.09亿,否,2092.88万,SZ,002049,深交所主板,80.51,0.63,40.87,5.24,80.99,紫光国微,否,56.86|2025-11-04,2.46,0,False,-2.52,688.11亿
1510.45亿,19,-0.94,65.45,32.16亿,否,5033.15万,SH,600183,上交所主板,61.72,0.84,47.04,9.86,63.08,生益科技,否,55.89|2025-11-04,2.10,1,False,-0.60,1532.29亿
1068.11亿,20,-2.30,15.24,23.03亿,否,1.55亿,SZ,002600,深交所主板,14.71,0.65,41.89,4.60,14.84,领益智造,否,55.81|2025-11-04,2.15,0,False,-0.35,1084.22亿
712.54亿,21,0.94,41.21,28.97亿,否,7186.86万,SH,600584,上交所主板,39.44,0.89,56.03,2.53,39.82,长电科技,否,54.38|2025-11-04,4.02,1,False,0.37,712.54亿
1729.79亿,22,-3.77,49.14,89.92亿,否,1.90亿,SZ,002050,深交所主板,46.27,0.77,45.71,6.25,46.95,三花智控,否,49.99|2025-11-04,5.17,0,False,-1.84,1976.09亿
762.50亿,23,-2.02,27.07,13.54亿,否,5063.52万,SZ,000938,深交所主板,26.50,0.65,40.74,5.27,26.66,紫光股份,否,49.91|2025-11-04,1.77,0,False,-0.55,762.50亿
2728.04亿,24,-0.49,36.55,25.16亿,否,6962.34万,SH,600150,上交所主板,35.88,0.84,34.96,1.93,36.25,中国船舶,否,49.76|2025-11-04,0.93,1,False,-0.18,2728.04亿
502.20亿,25,-3.74,19.63,15.95亿,否,8313.21万,SH,600143,上交所主板,19.00,0.71,35.40,2.63,19.06,金发科技,否,48.82|2025-11-04,3.16,1,False,-0.74,502.54亿
1062.92亿,26,-0.48,71.49,3.45亿,否,487.19万,SZ,002304,深交所主板,70.30,0.82,20.06,2.19,70.56,洋河股份,否,48.42|2025-11-04,0.32,0,False,-0.34,1062.95亿
1068.78亿,27,-0.86,178.40,3.15亿,否,177.62万,SH,600436,上交所主板,176.65,0.65,37.64,7.39,177.15,片仔癀,否,48.22|2025-11-04,0.29,1,False,-1.54,1068.78亿
1.46万亿,28,-1.87,75.20,96.65亿,否,1.31亿,SH,601138,上交所主板,72.47,0.59,48.67,9.03,73.49,工业富联,否,48.10|2025-11-04,0.66,1,False,-1.40,1.46万亿
1201.71亿,29,-6.62,74.50,43.87亿,否,6230.37万,SH,601689,上交所主板,68.49,0.93,45.83,5.16,69.15,拓普集团,否,47.66|2025-11-04,3.59,1,False,-4.90,1201.71亿
1473.14亿,30,-1.59,77.27,27.37亿,否,3611.27万,SH,601888,上交所主板,74.84,0.73,38.36,2.80,75.45,中国中免,否,47.19|2025-11-04,1.85,1,False,-1.22,1560.95亿
1204.06亿,31,-2.61,93.12,6.58亿,否,726.90万,SH,601100,上交所主板,89.20,0.70,43.27,7.06,89.80,恒立液压,否,47.06|2025-11-04,0.54,1,False,-2.41,1204.06亿
996.19亿,32,-3.43,32.96,25.50亿,否,7950.11万,SZ,002241,深交所主板,31.46,0.91,32.63,3.09,31.81,歌尔股份,否,46.63|2025-11-04,2.54,0,False,-1.13,1125.72亿
2934.50亿,33,1.10,410.46,31.61亿,否,779.05万,SZ,002371,深交所主板,397.80,1.05,42.93,8.15,405.43,北方华创,否,45.88|2025-11-04,1.08,0,False,4.43,2936.84亿
870.87亿,34,5.07,144.70,26.28亿,否,1866.53万,SZ,002028,深交所主板,137.00,1.58,38.20,7.72,142.89,思源电气,否,44.48|2025-11-04,3.06,0,False,6.89,1116.09亿
916.12亿,35,-2.32,64.00,27.21亿,否,4333.86万,SZ,000977,深交所主板,61.85,0.57,46.41,4.35,62.30,浪潮信息,否,44.47|2025-11-04,2.95,0,False,-1.48,917.14亿
769.11亿,36,-2.07,4.34,12.58亿,否,2.94亿,SZ,000100,深交所主板,4.24,0.70,21.76,1.45,4.25,TCL科技,否,44.23|2025-11-04,1.63,0,False,-0.09,884.04亿
656.45亿,37,-0.50,32.54,3.73亿,否,1157.75万,SH,600009,上交所主板,31.98,0.99,36.64,1.90,32.08,上海机场,否,43.43|2025-11-04,0.57,1,False,-0.16,798.25亿
1015.17亿,38,-1.05,12.40,9.16亿,否,7441.91万,SZ,000625,深交所主板,12.24,0.97,29.91,1.58,12.29,长安汽车,否,41.66|2025-11-04,0.90,0,False,-0.13,1218.44亿
520.72亿,39,-2.11,32.06,9.18亿,否,2936.00万,SZ,002080,深交所主板,30.66,0.51,26.39,2.65,31.03,中材科技,否,41.43|2025-11-04,1.75,0,False,-0.67,520.72亿
1529.69亿,40,-2.13,129.56,16.36亿,否,1282.00万,SH,603501,上交所主板,126.40,0.67,35.74,5.57,126.80,豪威集团,否,40.01|2025-11-04,1.06,1,False,-2.76,1529.69亿
1365.20亿,41,-0.88,73.52,32.76亿,否,4541.90万,SZ,002463,深交所主板,70.38,0.70,37.71,9.80,71.00,沪电股份,否,39.99|2025-11-04,2.36,0,False,-0.63,1366.30亿
596.91亿,42,-3.62,29.22,12.16亿,否,4314.37万,SH,603659,上交所主板,27.68,0.64,26.34,3.02,27.94,璞泰来,否,39.37|2025-11-04,2.02,1,False,-1.05,596.91亿
561.61亿,43,-2.70,5.15,14.07亿,否,2.79亿,SZ,000630,深交所主板,4.97,0.56,28.63,1.87,5.04,铜陵有色,否,38.91|2025-11-04,2.50,0,False,-0.14,675.84亿
2334.58亿,44,1.19,155.41,29.34亿,否,1908.94万,SH,601127,上交所主板,152.06,0.70,35.66,9.25,154.63,赛力斯,否,38.40|2025-11-04,1.26,1,False,1.82,2525.67亿
