SERIAL,PER_NAV,CHG,TRADING_VOLUMES{2025-10-29},STARTDATE,PCHG{2025-10-29},PREMIUM,FOUND_DATE,SECURITY_CODE,QJFE_DAY{2025-10-29},NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE
1,4.8614,1.25,32.85亿,2012-04-05,0.060,0.001,2012-05-04,510300,1.23亿,4.862,沪深300ETF,1,False,895.87亿,1.19|2025-10-29,T+1,4355.20亿|2025-10-29
2,4.6816,1.30,7.79亿,2013-02-18,0.060,0.001,2013-03-06,510310,2700.00万,4.683,沪深300ETF易方达,1,False,668.84亿,1.19|2025-10-29,T+1,3131.25亿|2025-10-29
3,4.9316,1.23,2.92亿,2012-12-17,0.060,-0.001,2012-12-25,510330,1440.00万,4.931,沪深300ETF华夏,1,False,474.81亿,1.19|2025-10-29,T+1,2341.56亿|2025-10-29
4,5.0147,1.17,5.93亿,2012-04-05,0.058,-0.002,2012-05-07,159919,-,5.013,沪深300ETF,0,False,406.41亿,1.19|2025-10-29,T+1,2014.07亿|2025-10-28
5,3.2104,0.44,20.19亿,2004-11-29,0.014,0.000,2004-12-30,510050,1890.00万,3.210,上证50ETF,1,False,585.42亿,0.41|2025-10-29,T+1,1879.43亿|2025-10-29
6,7.5881,2.06,15.54亿,2013-01-10,0.153,0.006,2013-02-06,510500,7320.00万,7.594,中证500ETF,1,False,183.32亿,1.91|2025-10-29,T+1,1391.03亿|2025-10-29
7,3.3004,2.96,44.73亿,2011-08-15,0.095,0.000,2011-09-20,159915,-,3.300,创业板ETF,0,False,326.08亿,2.93|2025-10-29,T+1,1045.52亿|2025-10-28
8,0.9799,1.02,10.72亿,2021-08-23,0.010,0.007,2021-09-15,159792,-,0.987,港股通互联网ETF,0,False,917.79亿,-0.02|2025-10-29,T+0,899.52亿|2025-10-28
9,8.7325,1.11,69.29亿,2013-06-24,0.095,-0.041,2013-07-18,518880,-3690.00万,8.692,黄金ETF,1,False,91.07亿,1.81|2025-10-29,T+0,795.29亿|2025-10-29
10,1.5635,1.29,48.07亿,2020-09-22,0.020,0.002,2020-09-28,588000,1.94亿,1.565,科创50ETF,1,False,490.98亿,1.17|2025-10-29,T+1,767.64亿|2025-10-29
11,101.0181,0.00,175.07亿,2013-03-18,0.003,-0.006,2013-04-01,511880,-1514.27万,101.012,银华日利ETF,1,False,7.57亿,0.00|2025-10-29,T+0,764.97亿|2025-10-29
12,1.5146,1.27,11.84亿,2020-09-22,0.019,0.000,2020-09-28,588080,4500.00万,1.515,科创板50ETF,1,False,502.85亿,1.18|2025-10-29,T+1,761.61亿|2025-10-29
13,3.0631,1.36,10.76亿,2016-08-24,0.041,0.003,2016-09-29,512100,1.56亿,3.066,中证1000ETF,1,False,248.47亿,1.20|2025-10-29,T+1,761.10亿|2025-10-29
14,-,0.00,111.64亿,2012-12-19,-0.002,-0.007,2012-12-27,511990,-1122.18万,99.993,华宝添益ETF,1,False,7.46亿,0.00|2025-10-29,T+0,746.45亿|2025-10-29
15,112.5442,0.01,333.07亿,2020-04-30,0.009,-0.008,2020-08-03,511360,-304.20万,112.536,短融ETF,1,False,5.69亿,0.01|2025-10-29,T+0,640.85亿|2025-10-29
16,1.2923,2.22,51.75亿,2016-06-20,0.028,0.000,2016-07-26,512880,-8.18亿,1.292,证券ETF,1,False,467.44亿,2.25|2025-10-29,T+1,604.08亿|2025-10-29
17,13.5921,1.05,105.04亿,2020-02-10,0.141,-0.018,2020-03-06,511380,-4910.00万,13.574,可转债ETF,1,False,43.58亿,0.91|2025-10-29,T+0,592.36亿|2025-10-29
18,0.8203,0.97,18.90亿,2021-05-12,0.008,0.011,2021-05-18,513180,0.00,0.831,恒生科技指数ETF,1,False,563.15亿,-0.04|2025-10-29,T+0,461.95亿|2025-10-29
19,3.1177,1.27,2.30亿,2021-03-04,0.039,0.000,2021-03-18,159845,-,3.118,中证1000ETF,0,False,144.80亿,1.20|2025-10-29,T+1,446.10亿|2025-10-28
20,114.8301,-0.02,42.06亿,2022-08-03,-0.022,0.025,2022-08-19,511520,17.00万,114.855,政金债券ETF,1,False,3.78亿,0.00|2025-10-29,T+0,433.90亿|2025-10-29
21,2.5309,0.48,40.07亿,2022-09-23,0.012,0.000,2022-09-30,588200,3.60亿,2.531,科创芯片ETF,1,False,170.08亿,0.43|2025-10-29,T+1,430.45亿|2025-10-29
22,0.8039,0.99,21.58亿,2021-05-12,0.008,0.013,2021-05-24,513130,0.00,0.817,恒生科技ETF,1,False,514.42亿,-0.04|2025-10-29,T+0,413.55亿|2025-10-29
23,1.6675,1.26,16.26亿,2016-12-12,0.021,-0.002,2017-01-04,513050,0.00,1.689,中概互联网ETF,1,False,240.56亿,-1.40|2025-10-28,T+0,401.14亿|2025-10-28
24,0.6176,1.98,28.93亿,2016-08-01,0.012,-0.001,2016-08-30,512000,-4680.00万,0.617,券商ETF,1,False,644.21亿,2.23|2025-10-29,T+1,397.86亿|2025-10-29
25,1.4849,1.07,3.23亿,2022-06-17,0.016,0.021,2022-06-30,159636,-,1.506,港股通科技30ETF,0,False,263.78亿,-0.03|2025-10-29,T+0,391.80亿|2025-10-28
26,8.7162,1.15,16.83亿,2014-08-04,0.099,-0.040,2014-08-13,159937,-,8.676,黄金ETF基金,0,False,43.29亿,1.82|2025-10-29,T+0,370.58亿|2025-10-28
27,0.5801,1.03,14.78亿,2021-01-18,0.006,0.006,2021-01-26,513330,0.00,0.586,恒生互联网ETF,1,False,605.25亿,-0.03|2025-10-29,T+0,351.11亿|2025-10-29
28,3.1125,1.07,1.03亿,2022-07-22,0.033,-0.002,2022-07-28,560010,1200.00万,3.111,中证1000ETF指数,1,False,112.00亿,1.20|2025-10-29,T+1,348.59亿|2025-10-29
29,2.2906,1.70,148.72亿,2020-02-24,0.039,0.044,2020-03-13,513090,0.00,2.335,香港证券ETF,1,False,146.51亿,-0.03|2025-10-29,T+0,335.60亿|2025-10-29
30,9.1219,1.11,22.67亿,2013-10-28,0.100,-0.045,2013-11-29,159934,-,9.077,黄金ETF,0,False,35.60亿,1.82|2025-10-29,T+0,318.92亿|2025-10-28
31,119.1096,-0.29,94.70亿,2023-02-17,-0.343,0.065,2023-05-19,511090,350.00万,119.175,30年国债ETF,1,False,2.64亿,-0.15|2025-10-29,T+0,314.34亿|2025-10-29
32,1.3835,1.72,16.05亿,2015-05-20,0.025,0.107,2015-06-10,159941,-,1.481,纳指ETF,0,False,221.26亿,0.71|2025-10-28,T+0,306.12亿|2025-10-28
33,1.8792,0.21,12.28亿,2019-12-24,0.004,0.002,2020-01-20,159995,-,1.881,芯片ETF,0,False,155.90亿,0.07|2025-10-29,T+1,292.75亿|2025-10-28
