SERIAL,PER_NAV,CHG,TRADING_VOLUMES,PREMIUM,SECURITY_CODE,QJFE_DAY{2025-12-25},ETF_TYPE,NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE
1,9.6229,0.88,47.26亿,0.027,518880,-700.00万,黄金ETF,9.650,黄金ETF,1,False,0.084,101.48亿,0.40|2025-12-26,T+0,972.65亿|2025-12-25
2,9.6899,0.79,5.77亿,0.028,518850,660.00万,黄金ETF,9.718,黄金ETF华夏,1,False,0.076,11.96亿,0.40|2025-12-26,T+0,115.42亿|2025-12-25
3,9.5055,0.87,2.88亿,0.029,518800,-2330.00万,黄金ETF,9.534,黄金基金ETF,1,False,0.082,31.69亿,0.40|2025-12-26,T+0,300.06亿|2025-12-25
4,10.0826,0.84,2.46亿,-0.002,518680,150.00万,黄金ETF,10.081,金ETF,1,False,0.084,5.90亿,0.71|2025-12-26,T+0,59.02亿|2025-12-25
5,9.6284,0.83,2.63亿,0.025,518660,-420.00万,黄金ETF,9.653,黄金ETF基金,1,False,0.079,6.99亿,0.40|2025-12-26,T+0,67.05亿|2025-12-25
6,9.6021,0.82,9.06亿,0.027,159937,-1670.00万,黄金ETF,9.629,黄金ETF基金,0,False,0.078,43.84亿,0.40|2025-12-26,T+0,419.32亿|2025-12-25
7,10.0122,0.81,11.35亿,0.065,159934,-1230.00万,黄金ETF,10.077,黄金ETF,0,False,0.081,36.47亿,-0.47|2025-12-25,T+0,365.13亿|2025-12-25
8,1.4004,-0.14,1.12亿,0.001,515450,-500.00万,风格策略,1.401,红利低波50ETF,1,False,-0.002,106.94亿,-0.21|2025-12-26,T+1,150.08亿|2025-12-25
9,1.3714,0.44,2.62亿,0.001,515180,1000.00万,风格策略,1.372,红利ETF易方达,1,False,0.006,83.97亿,0.49|2025-12-26,T+1,114.59亿|2025-12-25
10,1.4442,0.14,1.33亿,0.003,515100,-1000.00万,风格策略,1.447,红利低波100ETF,1,False,0.002,39.30亿,0.38|2025-12-25,T+1,56.76亿|2025-12-25
11,1.5501,0.39,2.42亿,0.000,515080,-400.00万,风格策略,1.550,中证红利ETF,1,False,0.006,55.52亿,0.49|2025-12-26,T+1,85.64亿|2025-12-25
12,1.1771,-0.25,4.62亿,-0.002,512890,900.00万,风格策略,1.175,红利低波ETF,1,False,-0.003,226.33亿,0.15|2025-12-25,T+1,266.41亿|2025-12-25
13,3.1849,0.41,3.86亿,0.002,510880,-700.00万,风格策略,3.187,红利ETF,1,False,0.013,61.19亿,0.38|2025-12-26,T+1,194.16亿|2025-12-25
14,0.7711,0.52,2.76亿,0.001,588790,2400.00万,行业主题,0.772,科创AIETF,1,False,0.004,75.19亿,0.43|2025-12-26,T+1,57.73亿|2025-12-25
15,1.5527,-0.77,1.20亿,0.000,588750,-3000.00万,行业主题,1.553,科创芯片50ETF,1,False,-0.012,34.75亿,-0.80|2025-12-26,T+1,54.39亿|2025-12-25
16,2.3466,-0.72,18.60亿,-0.017,588200,-300.00万,行业主题,2.330,科创芯片ETF,1,False,-0.017,168.91亿,0.18|2025-12-25,T+1,396.36亿|2025-12-25
17,0.9834,0.10,15.17亿,0.001,562500,-5.88亿,行业主题,0.984,机器人ETF,1,False,0.001,260.77亿,0.10|2025-12-26,T+1,256.18亿|2025-12-25
18,0.8506,2.16,3.80亿,-0.001,561910,-5500.00万,行业主题,0.850,电池ETF,1,False,0.018,68.11亿,2.19|2025-12-26,T+1,56.70亿|2025-12-25
19,1.5097,3.77,3.31亿,0.058,560860,6000.00万,行业主题,1.568,工业有色ETF,1,False,0.057,53.09亿,-0.51|2025-12-25,T+1,80.15亿|2025-12-25
20,2.0920,2.24,4.82亿,0.005,517520,0.00,行业主题,2.097,黄金股ETF,1,False,0.046,61.46亿,1.91|2025-12-26,T+1,126.17亿|2025-12-25
21,2.9312,2.31,9.68亿,-0.004,516160,1050.00万,行业主题,2.927,新能源ETF,1,False,0.066,22.35亿,2.47|2025-12-26,T+1,63.92亿|2025-12-25
22,1.7916,0.95,2.96亿,0.018,516150,-6950.00万,行业主题,1.810,稀土ETF嘉实,1,False,0.017,43.91亿,1.03|2025-12-25,T+1,78.67亿|2025-12-25
23,0.8585,-0.23,1.85亿,-0.002,515980,-2400.00万,行业主题,0.856,人工智能ETF,1,False,-0.002,83.63亿,0.18|2025-12-25,T+1,71.80亿|2025-12-25
24,3.1071,-1.15,14.67亿,-0.003,515880,9500.00万,行业主题,3.104,通信ETF,1,False,-0.036,46.64亿,-0.98|2025-12-26,T+1,146.36亿|2025-12-25
25,0.9876,1.86,8.64亿,0.000,515790,-1.34亿,行业主题,0.988,光伏ETF,1,False,0.018,119.63亿,1.81|2025-12-26,T+1,116.05亿|2025-12-25
26,1.4693,-0.27,3185.00万,-0.004,515290,-720.00万,行业主题,1.465,银行ETF天弘,1,False,-0.004,37.97亿,-0.05|2025-12-25,T+1,55.79亿|2025-12-25
27,1.0386,0.29,3.80亿,0.000,515220,-1500.00万,行业主题,1.039,煤炭ETF,1,False,0.003,85.48亿,0.33|2025-12-26,T+1,88.49亿|2025-12-25
28,0.5590,-0.89,2.16亿,-0.001,515170,-1.37亿,行业主题,0.558,食品饮料ETF,1,False,-0.005,105.69亿,-0.62|2025-12-26,T+1,59.45亿|2025-12-25
29,0.6407,0.00,1.81亿,0.000,515120,400.00万,行业主题,0.641,创新药ETF,1,False,0.000,113.00亿,-0.05|2025-12-26,T+1,72.43亿|2025-12-25
30,1.9347,-0.31,1.63亿,-0.003,515070,-3750.00万,行业主题,1.932,人工智能AIETF,1,False,-0.006,46.86亿,-0.32|2025-12-26,T+1,90.96亿|2025-12-25
31,2.2924,-0.82,2.80亿,-0.002,515050,-1400.00万,行业主题,2.290,5G通信ETF,1,False,-0.019,35.01亿,-0.84|2025-12-26,T+1,80.94亿|2025-12-25
32,1.4089,0.36,394.76万,-0.001,512960,0.00,行业主题,1.408,央企结构调整ETF,1,False,0.005,40.00亿,0.41|2025-12-26,T+1,56.13亿|2025-12-25
33,1.4580,0.21,652.10万,-0.001,512950,-100.00万,行业主题,1.457,央企改革ETF,1,False,0.003,42.61亿,0.41|2025-12-26,T+1,61.87亿|2025-12-25
34,1.2158,0.66,4088.62万,0.000,512900,900.00万,行业主题,1.216,证券ETF南方,1,False,0.008,62.01亿,0.67|2025-12-26,T+1,74.89亿|2025-12-25
35,1.2206,0.66,25.44亿,0.008,512880,2.25亿,行业主题,1.229,证券ETF,1,False,0.008,472.18亿,0.38|2025-12-25,T+1,576.35亿|2025-12-25
36,0.8161,-0.37,5.58亿,0.000,512800,-3.46亿,行业主题,0.816,银行ETF,1,False,-0.003,158.84亿,-0.34|2025-12-26,T+1,130.07亿|2025-12-25
37,1.6169,-0.37,2.15亿,0.001,512760,720.00万,行业主题,1.618,芯片ETF,1,False,-0.006,61.26亿,-0.54|2025-12-26,T+1,99.59亿|2025-12-25
38,0.7497,0.67,8.54亿,0.000,512710,-8.29亿,行业主题,0.750,军工龙头ETF,1,False,0.005,144.86亿,0.71|2025-12-26,T+1,107.83亿|2025-12-25
39,0.5542,-0.72,8.22亿,-0.004,512690,-4.37亿,行业主题,0.550,酒ETF,1,False,-0.004,350.76亿,1.17|2025-12-25,T+1,194.39亿|2025-12-25
40,1.3651,1.26,3.06亿,-0.001,512680,-1.04亿,行业主题,1.364,军工ETF龙头,1,False,0.017,47.68亿,1.20|2025-12-26,T+1,64.32亿|2025-12-25
41,1.3175,1.14,6.98亿,0.015,512660,-4.17亿,行业主题,1.332,军工ETF,1,False,0.015,88.71亿,3.11|2025-12-25,T+1,116.88亿|2025-12-25
