CIRCULATION_MARKET_VALUE<140>,SERIAL,CHG,PEAK_PRICE<140>,PETTMDEDUCTED{2025-12-28},TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,IFSTSTOCK{2025-12-26},MARKET_NUM,IN_OPTIONAL,PCHG,TOAL_MARKET_VALUE<140>
1238.90亿,1,-0.75,72.22,49.13|2025-12-26,18.38亿,2578.42万,SH,601689,上交所主板,70.56,0.90,47.25,5.32,71.29,拓普集团,否,1.48,否,1,False,-0.54,1238.90亿
891.15亿,2,0.11,46.50,48.62|2025-12-26,11.75亿,2552.41万,SZ,002558,深交所主板,45.31,0.82,47.17,5.87,46.06,巨人网络,否,1.32,否,0,False,0.05,891.15亿
982.78亿,3,1.01,68.39,47.70|2025-12-26,38.21亿,5676.72万,SZ,000977,深交所主板,66.33,1.06,49.79,4.67,67.00,浪潮信息,否,3.87,否,0,False,0.67,983.88亿
1026.85亿,4,-0.02,170.98,46.32|2025-12-26,1.89亿,110.93万,SH,600436,上交所主板,169.90,0.67,36.17,7.10,170.20,片仔癀,否,0.18,否,1,False,-0.04,1026.85亿
2534.63亿,5,-0.47,33.88,46.23|2025-12-26,15.14亿,4491.35万,SH,600150,上交所主板,33.51,1.09,32.49,1.80,33.68,中国船舶,否,0.60,否,1,False,-0.16,2534.63亿
803.50亿,6,-0.67,4.48,46.21|2025-12-26,13.38亿,3.02亿,SZ,000100,深交所主板,4.39,1.07,22.73,1.52,4.44,TCL科技,否,1.67,否,0,False,-0.03,923.56亿
935.93亿,7,-0.89,62.51,42.64|2025-12-26,2.87亿,462.53万,SZ,002304,深交所主板,61.89,1.49,17.66,1.93,62.13,洋河股份,否,0.31,否,0,False,-0.56,935.95亿
1.27万亿,8,-4.32,66.50,41.79|2025-12-26,124.21亿,1.93亿,SH,601138,上交所主板,63.80,1.06,42.28,7.85,63.84,工业富联,否,0.97,否,1,False,-2.88,1.27万亿
886.30亿,9,-1.71,28.64,41.48|2025-12-26,27.21亿,9636.07万,SZ,002241,深交所主板,27.96,1.17,29.02,2.75,28.24,歌尔股份,否,3.07,否,0,False,-0.49,1001.29亿
1558.20亿,10,1.35,129.57,40.75|2025-12-26,17.84亿,1387.75万,SH,603501,上交所主板,126.60,1.32,36.40,5.67,128.84,豪威集团,否,1.15,否,1,False,1.71,1558.20亿
990.39亿,11,0.76,12.07,40.64|2025-12-26,9.74亿,8139.80万,SZ,000625,深交所主板,11.85,0.84,29.18,1.55,11.99,长安汽车,否,0.99,否,0,False,0.09,1188.70亿
1380.19亿,12,-0.91,73.33,40.43|2025-12-26,29.75亿,4145.60万,SZ,002463,深交所主板,70.59,0.72,38.12,9.90,71.78,沪电股份,否,2.16,否,0,False,-0.66,1381.31亿
1339.86亿,13,7.19,85.81,38.76|2025-12-26,14.76亿,1767.53万,SZ,000408,深交所主板,80.31,1.07,36.53,8.87,85.33,藏格矿业,否,1.13,否,0,False,5.72,1339.87亿
1434.93亿,14,1.87,40.10,37.79|2025-12-26,14.23亿,3577.06万,SH,600547,上交所主板,39.35,0.66,34.70,6.02,39.70,山东黄金,否,0.99,否,1,False,0.73,1830.14亿
1395.35亿,15,-1.39,272.82,33.71|2025-12-26,3.20亿,118.82万,SH,605499,上交所主板,267.84,0.95,27.83,15.86,268.33,东鹏饮料,否,0.23,否,1,False,-3.78,1395.35亿
2080.78亿,16,0.05,37.52,33.13|2025-12-26,2.87亿,767.66万,SH,603288,上交所主板,37.27,0.55,30.86,5.54,37.42,海天味业,否,0.14,否,1,False,0.02,2189.75亿
4245.25亿,17,-1.73,59.20,32.43|2025-12-26,43.55亿,7426.65万,SZ,002475,深交所主板,58.37,0.96,27.71,5.34,58.40,立讯精密,否,1.02,否,0,False,-1.03,4254.88亿
1482.92亿,18,-0.49,4.07,32.10|2025-12-26,15.17亿,3.75亿,SZ,000725,深交所主板,4.03,0.74,24.64,1.13,4.04,京东方Ａ,否,1.02,否,0,False,-0.02,1511.52亿
