SERIAL,PER_NAV,CHG,STARTDATE,TRADING_VOLUMES,PREMIUM,FOUND_DATE,SECURITY_CODE,NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE,QJFE_DAY{2025-11-04}
1,4.7292,0.13,2012-04-05,35.99亿,0.006,2012-05-04,510300,4.735,沪深300ETF,1,False,0.006,897.07亿,-0.75|2025-11-04,T+1,4242.43亿|2025-11-04,-6.62亿
2,4.5548,0.15,2013-02-18,9.27亿,0.006,2013-03-06,510310,4.561,沪深300ETF易方达,1,False,0.007,667.32亿,-0.74|2025-11-04,T+1,3039.51亿|2025-11-04,-2.09亿
3,4.7977,0.21,2012-12-17,3.53亿,0.007,2012-12-25,510330,4.805,沪深300ETF华夏,1,False,0.010,474.50亿,-0.75|2025-11-04,T+1,2276.51亿|2025-11-04,-6570.00万
4,4.8783,0.00,2012-04-05,5.69亿,0.003,2012-05-07,159919,4.881,沪深300ETF,0,False,0.000,407.72亿,-0.75|2025-11-04,T+1,1988.98亿|2025-11-04,-810.00万
5,3.1577,-0.19,2004-11-29,18.03亿,-0.008,2004-12-30,510050,3.150,上证50ETF,1,False,-0.006,576.47亿,-0.12|2025-11-04,T+1,1820.33亿|2025-11-04,-5.94亿
6,7.3133,0.23,2013-01-10,10.44亿,0.017,2013-02-06,510500,7.330,中证500ETF,1,False,0.017,181.41亿,-1.70|2025-11-04,T+1,1326.70亿|2025-11-04,-1.88亿
7,3.1125,0.96,2011-08-15,40.73亿,0.029,2011-09-20,159915,3.142,创业板ETF,0,False,0.030,327.56亿,-1.96|2025-11-04,T+1,1019.54亿|2025-11-04,3900.00万
8,0.9461,-1.26,2021-08-23,37.87亿,-0.007,2021-09-15,159792,0.939,港股通互联网ETF,0,False,-0.012,914.19亿,-2.23|2025-11-04,T+0,864.91亿|2025-11-04,-3800.00万
9,8.7661,-0.35,2013-06-24,41.37亿,-0.060,2013-07-18,518880,8.706,黄金ETF,1,False,-0.031,93.13亿,-0.38|2025-11-04,T+0,816.41亿|2025-11-04,4890.00万
10,3.0088,0.50,2016-08-24,10.67亿,0.014,2016-09-29,512100,3.023,中证1000ETF,1,False,0.015,246.87亿,-1.37|2025-11-04,T+1,742.79亿|2025-11-04,-8600.00万
11,101.0383,0.00,2013-03-18,158.99亿,0.010,2013-04-01,511880,101.048,银华日利ETF,1,False,0.005,7.23亿,0.01|2025-11-04,T+0,730.35亿|2025-11-04,-188.92万
12,1.4568,0.34,2020-09-22,40.24亿,0.003,2020-09-28,588000,1.460,科创50ETF,1,False,0.005,499.75亿,-0.99|2025-11-04,T+1,728.04亿|2025-11-04,-5.22亿
13,-,0.00,2012-12-19,129.50亿,0.004,2012-12-27,511990,100.004,华宝添益ETF,1,False,-0.003,7.26亿,0.00|2025-11-04,T+0,726.28亿|2025-11-04,-452.47万
14,1.4111,0.21,2020-09-22,9.81亿,0.003,2020-09-28,588080,1.414,科创板50ETF,1,False,0.003,505.70亿,-0.97|2025-11-04,T+1,713.59亿|2025-11-04,-2100.00万
15,112.5765,0.01,2020-04-30,292.18亿,0.011,2020-08-03,511360,112.588,短融ETF,1,False,0.015,5.88亿,0.00|2025-11-04,T+0,661.56亿|2025-11-04,8000.00
16,1.2434,-0.24,2016-06-20,22.43亿,-0.003,2016-07-26,512880,1.240,证券ETF,1,False,-0.003,508.02亿,-0.50|2025-11-04,T+1,631.68亿|2025-11-04,10.03亿
17,13.4340,0.48,2020-02-10,122.31亿,0.072,2020-03-06,511380,13.506,可转债ETF,1,False,0.064,43.72亿,-0.64|2025-11-04,T+0,587.39亿|2025-11-04,2790.00万
18,0.7828,-1.01,2021-05-12,63.34亿,0.000,2021-05-18,513180,0.783,恒生科技指数ETF,1,False,-0.008,576.41亿,-1.77|2025-11-04,T+0,451.21亿|2025-11-04,5.60亿
19,3.0625,0.39,2021-03-04,2.57亿,0.010,2021-03-18,159845,3.072,中证1000ETF,0,False,0.012,144.24亿,-1.37|2025-11-04,T+1,441.75亿|2025-11-04,-2000.00万
20,115.1932,0.05,2022-08-03,33.26亿,0.045,2022-08-19,511520,115.238,政金债券ETF,1,False,0.061,3.80亿,-0.01|2025-11-04,T+0,437.95亿|2025-11-04,-18.00万
21,0.7693,-1.03,2021-05-12,68.09亿,0.000,2021-05-24,513130,0.769,恒生科技ETF,1,False,-0.008,536.16亿,-1.80|2025-11-04,T+0,412.47亿|2025-11-04,8.38亿
22,2.3229,-0.47,2022-09-23,28.80亿,-0.010,2022-09-30,588200,2.313,科创芯片ETF,1,False,-0.011,173.47亿,-0.71|2025-11-04,T+1,402.95亿|2025-11-04,4500.00万
23,0.5943,0.00,2016-08-01,7.23亿,-0.001,2016-08-30,512000,0.593,券商ETF,1,False,0.000,671.11亿,-0.50|2025-11-04,T+1,398.84亿|2025-11-04,2.63亿
24,1.6221,-0.56,2016-12-12,31.18亿,-0.017,2017-01-04,513050,1.605,中概互联网ETF,1,False,-0.009,243.64亿,0.03|2025-11-03,T+0,392.44亿|2025-11-03,1.71亿
25,1.4160,-0.70,2022-06-17,11.99亿,0.004,2022-06-30,159636,1.420,港股通科技30ETF,0,False,-0.010,264.58亿,-2.15|2025-11-04,T+0,374.65亿|2025-11-04,1700.00万
26,8.7490,-0.33,2014-08-04,11.97亿,-0.061,2014-08-13,159937,8.688,黄金ETF基金,0,False,-0.029,42.37亿,-0.38|2025-11-04,T+0,370.67亿|2025-11-04,-450.00万
27,3.0576,0.29,2022-07-22,7488.49万,0.009,2022-07-28,560010,3.067,中证1000ETF指数,1,False,0.009,111.82亿,-1.37|2025-11-04,T+1,341.89亿|2025-11-04,0.00
28,0.5552,-0.54,2021-01-18,51.60亿,0.001,2021-01-26,513330,0.556,恒生互联网ETF,1,False,-0.003,606.49亿,-1.86|2025-11-04,T+0,336.73亿|2025-11-04,9400.00万
29,2.1616,-0.69,2020-02-24,104.18亿,0.009,2020-03-13,513090,2.171,香港证券ETF,1,False,-0.015,150.61亿,-1.62|2025-11-04,T+0,325.56亿|2025-11-04,6200.00万
30,119.9981,0.03,2023-02-17,76.14亿,0.151,2023-05-19,511090,120.149,30年国债ETF,1,False,0.042,2.69亿,-0.08|2025-11-04,T+0,322.91亿|2025-11-04,116.00万
31,9.1565,-0.34,2013-10-28,10.30亿,-0.063,2013-11-29,159934,9.093,黄金ETF,0,False,-0.031,34.58亿,-0.38|2025-11-04,T+0,316.61亿|2025-11-04,-690.00万
