CIRCULATION_MARKET_VALUE<140>,SERIAL,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,PETTMDEDUCTED{2025-12-25},MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,IFSTSTOCK{2025-12-25},PCHG,TOAL_MARKET_VALUE<140>
1248.29亿,1,3.83,72.45,25.68亿,3617.12万,49.51|2025-12-25,SH,601689,上交所主板,69.22,1.35,47.61,5.36,71.83,拓普集团,否,2.08,1,False,否,2.65,1248.29亿
890.18亿,2,-0.71,46.53,9.21亿,2013.74万,48.57|2025-12-25,SZ,002558,深交所主板,44.96,0.61,47.12,5.87,46.01,巨人网络,否,1.04,0,False,否,-0.33,890.18亿
943.03亿,3,3.25,157.68,10.20亿,661.24万,48.17|2025-12-25,SZ,002028,深交所主板,148.50,1.11,41.36,8.36,154.73,思源电气,否,1.08,0,False,否,4.87,1208.58亿
972.95亿,4,-0.26,67.35,29.54亿,4456.66万,47.23|2025-12-25,SZ,000977,深交所主板,65.78,0.88,49.29,4.62,66.33,浪潮信息,否,3.04,0,False,否,-0.17,974.04亿
808.92亿,5,-1.32,4.53,8.64亿,1.93亿,46.52|2025-12-25,SZ,000100,深交所主板,4.46,0.61,22.89,1.53,4.47,TCL科技,否,1.07,0,False,否,-0.06,929.80亿
2546.67亿,6,1.41,33.96,16.53亿,4905.64万,46.45|2025-12-25,SH,600150,上交所主板,33.27,1.27,32.64,1.80,33.84,中国船舶,否,0.65,1,False,否,0.47,2546.67亿
1027.09亿,7,0.25,170.46,1.98亿,116.78万,46.34|2025-12-25,SH,600436,上交所主板,169.58,0.65,36.18,7.10,170.24,片仔癀,否,0.19,1,False,否,0.43,1027.09亿
1.32万亿,8,2.43,68.15,135.46亿,2.02亿,43.67|2025-12-25,SH,601138,上交所主板,65.40,1.14,44.19,8.20,66.72,工业富联,否,1.02,1,False,否,1.58,1.32万亿
944.37亿,9,0.95,62.99,2.37亿,379.01万,43.02|2025-12-25,SZ,002304,深交所主板,62.03,1.23,17.82,1.94,62.69,洋河股份,否,0.25,0,False,否,0.59,944.39亿
901.68亿,10,-0.90,28.95,23.58亿,8224.95万,42.20|2025-12-25,SZ,002241,深交所主板,28.33,1.02,29.53,2.80,28.73,歌尔股份,否,2.62,0,False,否,-0.26,1018.66亿
