SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,IFSTSTOCK{2025-10-17},MARKET_NUM,IN_OPTIONAL,PCHG,PETTM{2025-10-17},TOAL_MARKET_VALUE<140>
59,486.49亿,-1.81,23.28,3.46亿,1505.13万,SH,600845,22.78,0.66,45.93,6.18,22.80,宝信软件,否,0.71,否,1,False,-0.42,39.74,654.54亿
60,1575.64亿,1.71,309.00,7.12亿,234.43万,SH,605499,296.10,1.16,33.17,21.19,303.00,东鹏饮料,否,0.45,否,1,False,5.10,39.68,1575.64亿
61,1233.62亿,-4.58,66.91,30.24亿,4659.57万,SZ,002463,64.00,1.00,36.68,9.69,64.17,沪电股份,否,2.42,否,0,False,-3.08,39.45,1234.62亿
62,907.23亿,-5.73,51.50,16.91亿,3468.76万,SZ,300408,48.01,0.78,37.58,4.58,48.52,三环集团,否,1.86,否,0,False,-2.95,38.71,929.88亿
63,426.24亿,-3.38,31.27,7.64亿,2511.80万,SZ,300759,29.92,0.77,38.07,3.74,30.03,康龙化成,否,1.77,否,0,False,-1.05,38.66,533.99亿
64,1535.36亿,-4.12,132.62,26.08亿,2020.72万,SH,603501,127.20,0.75,37.86,5.91,127.27,豪威集团,否,1.68,否,1,False,-5.47,38.54,1535.36亿
65,965.13亿,-5.08,32.80,34.58亿,1.09亿,SZ,002241,31.06,0.67,38.54,3.22,31.20,歌尔股份,否,3.53,否,0,False,-1.67,38.23,1092.17亿
66,947.14亿,-4.45,67.81,36.81亿,5623.74万,SZ,000977,64.27,0.65,59.36,4.64,64.41,浪潮信息,否,3.82,否,0,False,-3.00,37.95,948.20亿
67,1359.81亿,-4.34,28.64,18.47亿,6662.25万,SZ,300433,27.20,0.85,63.24,3.02,27.35,蓝思科技,否,1.34,否,0,False,-1.24,37.01,1445.26亿
68,138.32亿,-1.62,20.79,15.22亿,7487.56万,SH,601059,20.00,1.38,31.66,3.20,20.00,信达证券,否,10.83,否,1,False,-0.33,36.54,648.60亿
69,640.89亿,-0.89,31.82,3.00亿,950.67万,SH,600009,31.30,1.02,37.32,1.86,31.32,上海机场,否,0.46,否,1,False,-0.28,36.03,779.39亿
70,494.61亿,-5.87,31.00,17.93亿,6077.18万,SZ,300207,28.85,0.76,31.15,2.20,28.86,欣旺达,否,3.55,否,0,False,-1.80,35.54,533.18亿
71,3325.37亿,-2.20,25.62,77.90亿,3.10亿,SZ,300059,24.81,0.79,35.28,4.59,24.86,东方财富,否,2.31,否,0,False,-0.56,35.33,3928.88亿
72,2341.37亿,-3.41,159.84,43.93亿,2796.99万,SH,601127,155.01,0.70,43.07,9.47,155.08,赛力斯,否,1.85,否,1,False,-5.47,34.88,2533.02亿
73,743.78亿,-2.14,4.21,17.00亿,4.10亿,SZ,000100,4.10,0.81,22.69,1.37,4.11,TCL科技,否,2.27,否,0,False,-0.09,34.86,854.92亿
74,1054.49亿,-0.67,70.65,3.42亿,486.61万,SZ,002304,69.78,0.85,12.14,2.15,70.00,洋河股份,否,0.32,否,0,False,-0.47,34.35,1054.51亿
75,581.67亿,-3.87,5.48,19.06亿,3.59亿,SZ,000630,5.20,0.62,24.29,1.96,5.22,铜陵有色,否,3.22,否,0,False,-0.21,33.84,699.97亿
76,645.02亿,-4.94,111.49,8.61亿,799.32万,SZ,002028,106.10,0.75,28.42,6.21,106.30,思源电气,否,1.31,否,0,False,-5.52,33.83,827.44亿
77,2173.08亿,-1.73,39.97,4.66亿,1179.98万,SH,603288,39.08,0.79,29.21,5.84,39.08,海天味业,否,0.21,否,1,False,-0.69,33.61,2286.89亿
78,995.34亿,0.24,12.68,10.92亿,8710.44万,SZ,300015,12.37,1.13,28.53,5.40,12.55,爱尔眼科,否,1.10,否,0,False,0.03,32.90,1170.34亿
79,499.94亿,-6.88,16.05,28.71亿,1.88亿,SZ,002202,14.85,0.93,21.16,1.68,14.90,金风科技,否,5.60,否,0,False,-1.10,32.10,629.54亿
80,1327.42亿,-4.72,11.30,22.07亿,2.03亿,SZ,000617,10.35,0.70,25.57,1.29,10.50,中油资本,否,1.60,否,0,False,-0.52,31.58,1327.42亿
81,353.67亿,-2.88,174.43,5.33亿,310.80万,SZ,300896,169.55,1.24,32.49,7.23,169.55,爱美客,否,1.49,否,0,False,-5.02,31.55,513.04亿
82,55.65亿,-1.07,6.57,1.28亿,1969.22万,SZ,001391,6.47,1.16,31.90,3.10,6.48,国货航,否,2.29,否,0,False,-0.07,31.30,791.14亿
83,1958.51亿,-9.99,53.88,160.78亿,3.20亿,SZ,000063,48.63,0.88,23.00,3.11,48.63,中兴通讯,否,7.94,否,0,False,-5.40,30.02,2326.23亿
84,953.01亿,-3.68,36.72,11.57亿,3243.79万,SH,600160,35.25,0.78,23.23,4.95,35.30,巨化股份,否,1.20,否,1,False,-1.35,29.97,953.01亿
85,159.08亿,-1.09,6.43,6.49亿,1.02亿,SH,600930,6.35,1.10,21.23,2.49,6.35,华电新能,否,4.06,否,1,False,-0.07,29.93,2648.86亿
86,2733.97亿,-2.35,231.49,16.97亿,746.37万,SZ,300760,225.28,0.86,26.97,7.00,225.50,迈瑞医疗,否,0.62,否,0,False,-5.43,29.79,2734.06亿
87,690.98亿,-9.95,137.97,24.69亿,1929.78万,SZ,002920,124.86,1.74,28.35,7.19,124.92,德赛西威,否,3.49,否,0,False,-13.81,29.02,693.24亿
88,1.52万亿,-2.81,375.00,115.89亿,3190.58万,SZ,300750,356.99,0.74,26.80,5.54,358.14,宁德时代,否,0.75,否,0,False,-10.36,28.00,1.63万亿
89,1209.89亿,2.21,25.50,31.40亿,1.25亿,SH,600489,24.57,0.85,22.45,4.28,24.96,中金黄金,否,2.59,否,1,False,0.54,27.89,1209.89亿
90,565.17亿,0.56,7.20,1.22亿,1711.62万,SH,600236,7.07,0.62,23.79,3.22,7.17,XD桂冠电,否,0.22,否,1,False,0.04,27.79,565.17亿
91,4031.53亿,-6.27,59.25,101.66亿,1.79亿,SZ,002475,55.40,0.70,30.41,5.45,55.49,立讯精密,否,2.47,否,0,False,-3.71,27.65,4040.68亿
92,515.81亿,-0.42,32.60,25.39亿,8028.31万,SH,600988,30.84,0.88,26.61,5.08,31.00,赤峰黄金,否,4.82,否,1,False,-0.13,27.27,589.13亿
93,1079.64亿,-4.36,48.77,10.65亿,2255.58万,SZ,002938,46.60,0.73,43.94,3.47,46.75,鹏鼎控股,否,0.98,否,0,False,-2.13,26.63,1083.69亿
94,521.54亿,-3.64,95.48,8.13亿,874.39万,SH,603296,91.07,0.66,24.55,3.93,91.31,华勤技术,否,1.53,否,1,False,-3.45,26.32,927.49亿
95,455.49亿,0.00,35.51,3.81亿,1085.33万,SZ,002422,34.68,0.82,27.85,2.37,34.88,科伦药业,否,0.83,否,0,False,0.00,26.09,557.40亿
96,796.29亿,-2.45,39.17,7.80亿,2023.26万,SZ,002179,38.16,1.03,28.21,3.46,38.27,中航光电,否,0.97,否,0,False,-0.96,25.96,810.66亿
97,728.60亿,-0.80,19.25,13.00亿,6852.29万,SH,601788,18.58,1.65,25.55,1.44,18.65,光大证券,否,1.75,否,1,False,-0.15,25.66,859.91亿
98,895.95亿,-2.15,18.21,9351.60万,521.73万,SZ,001289,17.74,0.76,22.01,1.99,17.77,龙源电力,否,0.10,否,0,False,-0.39,25.59,1485.54亿
99,346.58亿,-3.29,119.88,3.80亿,328.15万,SZ,300866,114.51,0.73,26.37,6.55,114.77,安克创新,否,1.09,否,0,False,-3.90,25.54,615.35亿
100,664.39亿,-1.88,25.20,35.62亿,1.49亿,SH,600021,23.06,0.85,17.40,3.22,23.55,上海电力,否,5.27,否,1,False,-0.45,25.28,664.39亿
101,525.46亿,1.94,54.24,5.58亿,1036.92万,SH,601021,52.47,1.55,22.48,3.00,53.71,XD春秋航,否,1.06,否,1,False,1.02,25.25,525.46亿
102,1051.61亿,-3.71,20.12,14.62亿,7480.89万,SH,600415,19.10,0.78,22.82,4.74,19.18,小商品城,否,1.36,否,1,False,-0.74,25.03,1051.76亿
103,1906.74亿,-4.54,23.45,17.32亿,7592.73万,SH,600031,22.43,0.89,18.28,2.69,22.50,三一重工,否,0.90,否,1,False,-1.07,25.03,1906.74亿
104,858.75亿,-4.70,57.77,11.86亿,2131.94万,SZ,000408,54.36,1.29,23.41,5.68,54.69,藏格矿业,否,1.36,否,0,False,-2.70,24.80,858.76亿
105,605.57亿,0.71,24.59,9.58亿,3972.47万,SZ,000975,23.77,0.87,20.85,4.90,23.96,山金国际,否,1.57,否,0,False,0.17,24.70,665.30亿
106,2990.75亿,-1.02,34.10,38.58亿,1.16亿,SZ,002415,32.63,0.84,24.38,4.05,33.06,海康威视,否,1.28,否,0,False,-0.34,24.10,3029.91亿
107,1468.24亿,-1.96,4.09,26.39亿,6.54亿,SZ,000725,4.00,0.87,23.05,1.13,4.00,京东方Ａ,否,1.78,否,0,False,-0.08,23.81,1496.56亿
108,608.43亿,-1.48,29.49,7.62亿,2629.17万,SH,600196,28.63,1.00,22.53,1.62,28.72,复星医药,否,1.24,否,1,False,-0.43,23.62,766.95亿
109,1169.43亿,-1.07,22.87,19.23亿,8605.23万,SZ,000792,22.05,0.80,23.25,2.99,22.10,盐湖股份,否,1.63,否,0,False,-0.24,23.55,1169.44亿
110,1839.95亿,-3.72,23.83,17.13亿,7364.97万,SH,600406,23.00,0.96,31.30,3.79,23.01,国电南瑞,否,0.92,否,1,False,-0.89,23.55,1848.18亿
111,1092.53亿,-2.35,38.45,9.79亿,2589.75万,SH,601995,37.30,0.89,20.83,1.88,37.37,中金公司,否,0.89,否,1,False,-0.90,23.14,1803.95亿
112,1698.62亿,-2.24,26.96,3.83亿,1444.02万,SH,601066,26.04,0.83,22.49,2.54,26.15,中信建投,否,0.22,否,1,False,-0.60,22.86,2028.38亿
113,860.22亿,-0.97,10.44,5.10亿,4961.59万,SZ,001979,10.16,0.72,31.82,0.94,10.17,招商蛇口,否,0.59,否,0,False,-0.10,22.64,921.49亿
