SERIAL,PER_NAV,CHG,STARTDATE,TRADING_VOLUMES,PREMIUM,QJFE_DAY{2025-10-31},FOUND_DATE,NEW_SCALE{2025-11-02},SECURITY_CODE,NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE
1,4.7519,-1.39,2012-04-05,68.52亿,0.004,10.63亿,2012-05-04,4300.81亿|2025-10-31,510300,4.756,沪深300ETF,1,False,-0.067,905.07亿,-1.47|2025-10-31,T+1,4300.81亿|2025-10-31
2,4.5761,-1.36,2013-02-18,9.74亿,0.005,1.20亿,2013-03-06,3064.68亿|2025-10-31,510310,4.581,沪深300ETF易方达,1,False,-0.063,669.71亿,-1.47|2025-10-31,T+1,3064.68亿|2025-10-31
3,4.8205,-1.39,2012-12-17,5.43亿,0.007,3780.00万,2012-12-25,2290.11亿|2025-10-31,510330,4.827,沪深300ETF华夏,1,False,-0.068,475.08亿,-1.47|2025-10-31,T+1,2290.11亿|2025-10-31
4,4.9021,-1.35,2012-04-05,12.69亿,0.004,-,2012-05-07,2020.48亿|2025-10-30,159919,4.906,沪深300ETF,0,False,-0.067,406.13亿,-1.47|2025-10-31,T+1,2020.48亿|2025-10-30
5,3.1567,-1.03,2004-11-29,33.63亿,0.003,4.84亿,2004-12-30,1850.50亿|2025-10-31,510050,3.160,上证50ETF,1,False,-0.033,586.21亿,-1.15|2025-10-31,T+1,1850.50亿|2025-10-31
6,7.4386,-0.81,2013-01-10,17.93亿,-0.003,9760.00万,2013-02-06,1368.66亿|2025-10-31,510500,7.436,中证500ETF,1,False,-0.061,183.99亿,-0.73|2025-10-31,T+1,1368.66亿|2025-10-31
7,3.1644,-2.25,2011-08-15,47.96亿,0.002,-,2011-09-20,1052.01亿|2025-10-30,159915,3.166,创业板ETF,0,False,-0.073,324.74亿,-2.32|2025-10-31,T+1,1052.01亿|2025-10-30
8,0.9580,-0.31,2021-08-23,20.17亿,0.005,-,2021-09-15,893.66亿|2025-10-30,159792,0.963,港股通互联网ETF,0,False,-0.003,916.29亿,-1.77|2025-10-31,T+0,893.66亿|2025-10-30
9,8.8145,1.03,2013-06-24,67.83亿,-0.021,5070.00万,2013-07-18,813.34亿|2025-10-31,518880,8.794,黄金ETF,1,False,0.090,92.27亿,1.61|2025-10-31,T+0,813.34亿|2025-10-31
10,3.0382,0.07,2016-08-24,16.19亿,-0.001,3.06亿,2016-09-29,756.85亿|2025-10-31,512100,3.037,中证1000ETF,1,False,0.002,249.11亿,0.29|2025-10-31,T+1,756.85亿|2025-10-31
11,1.4867,-3.06,2020-09-22,56.99亿,0.001,10.98亿,2020-09-28,747.40亿|2025-10-31,588000,1.488,科创50ETF,1,False,-0.047,502.72亿,-3.11|2025-10-31,T+1,747.40亿|2025-10-31
12,101.0291,-0.01,2013-03-18,206.65亿,-0.003,-1236.36万,2013-04-01,733.04亿|2025-10-31,511880,101.026,银华日利ETF,1,False,-0.015,7.26亿,0.01|2025-10-31,T+0,733.04亿|2025-10-31
13,-,-0.01,2012-12-19,214.64亿,-0.001,-1191.25万,2012-12-27,732.42亿|2025-10-31,511990,99.999,华宝添益ETF,1,False,-0.009,7.32亿,0.00|2025-10-31,T+0,732.42亿|2025-10-31
