CIRCULATION_MARKET_VALUE<140>,SERIAL,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,TRADEMARKET,PETTMDEDUCTED{2025-12-30},BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,PCHG,IFSTSTOCK{2025-12-30},TOAL_MARKET_VALUE<140>
950.77亿,1,0.24,158.61,7.24亿,464.46万,SZ,002028,深交所主板,48.57|2025-12-30,153.57,0.76,41.70,8.43,156.00,思源电气,否,0.76,0,False,0.38,否,1218.50亿
990.99亿,2,-0.09,68.15,22.56亿,3343.89万,SZ,000977,深交所主板,48.10|2025-12-30,66.34,0.64,50.21,4.71,67.56,浪潮信息,否,2.28,0,False,-0.06,否,992.10亿
821.59亿,3,1.11,4.59,17.76亿,3.91亿,SZ,000100,深交所主板,47.25|2025-12-30,4.45,1.36,23.25,1.55,4.54,TCL科技,否,2.16,0,False,0.05,否,944.36亿
849.74亿,4,-2.18,45.22,12.68亿,2864.36万,SZ,002558,深交所主板,46.36|2025-12-30,43.74,1.00,44.98,5.60,43.92,巨人网络,否,1.48,0,False,-0.98,否,849.74亿
1020.21亿,5,-0.71,170.20,1.97亿,116.54万,SH,600436,上交所主板,46.03|2025-12-30,168.80,0.74,35.93,7.05,169.10,片仔癀,否,0.19,1,False,-1.21,否,1020.21亿
2503.02亿,6,-0.83,33.71,12.56亿,3759.80万,SH,600150,上交所主板,45.66|2025-12-30,33.25,0.92,32.08,1.77,33.26,中国船舶,否,0.50,1,False,-0.28,否,2503.02亿
907.02亿,7,2.26,29.15,38.01亿,1.32亿,SZ,002241,深交所主板,42.45|2025-12-30,27.83,1.45,29.70,2.81,28.90,歌尔股份,否,4.20,0,False,0.64,否,1024.69亿
1.28万亿,8,-1.55,65.30,95.68亿,1.49亿,SH,601138,上交所主板,42.04|2025-12-30,63.01,0.73,42.54,7.90,64.23,工业富联,否,0.75,1,False,-1.01,否,1.28万亿
1434.22亿,9,-2.80,77.58,52.83亿,6992.29万,SZ,002463,深交所主板,42.01|2025-12-30,74.33,1.12,39.61,10.29,74.59,沪电股份,否,3.64,0,False,-2.15,否,1435.38亿
921.77亿,10,-0.46,61.41,1.96亿,320.73万,SZ,002304,深交所主板,41.99|2025-12-30,61.04,0.87,17.39,1.90,61.19,洋河股份,否,0.21,0,False,-0.28,否,921.79亿
982.95亿,11,0.00,12.05,7.72亿,6464.45万,SZ,000625,深交所主板,40.34|2025-12-30,11.84,0.92,28.96,1.54,11.90,长安汽车,否,0.78,0,False,0.00,否,1179.78亿
1533.52亿,12,-0.09,127.95,12.42亿,978.06万,SH,603501,上交所主板,40.11|2025-12-30,126.33,0.82,35.83,5.58,126.80,豪威集团,否,0.81,1,False,-0.12,否,1533.52亿
1317.25亿,13,1.60,84.37,11.37亿,1371.06万,SZ,000408,深交所主板,38.11|2025-12-30,80.66,0.85,35.91,8.72,83.89,藏格矿业,否,0.87,0,False,1.32,否,1317.26亿
1391.92亿,14,-0.36,38.92,15.65亿,4100.30万,SH,600547,上交所主板,36.66|2025-12-30,37.02,0.79,33.66,5.84,38.51,山东黄金,否,1.13,1,False,-0.14,否,1775.28亿
1393.74亿,15,0.00,269.52,2.69亿,100.51万,SH,605499,上交所主板,33.67|2025-12-30,265.20,0.84,27.79,15.84,268.02,东鹏饮料,否,0.19,1,False,-0.01,否,1393.74亿
1530.64亿,16,0.97,4.20,25.42亿,6.10亿,SZ,000725,深交所主板,33.14|2025-12-30,4.11,1.13,25.43,1.17,4.17,京东方Ａ,否,1.66,0,False,0.04,否,1560.16亿
1578.87亿,17,6.81,22.80,12.41亿,5625.00万,SH,600346,上交所主板,33.12|2025-12-30,20.90,1.93,23.58,2.44,22.43,恒力石化,否,0.80,1,False,1.43,否,1578.87亿
2072.99亿,18,0.16,37.60,3.06亿,819.04万,SH,603288,上交所主板,33.00|2025-12-30,37.15,0.83,30.74,5.52,37.28,海天味业,否,0.15,1,False,0.06,否,2181.56亿
4221.26亿,19,-0.26,59.38,57.84亿,9916.47万,SZ,002475,深交所主板,32.25|2025-12-30,57.18,1.19,27.55,5.31,58.07,立讯精密,否,1.36,0,False,-0.15,否,4230.83亿
1831.97亿,20,0.81,121.85,17.82亿,1471.00万,SH,601127,上交所主板,32.13|2025-12-30,119.58,0.98,29.84,7.74,121.34,赛力斯,否,0.97,1,False,0.98,否,2113.72亿
1187.41亿,21,-0.51,17.81,18.61亿,1.06亿,SZ,002602,深交所主板,30.99|2025-12-30,17.38,0.79,22.16,4.30,17.47,世纪华通,否,1.56,0,False,-0.09,否,1287.66亿
1182.64亿,22,-0.27,52.38,10.81亿,2108.81万,SZ,002938,深交所主板,30.86|2025-12-30,50.52,0.75,36.98,3.63,51.21,鹏鼎控股,否,0.91,0,False,-0.14,否,1187.07亿
1141.93亿,23,-0.48,22.78,25.05亿,1.11亿,SH,600089,上交所主板,30.03|2025-12-30,22.40,0.63,15.62,1.66,22.60,特变电工,否,2.20,1,False,-0.11,否,1141.93亿
1227.55亿,24,-1.42,9.94,16.26亿,1.66亿,SZ,000617,深交所主板,29.38|2025-12-30,9.69,1.12,23.03,1.18,9.71,中油资本,否,1.31,0,False,-0.14,否,1227.55亿
