code,name,time,macd,signal
511880,银华日利ETF,2025-10-24 14:30:00,0.0014,0.0013
511990,华宝添益ETF,2025-10-24 10:30:00,0.001,0.0004
159941,纳指ETF,2025-10-24 10:00:00,0.006,0.0045
511220,城投债ETF,2025-10-24 14:00:00,0.0021,0.002
513500,标普500ETF,2025-10-24 10:00:00,0.0077,0.0072
515220,煤炭ETF,2025-10-24 15:00:00,-0.004,-0.0046
159509,纳指科技ETF,2025-10-24 11:00:00,0.0112,0.0074
513300,纳斯达克ETF,2025-10-24 10:00:00,0.009,0.0065
513380,恒生科技ETF龙头,2025-10-24 15:00:00,0.0036,0.0035
511660,货币ETF建信添益,2025-10-24 11:30:00,0.0003,0.0003
