SERIAL,PER_NAV,CHG,TRADING_VOLUMES,PREMIUM,QJFE_DAY{2025-12-26},SECURITY_CODE,ETF_TYPE,NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,NEW_SCALE{2025-12-27},T0,NEW_SCALE
1,9.6229,0.88,47.26亿,0.027,-4830.00万,518880,黄金ETF,9.650,黄金ETF,1,False,0.084,101.00亿,0.40|2025-12-26,971.90亿|2025-12-26,T+0,971.90亿|2025-12-26
2,9.6899,0.79,5.77亿,0.028,420.00万,518850,黄金ETF,9.718,黄金ETF华夏,1,False,0.076,12.00亿,0.40|2025-12-26,116.29亿|2025-12-26,T+0,116.29亿|2025-12-26
3,9.5055,0.87,2.88亿,0.029,-500.00万,518800,黄金ETF,9.534,黄金基金ETF,1,False,0.082,31.64亿,0.40|2025-12-26,300.78亿|2025-12-26,T+0,300.78亿|2025-12-26
4,10.0826,0.84,2.46亿,-0.002,280.00万,518680,黄金ETF,10.081,金ETF,1,False,0.084,5.92亿,0.71|2025-12-26,59.73亿|2025-12-26,T+0,59.73亿|2025-12-26
5,9.6284,0.83,2.63亿,0.025,-210.00万,518660,黄金ETF,9.653,黄金ETF基金,1,False,0.079,6.97亿,0.40|2025-12-26,67.12亿|2025-12-26,T+0,67.12亿|2025-12-26
6,9.6021,0.82,9.06亿,0.027,-,159937,黄金ETF,9.629,黄金ETF基金,0,False,0.078,43.84亿,0.40|2025-12-26,419.32亿|2025-12-25,T+0,419.32亿|2025-12-25
7,10.0522,0.81,11.35亿,0.025,-,159934,黄金ETF,10.077,黄金ETF,0,False,0.081,36.47亿,0.40|2025-12-26,365.13亿|2025-12-25,T+0,365.13亿|2025-12-25
8,1.4004,-0.14,1.12亿,0.001,2000.00万,515450,风格策略,1.401,红利低波50ETF,1,False,-0.002,107.14亿,-0.21|2025-12-26,150.04亿|2025-12-26,T+1,150.04亿|2025-12-26
9,1.3714,0.44,2.62亿,0.001,-6600.00万,515180,风格策略,1.372,红利ETF易方达,1,False,0.006,83.31亿,0.49|2025-12-26,114.25亿|2025-12-26,T+1,114.25亿|2025-12-26
10,1.4456,0.14,1.33亿,0.001,1950.00万,515100,风格策略,1.447,红利低波100ETF,1,False,0.002,39.49亿,0.10|2025-12-26,57.09亿|2025-12-26,T+1,57.09亿|2025-12-26
11,1.5501,0.39,2.42亿,0.000,-5100.00万,515080,风格策略,1.550,中证红利ETF,1,False,0.006,55.01亿,0.49|2025-12-26,85.27亿|2025-12-26,T+1,85.27亿|2025-12-26
12,1.1750,-0.25,4.62亿,0.000,1000.00万,512890,风格策略,1.175,红利低波ETF,1,False,-0.003,226.43亿,-0.18|2025-12-26,266.06亿|2025-12-26,T+1,266.06亿|2025-12-26
13,3.1849,0.41,3.86亿,0.002,-650.00万,510880,风格策略,3.187,红利ETF,1,False,0.013,61.13亿,0.38|2025-12-26,194.68亿|2025-12-26,T+1,194.68亿|2025-12-26
14,0.7711,0.52,2.76亿,0.001,-1.32亿,588790,行业主题,0.772,科创AIETF,1,False,0.004,73.87亿,0.43|2025-12-26,56.96亿|2025-12-26,T+1,56.96亿|2025-12-26
15,1.5527,-0.77,1.20亿,0.000,-3900.00万,588750,行业主题,1.553,科创芯片50ETF,1,False,-0.012,34.36亿,-0.80|2025-12-26,53.35亿|2025-12-26,T+1,53.35亿|2025-12-26
16,2.3279,-0.72,18.60亿,0.002,-6000.00万,588200,行业主题,2.330,科创芯片ETF,1,False,-0.017,168.31亿,-0.80|2025-12-26,391.81亿|2025-12-26,T+1,391.81亿|2025-12-26
17,0.9834,0.10,15.17亿,0.001,1.64亿,562500,行业主题,0.984,机器人ETF,1,False,0.001,262.41亿,0.10|2025-12-26,258.05亿|2025-12-26,T+1,258.05亿|2025-12-26
18,0.8506,2.16,3.80亿,-0.001,-1.95亿,561910,行业主题,0.850,电池ETF,1,False,0.018,66.16亿,2.19|2025-12-26,56.28亿|2025-12-26,T+1,56.28亿|2025-12-26
19,1.5645,3.77,3.31亿,0.004,4000.00万,560860,行业主题,1.568,工业有色ETF,1,False,0.057,53.49亿,3.63|2025-12-26,83.69亿|2025-12-26,T+1,83.69亿|2025-12-26
20,2.0920,2.24,4.82亿,0.005,0.00,517520,行业主题,2.097,黄金股ETF,1,False,0.046,61.46亿,1.91|2025-12-26,128.58亿|2025-12-26,T+1,128.58亿|2025-12-26
21,2.9312,2.31,9.68亿,-0.004,2.24亿,516160,行业主题,2.927,新能源ETF,1,False,0.066,24.59亿,2.47|2025-12-26,72.07亿|2025-12-26,T+1,72.07亿|2025-12-26
22,1.8106,0.95,2.96亿,-0.001,-3300.00万,516150,行业主题,1.810,稀土ETF嘉实,1,False,0.017,43.58亿,1.06|2025-12-26,78.91亿|2025-12-26,T+1,78.91亿|2025-12-26
23,0.8562,-0.23,1.85亿,0.000,-4200.00万,515980,行业主题,0.856,人工智能ETF,1,False,-0.002,83.21亿,-0.27|2025-12-26,71.25亿|2025-12-26,T+1,71.25亿|2025-12-26
24,3.1071,-1.15,14.67亿,-0.003,1800.00万,515880,行业主题,3.104,通信ETF,1,False,-0.036,46.82亿,-0.98|2025-12-26,145.49亿|2025-12-26,T+1,145.49亿|2025-12-26
25,0.9876,1.86,8.64亿,0.000,-1.70亿,515790,行业主题,0.988,光伏ETF,1,False,0.018,117.93亿,1.81|2025-12-26,116.47亿|2025-12-26,T+1,116.47亿|2025-12-26
26,1.4641,-0.27,3185.00万,0.001,-120.00万,515290,行业主题,1.465,银行ETF天弘,1,False,-0.004,37.96亿,-0.35|2025-12-26,55.57亿|2025-12-26,T+1,55.57亿|2025-12-26
27,1.0386,0.29,3.80亿,0.000,-7000.00万,515220,行业主题,1.039,煤炭ETF,1,False,0.003,84.78亿,0.33|2025-12-26,88.05亿|2025-12-26,T+1,88.05亿|2025-12-26
28,0.5590,-0.89,2.16亿,-0.001,-1.88亿,515170,行业主题,0.558,食品饮料ETF,1,False,-0.005,103.82亿,-0.62|2025-12-26,58.03亿|2025-12-26,T+1,58.03亿|2025-12-26
29,0.6407,0.00,1.81亿,0.000,-4600.00万,515120,行业主题,0.641,创新药ETF,1,False,0.000,112.54亿,-0.05|2025-12-26,72.10亿|2025-12-26,T+1,72.10亿|2025-12-26
30,1.9347,-0.31,1.63亿,-0.003,-2700.00万,515070,行业主题,1.932,人工智能AIETF,1,False,-0.006,46.59亿,-0.32|2025-12-26,90.15亿|2025-12-26,T+1,90.15亿|2025-12-26
31,2.2924,-0.82,2.80亿,-0.002,-800.00万,515050,行业主题,2.290,5G通信ETF,1,False,-0.019,34.93亿,-0.84|2025-12-26,80.08亿|2025-12-26,T+1,80.08亿|2025-12-26
32,1.4089,0.36,394.76万,-0.001,0.00,512960,行业主题,1.408,央企结构调整ETF,1,False,0.005,40.00亿,0.41|2025-12-26,56.36亿|2025-12-26,T+1,56.36亿|2025-12-26
33,1.4580,0.21,652.10万,-0.001,0.00,512950,行业主题,1.457,央企改革ETF,1,False,0.003,42.61亿,0.41|2025-12-26,62.12亿|2025-12-26,T+1,62.12亿|2025-12-26
