SERIAL,PER_NAV,CHG,STARTDATE,TRADING_VOLUMES,PREMIUM,FOUND_DATE,SECURITY_CODE,QJFE_DAY{2025-10-27},NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE
1,4.8280,-0.50,2012-04-05,34.97亿,-0.026,2012-05-04,510300,-1.21亿,4.802,沪深300ETF,1,False,-0.024,891.55亿,1.19|2025-10-27,T+1,4304.42亿|2025-10-27
2,4.6494,-0.50,2013-02-18,5.19亿,-0.026,2013-03-06,510310,-3420.00万,4.623,沪深300ETF易方达,1,False,-0.023,668.36亿,1.19|2025-10-27,T+1,3107.45亿|2025-10-27
3,4.8977,-0.53,2012-12-17,2.67亿,-0.027,2012-12-25,510330,3330.00万,4.871,沪深300ETF华夏,1,False,-0.026,474.52亿,1.19|2025-10-27,T+1,2324.05亿|2025-10-27
4,4.9803,-0.44,2012-04-05,6.57亿,-0.025,2012-05-07,159919,-5310.00万,4.955,沪深300ETF,0,False,-0.022,405.80亿,1.19|2025-10-27,T+1,2021.02亿|2025-10-27
5,3.2167,-0.62,2004-11-29,25.14亿,-0.021,2004-12-30,510050,1.66亿,3.196,上证50ETF,1,False,-0.020,580.76亿,0.79|2025-10-27,T+1,1868.13亿|2025-10-27
6,7.4841,-0.49,2013-01-10,12.72亿,-0.043,2013-02-06,510500,-4160.00万,7.441,中证500ETF,1,False,-0.037,182.39亿,1.68|2025-10-27,T+1,1365.02亿|2025-10-27
7,3.2110,-0.12,2011-08-15,43.52亿,-0.006,2011-09-20,159915,-2200.00万,3.205,创业板ETF,0,False,-0.004,327.05亿,1.99|2025-10-27,T+1,1050.17亿|2025-10-27
8,0.9918,-1.61,2021-08-23,22.45亿,-0.015,2021-09-15,159792,800.00万,0.977,港股通互联网ETF,0,False,-0.016,920.75亿,1.82|2025-10-27,T+0,913.20亿|2025-10-27
9,8.9039,-3.56,2013-06-24,94.33亿,-0.307,2013-07-18,518880,-6600.00万,8.597,黄金ETF,1,False,-0.317,92.06亿,-0.52|2025-10-27,T+0,819.65亿|2025-10-27
10,101.0125,0.00,2013-03-18,230.78亿,-0.003,2013-04-01,511880,63.33万,101.009,银华日利ETF,1,False,0.002,7.85亿,0.00|2025-10-27,T+0,792.63亿|2025-10-27
11,1.5583,-0.83,2020-09-22,43.16亿,-0.013,2020-09-28,588000,6.35亿,1.545,科创50ETF,1,False,-0.013,489.58亿,1.50|2025-10-27,T+1,762.92亿|2025-10-27
12,1.5094,-0.86,2020-09-22,13.33亿,-0.013,2020-09-28,588080,5700.00万,1.496,科创板50ETF,1,False,-0.013,504.74亿,1.51|2025-10-27,T+1,761.85亿|2025-10-27
13,3.0329,-0.17,2016-08-24,9.16亿,-0.008,2016-09-29,512100,-1.14亿,3.025,中证1000ETF,1,False,-0.005,246.65亿,1.02|2025-10-27,T+1,748.07亿|2025-10-27
14,-,0.00,2012-12-19,142.13亿,-0.005,2012-12-27,511990,208.32万,99.995,华宝添益ETF,1,False,-0.001,7.35亿,0.01|2025-10-27,T+0,735.03亿|2025-10-27
15,112.5278,0.01,2020-04-30,443.89亿,-0.001,2020-08-03,511360,-46.60万,112.527,短融ETF,1,False,0.009,5.73亿,0.01|2025-10-27,T+0,644.27亿|2025-10-27
16,1.2712,-0.63,2016-06-20,29.76亿,-0.007,2016-07-26,512880,1900.00万,1.264,证券ETF,1,False,-0.008,474.29亿,1.13|2025-10-27,T+1,602.92亿|2025-10-27
17,13.5023,-0.32,2020-02-10,120.53亿,-0.069,2020-03-06,511380,-3390.00万,13.433,可转债ETF,1,False,-0.043,44.55亿,0.80|2025-10-27,T+0,601.47亿|2025-10-27
18,0.8313,-1.44,2021-05-12,48.89亿,-0.008,2021-05-18,513180,1000.00万,0.823,恒生科技指数ETF,1,False,-0.012,563.12亿,1.80|2025-10-27,T+0,468.12亿|2025-10-27
19,3.0869,-0.10,2021-03-04,3.03亿,-0.008,2021-03-18,159845,-1400.00万,3.079,中证1000ETF,0,False,-0.003,144.62亿,1.02|2025-10-27,T+1,446.44亿|2025-10-27
