SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,IFSTSTOCK{2025-10-27},PCHG,PETTM{2025-10-27},TOAL_MARKET_VALUE<140>
75,545.52亿,1.29,30.90,19.11亿,6289.65万,SZ,000426,29.86,0.89,34.29,6.45,30.73,兴业银锡,否,3.54,0,False,否,0.39,37.36,545.65亿
76,652.98亿,2.81,6.00,22.99亿,3.91亿,SZ,000630,5.78,1.29,27.27,2.20,5.86,铜陵有色,否,3.51,0,False,否,0.16,36.96,785.80亿
77,3483.21亿,0.54,26.45,124.16亿,4.75亿,SZ,300059,25.93,1.81,33.93,4.63,26.04,东方财富,否,3.55,0,False,否,0.14,36.80,4115.37亿
78,641.92亿,0.00,31.43,2.25亿,716.67万,SH,600009,31.32,1.08,37.38,1.86,31.37,上海机场,否,0.35,1,False,否,0.00,36.09,780.64亿
79,2401.01亿,-0.61,161.58,40.89亿,2565.51万,SH,601127,156.88,1.39,44.16,9.89,159.03,赛力斯,否,1.70,1,False,否,-0.98,35.99,2597.54亿
80,138.53亿,2.72,20.15,10.83亿,5433.63万,SH,601059,19.62,1.52,31.71,3.21,20.03,XD信达证,否,7.86,1,False,否,0.53,35.72,649.57亿
81,760.06亿,0.48,4.22,12.46亿,2.97亿,SZ,000100,4.18,1.26,23.19,1.40,4.20,TCL科技,否,1.64,0,False,否,0.02,35.45,873.64亿
82,750.56亿,0.51,123.44,9.44亿,773.11万,SZ,002028,120.36,0.72,32.92,6.65,123.15,思源电气,否,1.27,0,False,否,0.62,34.81,961.91亿
83,576.65亿,9.99,26.20,22.98亿,8944.48万,SH,601231,24.98,2.86,45.19,3.18,26.20,环旭电子,否,4.06,1,False,否,2.38,34.81,576.65亿
84,522.42亿,-1.64,16.04,31.66亿,2.03亿,SZ,002202,15.22,1.18,19.09,1.71,15.57,金风科技,否,6.06,0,False,否,-0.26,34.10,657.84亿
85,1051.02亿,0.79,69.98,2.36亿,339.46万,SZ,002304,68.83,1.18,12.10,2.15,69.77,洋河股份,否,0.23,0,False,否,0.55,33.97,1051.05亿
86,2152.51亿,0.28,38.79,5.04亿,1305.44万,SH,603288,38.51,1.43,28.94,5.78,38.71,海天味业,否,0.23,1,False,否,0.11,33.19,2265.24亿
87,977.09亿,0.82,12.33,6.77亿,5507.62万,SZ,300015,12.24,1.06,28.01,5.30,12.32,爱尔眼科,否,0.69,0,False,否,0.10,32.04,1148.89亿
88,714.26亿,0.76,131.70,15.51亿,1198.32万,SZ,002920,127.70,1.48,31.52,5.49,129.13,德赛西威,否,2.17,0,False,否,0.98,32.02,770.70亿
89,4751.53亿,2.33,65.99,151.95亿,2.34亿,SZ,002475,63.53,1.26,35.84,6.42,65.40,立讯精密,否,3.22,0,False,否,1.49,31.85,4762.30亿
90,56.59亿,0.30,6.60,9231.27万,1401.15万,SZ,001391,6.57,0.96,32.44,3.16,6.59,国货航,否,1.63,0,False,否,0.02,31.74,804.57亿
91,1362.82亿,3.85,10.78,20.49亿,1.92亿,SZ,000617,10.46,1.45,26.25,1.32,10.78,中油资本,否,1.52,0,False,否,0.40,31.22,1362.82亿
92,347.16亿,-0.61,168.66,4.41亿,263.60万,SZ,300896,166.00,1.40,31.90,7.10,166.43,爱美客,否,1.26,0,False,否,-1.02,31.16,503.60亿
93,2066.84亿,2.95,52.50,105.99亿,2.07亿,SZ,000063,50.10,1.14,24.27,3.28,51.32,中兴通讯,否,5.14,0,False,否,1.47,30.77,2454.91亿
94,542.37亿,0.28,33.65,17.29亿,5314.60万,SZ,002080,32.01,1.14,27.49,2.76,32.32,中材科技,否,3.17,0,False,否,0.09,30.67,542.37亿
95,161.58亿,0.62,6.48,6.45亿,9996.91万,SH,600930,6.41,1.71,21.56,2.53,6.45,华电新能,否,3.99,1,False,否,0.04,30.22,2690.57亿
96,460.36亿,-2.56,25.64,16.97亿,7040.45万,SZ,002517,23.08,1.79,27.40,6.35,24.37,恺英网络,否,3.73,0,False,否,-0.64,30.20,520.65亿
97,1304.11亿,6.87,56.63,27.96亿,5086.46万,SZ,002938,53.25,1.73,53.08,4.19,56.47,鹏鼎控股,否,2.20,0,False,否,3.63,30.10,1309.00亿
98,536.57亿,10.00,34.53,39.67亿,1.16亿,SH,600549,32.10,3.37,23.07,3.27,34.53,厦门钨业,否,7.47,1,False,否,3.14,29.60,548.19亿
99,2707.30亿,0.79,224.70,14.71亿,658.92万,SZ,300760,221.91,1.17,26.71,6.93,223.30,迈瑞医疗,否,0.54,0,False,否,1.75,29.27,2707.38亿
100,593.54亿,1.76,7.54,9456.95万,1266.99万,SH,600236,7.31,0.77,24.99,3.38,7.53,桂冠电力,否,0.16,1,False,否,0.13,28.68,593.54亿
101,777.80亿,6.37,28.32,52.39亿,1.91亿,SH,600021,26.30,1.24,20.37,3.77,27.57,上海电力,否,6.77,1,False,否,1.65,27.83,777.80亿
102,1.64万亿,0.11,393.00,155.43亿,4045.10万,SZ,300750,376.57,1.34,26.95,5.61,386.18,宁德时代,否,0.95,0,False,否,0.41,27.60,1.76万亿
103,558.61亿,2.52,98.11,11.67亿,1204.00万,SH,603296,95.42,1.26,26.29,4.21,97.80,华勤技术,否,2.11,1,False,否,2.40,27.50,993.41亿
