SERIAL,CIRCULATION_MARKET_VALUE<140>,CHG,PEAK_PRICE<140>,TRADING_VOLUMES,VOLUME,MARKET_SHORT_NAME,SECURITY_CODE,BOTTOM_PRICE<140>,QRR,PE_DYNAMIC,PB,NEWEST_PRICE,SECURITY_SHORT_NAME,IF_DELISTING,TURNOVER_RATE,MARKET_NUM,IN_OPTIONAL,IFSTSTOCK{2025-10-27},PCHG,PETTM{2025-10-27},TOAL_MARKET_VALUE<140>
183,804.56亿,0.09,23.47,25.86亿,1.13亿,SZ,000807,22.22,1.70,13.72,2.49,23.20,云铝股份,否,3.27,0,False,否,0.02,17.25,804.57亿
184,1064.46亿,0.85,14.44,3.91亿,2738.37万,SH,600886,14.02,1.05,15.06,1.80,14.28,国投电力,否,0.37,1,False,否,0.12,16.93,1143.04亿
185,732.17亿,1.21,15.13,4.70亿,3135.52万,SH,600674,14.77,1.50,13.01,1.65,15.02,川投能源,否,0.64,1,False,否,0.18,16.80,732.17亿
186,1422.54亿,-1.21,23.10,5.17亿,2258.47万,SH,601633,22.76,1.81,17.03,2.28,22.91,长城汽车,否,0.36,1,False,否,-0.28,16.58,1960.61亿
187,522.66亿,-0.76,25.34,3.17亿,1274.34万,SH,600426,24.59,0.80,16.69,1.64,24.66,华鲁恒升,否,0.60,1,False,否,-0.19,16.25,523.59亿
188,473.29亿,2.04,5.52,2.61亿,4767.03万,SH,688009,5.39,1.59,17.94,1.28,5.49,中国通号,否,0.55,1,False,否,0.11,16.20,581.38亿
189,963.25亿,-0.16,107.70,11.70亿,1092.88万,SH,600941,106.39,1.03,15.00,1.69,106.70,中国移动,否,1.21,1,False,否,-0.17,16.18,2.31万亿
190,510.24亿,0.63,8.03,5.63亿,7056.77万,SH,600061,7.93,1.37,15.00,0.97,7.98,国投资本,否,1.10,1,False,否,0.05,16.13,510.24亿
191,1172.57亿,-0.17,5.84,7.83亿,1.34亿,SH,601006,5.81,1.24,14.25,0.72,5.82,大秦铁路,否,0.67,1,False,否,-0.01,16.11,1172.57亿
192,1309.61亿,1.29,18.24,11.89亿,6578.13万,SH,601881,17.90,1.75,15.24,1.73,18.08,中国银河,否,0.91,1,False,否,0.23,16.09,1976.94亿
193,7040.02亿,0.45,42.92,14.62亿,3452.99万,SH,601088,41.13,1.05,16.29,2.04,42.69,中国神华,否,0.21,1,False,否,0.19,15.27,8481.87亿
194,589.70亿,1.35,17.46,2.25亿,1302.33万,SH,600233,16.95,0.82,16.11,1.83,17.23,圆通速递,否,0.38,1,False,否,0.23,15.09,589.70亿
195,690.75亿,4.56,31.39,7.56亿,2441.39万,SH,600066,29.56,2.23,17.84,5.24,31.20,宇通客车,否,1.10,1,False,否,1.36,15.09,690.75亿
196,1101.91亿,2.67,18.60,12.67亿,6910.62万,SZ,300498,17.96,1.86,17.55,2.85,18.48,温氏股份,否,1.16,0,False,否,0.48,14.87,1229.65亿
197,1382.14亿,1.96,23.75,28.99亿,1.24亿,SZ,000776,22.88,1.33,13.76,1.43,23.41,广发证券,否,2.11,0,False,否,0.45,14.87,1780.53亿
198,1946.22亿,0.50,8.08,8.61亿,1.08亿,SH,601766,7.93,1.03,15.84,1.35,8.00,中国中车,否,0.44,1,False,否,0.04,14.80,2295.91亿
199,515.20亿,0.89,13.58,1.57亿,1160.51万,SH,600377,13.33,1.38,14.08,1.70,13.55,宁沪高速,否,0.31,1,False,否,0.12,14.64,682.61亿
200,1901.46亿,-0.64,131.30,12.22亿,941.57万,SZ,000568,128.60,1.04,12.43,4.09,129.40,泸州老窖,否,0.64,0,False,否,-0.84,14.62,1904.71亿
201,4668.99亿,0.00,120.55,17.30亿,1439.43万,SZ,000858,119.88,0.98,11.98,3.32,120.29,五 粮 液,否,0.37,0,False,否,0.00,14.46,4669.19亿
202,619.40亿,-0.91,153.29,3.53亿,232.93万,SZ,000596,150.88,1.08,10.94,3.18,151.59,古井贡酒,否,0.57,0,False,否,-1.39,14.42,801.30亿
203,949.93亿,1.80,23.86,7.57亿,3193.86万,SH,600585,23.38,1.45,14.41,0.67,23.75,海螺水泥,否,0.80,1,False,否,0.42,14.15,1258.58亿
204,670.19亿,0.48,8.46,5.61亿,6712.53万,SH,601872,8.24,1.00,15.77,1.66,8.30,招商轮船,否,0.83,1,False,否,0.04,14.09,670.19亿
205,747.05亿,0.79,3.87,2.66亿,6953.37万,SH,601018,3.78,0.99,14.38,0.95,3.84,宁波港,否,0.36,1,False,否,0.03,14.08,747.05亿
206,552.59亿,-0.15,13.57,10.80亿,8117.10万,SZ,002532,13.00,1.41,13.98,2.14,13.38,天山铝业,否,1.97,0,False,否,-0.02,13.96,622.42亿
207,2558.46亿,0.85,19.12,36.33亿,1.91亿,SH,601211,18.80,1.92,10.62,1.07,18.96,国泰海通,否,1.42,1,False,否,0.16,13.96,3342.44亿
208,624.92亿,-0.10,29.59,6.07亿,2077.83万,SH,601877,28.95,1.31,12.23,1.46,29.08,正泰电器,否,0.97,1,False,否,-0.03,13.88,624.92亿
209,1372.65亿,1.49,14.43,13.17亿,9251.53万,SZ,002736,14.05,1.42,13.62,1.56,14.28,国信证券,否,0.96,0,False,否,0.21,13.80,1462.52亿
210,709.32亿,0.68,10.46,2.11亿,2034.23万,SZ,001965,10.21,1.14,13.26,1.06,10.40,招商公路,否,0.30,0,False,否,0.07,13.77,709.32亿
211,1292.17亿,1.99,17.52,22.21亿,1.28亿,SH,600999,17.13,2.17,14.60,1.31,17.41,招商证券,否,1.72,1,False,否,0.34,13.71,1514.07亿
212,747.99亿,5.41,15.22,5.98亿,4004.31万,SZ,000708,14.60,2.98,12.96,1.80,14.82,中信特钢,否,0.79,0,False,否,0.76,13.65,747.99亿
213,681.97亿,2.14,3.88,9.27亿,2.43亿,SH,601618,3.77,1.67,12.77,0.77,3.82,中国中冶,否,1.36,1,False,否,0.08,13.61,791.64亿
214,947.07亿,3.91,5.33,11.97亿,2.27亿,SH,600795,5.12,1.96,12.84,1.68,5.31,国电电力,否,1.27,1,False,否,0.20,13.40,947.07亿
215,5189.88亿,0.36,75.35,25.53亿,3405.53万,SZ,000333,74.37,1.09,11.06,2.66,74.88,美的集团,否,0.49,0,False,否,0.27,13.10,5753.43亿
216,566.67亿,-0.27,18.59,1.44亿,777.52万,SH,600803,18.35,1.20,11.85,2.47,18.42,新奥股份,否,0.25,1,False,否,-0.05,13.09,570.48亿
217,892.73亿,0.87,15.35,11.33亿,7569.11万,SH,600188,14.49,0.86,16.26,2.53,15.07,兖矿能源,否,1.28,1,False,否,0.13,13.03,1512.65亿
218,1237.57亿,1.84,9.41,37.47亿,4.04亿,SH,601600,9.11,1.19,11.40,2.25,9.40,中国铝业,否,3.07,1,False,否,0.17,12.71,1612.63亿
219,552.70亿,2.25,24.81,13.76亿,5644.01万,SZ,000933,23.54,0.79,11.89,2.31,24.59,神火股份,否,2.51,0,False,否,0.54,12.70,553.12亿
220,1355.20亿,2.10,18.53,17.89亿,9805.60万,SH,600989,17.80,1.66,11.36,2.95,18.48,宝丰能源,否,1.34,1,False,否,0.38,12.35,1355.20亿
221,807.48亿,0.81,2.50,8.35亿,3.36亿,SH,601868,2.47,1.15,18.53,0.95,2.49,中国能建,否,1.04,1,False,否,0.02,12.24,1038.11亿
222,1619.92亿,1.05,26.04,10.53亿,4064.31万,SH,600690,25.63,1.12,10.10,2.11,25.90,海尔智家,否,0.65,1,False,否,0.27,11.81,2429.54亿
223,2215.31亿,0.40,23.18,9.36亿,4111.94万,SH,601225,22.16,0.85,14.50,2.49,22.85,陕西煤业,否,0.42,1,False,否,0.09,11.68,2215.31亿
224,9383.08亿,1.53,45.42,12.34亿,2758.44万,SH,601628,43.60,0.83,15.56,2.46,45.06,中国人寿,否,0.13,1,False,否,0.68,11.45,1.27万亿
225,462.37亿,1.91,3.79,5.96亿,1.59亿,SH,601991,3.66,1.31,7.54,2.07,3.73,大唐发电,否,1.29,1,False,否,0.07,11.33,690.30亿
226,593.66亿,0.11,8.98,5.08亿,5741.55万,SH,600039,8.76,2.01,13.83,1.61,8.84,四川路桥,否,0.85,1,False,否,0.01,11.30,768.69亿
227,1640.37亿,2.98,22.62,38.77亿,1.73亿,SH,601688,22.03,1.94,13.42,1.21,22.45,华泰证券,否,2.37,1,False,否,0.65,11.19,2026.53亿
228,510.70亿,0.16,18.37,2.33亿,1271.81万,SH,601607,18.22,1.03,7.61,0.90,18.31,上海医药,否,0.46,1,False,否,0.03,11.17,679.00亿
229,706.40亿,-0.21,14.26,8.86亿,6242.96万,SZ,000338,14.14,1.34,10.94,1.38,14.17,潍柴动力,否,1.25,0,False,否,-0.03,11.10,1234.71亿
230,356.59亿,1.03,20.89,9844.43万,475.22万,SZ,001872,20.41,1.46,9.76,0.82,20.67,招商港口,否,0.28,0,False,否,0.21,11.05,512.98亿
231,556.58亿,1.43,25.27,4.32亿,1737.93万,SZ,002128,24.34,1.05,10.14,1.49,24.83,电投能源,否,0.78,0,False,否,0.35,10.84,556.58亿
232,472.89亿,0.34,8.83,1.72亿,1959.96万,SH,601298,8.67,1.47,10.02,1.29,8.77,青岛港,否,0.36,1,False,否,0.03,10.44,569.27亿
233,1.48万亿,1.21,9.20,15.35亿,1.68亿,SH,601857,8.96,0.80,9.99,1.08,9.17,中国石油,否,0.10,1,False,否,0.11,10.37,1.68万亿
234,1258.40亿,3.62,14.09,9.64亿,7075.98万,SH,601898,12.82,1.27,11.83,1.17,13.75,中煤能源,否,0.77,1,False,否,0.48,10.21,1823.07亿
235,829.13亿,1.54,27.95,14.94亿,5408.12万,SH,600938,27.11,0.92,9.48,1.68,27.73,中国海油,否,1.81,1,False,否,0.42,10.16,1.32万亿
236,852.32亿,2.65,7.86,7.82亿,1.01亿,SH,600011,7.55,1.43,6.57,1.96,7.75,华能国际,否,0.92,1,False,否,0.20,9.92,1216.60亿
237,457.86亿,2.28,5.42,8.71亿,1.62亿,SH,600027,5.25,2.08,8.00,1.30,5.38,华电国际,否,1.91,1,False,否,0.12,9.92,624.71亿
238,713.97亿,1.21,23.70,6.63亿,2815.54万,SZ,002001,23.29,1.43,10.03,2.42,23.51,新 和 成,否,0.93,0,False,否,0.28,9.82,722.56亿
239,2.61万亿,2.38,8.20,42.18亿,5.22亿,SH,601288,7.90,0.94,10.26,1.07,8.18,农业银行,否,0.16,1,False,否,0.19,9.79,2.86万亿
240,1914.82亿,2.84,50.59,22.40亿,4492.20万,SZ,002714,48.60,1.43,13.03,3.55,50.25,牧原股份,否,1.18,0,False,否,1.39,9.68,2745.04亿
241,511.17亿,0.94,28.52,7.79亿,2757.83万,SH,600096,27.81,1.13,9.26,2.30,28.04,云天化,否,1.51,1,False,否,0.26,9.64,511.17亿
242,710.66亿,2.32,5.36,6.74亿,1.27亿,SH,600023,5.18,2.19,10.12,0.96,5.30,浙能电力,否,0.95,1,False,否,0.12,9.46,710.66亿
243,626.45亿,0.05,19.99,2.49亿,1252.88万,SH,600741,19.72,1.08,10.86,1.00,19.87,华域汽车,否,0.40,1,False,否,0.01,9.33,626.45亿
244,605.63亿,-1.37,18.25,10.41亿,5767.74万,SZ,002648,17.91,2.34,12.10,1.89,17.99,卫星化学,否,1.71,0,False,否,-0.25,9.09,606.02亿
245,4319.76亿,-0.08,13.06,19.64亿,1.52亿,SH,600000,12.83,1.23,7.26,0.60,12.97,浦发银行,否,0.46,1,False,否,-0.01,9.01,4319.76亿
246,1316.27亿,0.89,5.68,2.42亿,4290.44万,SH,600018,5.58,1.18,8.21,0.97,5.67,上港集团,否,0.18,1,False,否,0.05,8.98,1320.05亿
247,760.76亿,1.93,5.82,14.00亿,2.43亿,SH,601669,5.69,1.50,9.24,0.70,5.82,中国电建,否,1.86,1,False,否,0.11,8.83,1002.56亿
248,6156.19亿,-0.22,58.39,39.65亿,6850.04万,SH,601318,57.50,1.25,7.68,1.11,57.75,中国平安,否,0.64,1,False,否,-0.13,8.73,1.05万亿
249,3152.20亿,1.37,8.94,7.41亿,8385.82万,SH,601319,8.66,1.04,7.40,1.40,8.88,中国人保,否,0.24,1,False,否,0.12,8.29,3927.09亿
250,4034.06亿,0.33,6.09,11.09亿,1.85亿,SH,601658,5.85,0.88,7.33,0.73,6.01,邮储银行,否,0.28,1,False,否,0.02,8.28,7217.71亿
251,2.13万亿,0.89,7.94,30.80亿,3.92亿,SH,601398,7.74,1.04,8.39,0.75,7.91,工商银行,否,0.15,1,False,否,0.07,7.69,2.82万亿
252,1.18万亿,1.08,5.64,24.55亿,4.41亿,SH,601988,5.46,1.27,7.66,0.68,5.59,中国银行,否,0.21,1,False,否,0.06,7.52,1.80万亿
253,2541.56亿,-0.24,37.71,16.15亿,4338.75万,SH,601601,36.92,1.45,6.40,1.27,37.13,中国太保,否,0.63,1,False,否,-0.09,7.50,3572.03亿
254,904.68亿,0.75,9.50,13.37亿,1.42亿,SH,601939,9.22,1.22,7.61,0.73,9.43,建设银行,否,1.48,1,False,否,0.07,7.35,2.47万亿
255,1458.14亿,1.66,70.50,19.92亿,2856.81万,SH,601336,68.47,1.26,7.37,2.62,69.92,新华保险,否,1.37,1,False,否,1.14,7.17,2181.19亿
256,8579.58亿,-0.86,41.97,41.20亿,9889.49万,SH,600036,41.42,1.47,7.00,0.99,41.59,招商银行,否,0.48,1,False,否,-0.36,7.12,1.05万亿
257,2259.56亿,1.16,41.14,25.22亿,6165.25万,SZ,000651,40.51,1.83,7.96,1.85,40.97,格力电器,否,1.12,0,False,否,0.47,6.99,2294.90亿
258,821.20亿,-1.13,8.88,2.09亿,2378.87万,SH,601825,8.71,1.18,6.02,0.67,8.76,沪农商行,否,0.25,1,False,否,-0.10,6.93,844.85亿
259,1898.07亿,0.69,7.33,25.07亿,3.46亿,SH,601328,7.13,1.47,6.99,0.57,7.28,交通银行,否,1.33,1,False,否,0.05,6.77,6432.88亿
260,1056.53亿,0.90,9.00,3.02亿,3382.09万,SH,601800,8.88,0.95,7.63,0.50,8.97,中国交建,否,0.29,1,False,否,0.08,6.71,1460.19亿
261,621.29亿,1.44,7.06,4.55亿,6517.64万,SH,601077,6.84,1.10,5.19,0.61,7.03,渝农商行,否,0.74,1,False,否,0.10,6.64,798.40亿
262,1403.26亿,-0.26,11.40,5.07亿,4468.77万,SH,601009,11.25,0.98,5.56,0.79,11.35,南京银行,否,0.36,1,False,否,-0.03,6.64,1403.26亿
263,1832.13亿,0.00,27.85,8.22亿,2968.58万,SZ,002142,27.42,0.97,6.20,0.83,27.76,宁波银行,否,0.45,0,False,否,0.00,6.49,1833.16亿
264,3195.82亿,-1.26,8.00,6.76亿,8603.34万,SH,601998,7.76,1.32,5.98,0.62,7.84,中信银行,否,0.21,1,False,否,-0.10,6.35,4362.58亿
265,1172.89亿,-0.74,16.34,7.83亿,4837.02万,SH,600926,16.08,1.11,5.03,0.90,16.18,杭州银行,否,0.67,1,False,否,-0.12,6.34,1172.89亿
266,2007.63亿,0.27,10.99,13.64亿,1.25亿,SH,600919,10.73,1.01,4.96,0.80,10.94,江苏银行,否,0.68,1,False,否,0.03,6.00,2007.63亿
267,759.90亿,-1.54,18.19,8.54亿,4740.99万,SH,601838,17.91,1.85,5.75,0.92,17.96,成都银行,否,1.12,1,False,否,-0.28,5.81,761.22亿
268,1450.40亿,-0.73,4.13,22.19亿,5.42亿,SH,600016,4.06,0.85,4.19,0.32,4.09,民生银行,否,1.53,1,False,否,-0.03,5.78,1790.70亿
269,1368.33亿,-0.41,9.73,5.94亿,6168.97万,SH,601229,9.54,0.88,5.17,0.56,9.63,上海银行,否,0.43,1,False,否,-0.04,5.77,1368.33亿
270,665.72亿,-0.32,3.11,6.98亿,2.26亿,SH,601916,3.06,0.92,5.53,0.48,3.09,浙商银行,否,1.05,1,False,否,-0.01,5.73,848.66亿
271,4323.57亿,-0.83,20.64,17.79亿,8680.98万,SH,601166,20.36,0.93,5.01,0.59,20.43,兴业银行,否,0.41,1,False,否,-0.17,5.64,4323.57亿
272,1187.54亿,1.58,5.81,9.18亿,1.59亿,SH,601390,5.69,1.45,6.07,0.46,5.80,中国中铁,否,0.78,1,False,否,0.09,5.55,1434.98亿
273,938.66亿,0.87,8.17,5.40亿,6647.33万,SH,601186,8.03,1.59,5.18,0.41,8.16,中国铁建,否,0.58,1,False,否,0.07,5.23,1108.09亿
274,2235.53亿,-0.35,11.61,14.28亿,1.24亿,SZ,000001,11.44,1.26,4.37,0.50,11.52,平安银行,否,0.64,0,False,否,-0.04,5.16,2235.56亿
275,2371.79亿,0.53,5.80,14.28亿,2.49亿,SH,601668,5.67,1.41,3.90,0.50,5.74,中国建筑,否,0.60,1,False,否,0.03,5.00,2371.79亿
276,1638.16亿,0.00,3.56,15.67亿,4.46亿,SH,601818,3.46,1.15,4.24,0.43,3.53,光大银行,否,0.96,1,False,否,0.00,4.99,2085.72亿
277,1224.18亿,0.17,5.85,15.63亿,2.70亿,SH,601169,5.71,1.12,4.07,0.44,5.79,北京银行,否,1.28,1,False,否,0.01,4.70,1224.18亿
278,1875.10亿,2.48,14.91,17.28亿,1.17亿,SH,601919,14.60,1.59,6.57,0.99,14.87,中远海控,否,0.92,1,False,否,0.36,4.52,2303.33亿
279,1074.03亿,-0.57,7.03,7.49亿,1.07亿,SH,600015,6.89,1.08,4.63,0.36,6.98,华夏银行,否,0.70,1,False,否,-0.04,4.12,1110.86亿
