SERIAL,PER_NAV,CHG,STARTDATE,TRADING_VOLUMES,PREMIUM,FOUND_DATE,SECURITY_CODE,QJFE_DAY{2026-02-24},NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE
1,4.7463,0.72,2012-04-05,41.48亿,0.004,2012-05-04,510300,-2.16亿,4.750,沪深300ETF华泰柏瑞,1,False,0.034,459.08亿,0.61|2026-02-25,T+1,2165.79亿|2026-02-24
2,4.5918,0.59,2013-02-18,8.84亿,-0.003,2013-03-06,510310,-2160.00万,4.589,沪深300ETF易方达,1,False,0.027,321.80亿,0.60|2026-02-25,T+1,1468.77亿|2026-02-24
3,10.9353,0.08,2013-06-24,66.56亿,0.024,2013-07-18,518880,2140.00万,10.959,黄金ETF,1,False,0.009,112.73亿,-0.18|2026-02-25,T+0,1234.96亿|2026-02-24
4,4.9476,0.65,2012-04-05,10.13亿,0.001,2012-05-07,159919,-1350.00万,4.949,沪深300ETF嘉实,0,False,0.032,202.11亿,0.60|2026-02-25,T+1,993.94亿|2026-02-24
5,4.9396,0.53,2012-12-17,4.79亿,-0.003,2012-12-25,510330,90.00万,4.937,沪深300ETF华夏,1,False,0.026,192.85亿,0.60|2026-02-25,T+1,946.92亿|2026-02-24
6,8.6072,1.57,2013-01-10,63.14亿,-0.005,2013-02-06,510500,1160.00万,8.602,中证500ETF,1,False,0.133,109.11亿,1.61|2026-02-25,T+1,924.26亿|2026-02-24
7,0.7995,-0.38,2021-08-23,28.42亿,-0.006,2021-09-15,159792,11.91亿,0.794,港股通互联网ETF,0,False,-0.003,1021.27亿,-0.41|2026-02-25,T+0,819.87亿|2026-02-24
8,113.0844,0.00,2020-04-30,508.86亿,-0.020,2020-08-03,511360,-1021.00万,113.064,短融ETF海富通,1,False,0.000,6.99亿,0.00|2026-02-25,T+0,790.00亿|2026-02-24
9,1.5515,0.58,2020-09-22,32.22亿,0.001,2020-09-28,588000,-5400.00万,1.552,科创50ETF,1,False,0.009,504.07亿,0.54|2026-02-25,T+1,777.83亿|2026-02-24
10,100.2110,0.00,2013-03-18,163.15亿,-0.004,2013-04-01,511880,4115.49万,100.207,银华日利ETF,1,False,0.000,7.59亿,0.00|2026-02-25,T+0,760.20亿|2026-02-24
11,3.1357,0.48,2004-11-29,26.60亿,-0.002,2004-12-30,510050,-8910.00万,3.134,上证50ETF,1,False,0.015,238.07亿,0.45|2026-02-25,T+1,743.12亿|2026-02-24
12,-,0.00,2012-12-19,105.90亿,-0.001,2012-12-27,511990,49.74万,99.999,华宝添益ETF,1,False,-0.002,7.42亿,0.00|2026-02-25,T+0,741.65亿|2026-02-24
13,14.7369,-0.14,2020-02-10,99.55亿,-0.020,2020-03-06,511380,220.00万,14.717,可转债ETF博时,1,False,-0.021,45.58亿,0.12|2026-02-25,T+0,670.89亿|2026-02-24
14,3.3449,1.49,2011-08-15,36.69亿,-0.001,2011-09-20,159915,-2.28亿,3.344,创业板ETF易方达,0,False,0.049,189.25亿,1.40|2026-02-25,T+1,624.28亿|2026-02-24
15,1.1775,0.60,2016-06-20,21.50亿,0.002,2016-07-26,512880,2.75亿,1.179,证券ETF,1,False,0.007,483.57亿,0.57|2026-02-25,T+1,566.17亿|2026-02-24
16,0.6872,-0.44,2021-05-12,35.51亿,-0.003,2021-05-18,513180,23.99亿,0.684,恒生科技指数ETF,1,False,-0.003,764.83亿,-0.35|2026-02-25,T+0,527.43亿|2026-02-24
17,10.9107,0.02,2014-08-04,19.58亿,0.017,2014-08-13,159937,1200.00万,10.928,黄金ETF博时,0,False,0.002,47.55亿,-0.18|2026-02-25,T+0,519.70亿|2026-02-24
18,0.6729,-0.30,2021-05-12,41.48亿,-0.003,2021-05-24,513130,15.00亿,0.670,恒生科技ETF,1,False,-0.002,724.99亿,-0.28|2026-02-25,T+0,489.23亿|2026-02-24
19,2.6883,0.86,2022-09-23,28.07亿,0.001,2022-09-30,588200,4800.00万,2.689,科创芯片ETF,1,False,0.023,180.97亿,0.87|2026-02-25,T+1,482.32亿|2026-02-24
20,11.4242,0.03,2013-10-28,12.08亿,0.020,2013-11-29,159934,-100.00万,11.444,黄金ETF易方达,0,False,0.004,39.55亿,-0.18|2026-02-25,T+0,452.59亿|2026-02-24
21,10.8030,0.03,2013-06-24,4.42亿,0.019,2013-07-18,518800,1890.00万,10.822,黄金ETF国泰,1,False,0.003,41.26亿,-0.18|2026-02-25,T+0,446.54亿|2026-02-24
22,1.5039,0.54,2020-09-22,14.34亿,-0.001,2020-09-28,588080,-1200.00万,1.503,科创50ETF易方达,1,False,0.008,288.65亿,0.54|2026-02-25,T+1,431.76亿|2026-02-24
23,1.3413,0.00,2016-12-12,18.56亿,-0.041,2017-01-04,513050,9.98亿,1.337,中概互联网ETF易方达,1,False,0.000,316.48亿,-2.66|2026-02-24,T+0,424.50亿|2026-02-24
24,0.5627,0.54,2016-08-01,10.56亿,0.000,2016-08-30,512000,2.95亿,0.563,券商ETF,1,False,0.003,699.25亿,0.57|2026-02-25,T+1,391.23亿|2026-02-24
