SERIAL,PER_NAV,CHG,STARTDATE,TRADING_VOLUMES,PREMIUM,FOUND_DATE,QJFE_DAY{2025-10-23},SECURITY_CODE,NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE
1,4.7120,1.21,2012-04-05,41.11亿,0.058,2012-05-04,-1.91亿,510300,4.770,沪深300ETF,1,False,0.057,894.41亿,0.30|2025-10-23,T+1,4214.45亿|2025-10-23
2,4.5376,1.21,2013-02-18,7.40亿,0.054,2013-03-06,-5940.00万,510310,4.592,沪深300ETF易方达,1,False,0.055,669.20亿,0.30|2025-10-23,T+1,3036.57亿|2025-10-23
3,4.7800,1.30,2012-12-17,2.75亿,0.064,2012-12-25,180.00万,510330,4.844,沪深300ETF华夏,1,False,0.062,474.10亿,0.30|2025-10-23,T+1,2266.18亿|2025-10-23
4,4.8607,1.26,2012-04-05,9.78亿,0.055,2012-05-07,-2970.00万,159919,4.916,沪深300ETF,0,False,0.061,407.34亿,0.30|2025-10-23,T+1,1979.97亿|2025-10-23
5,3.1664,0.79,2004-11-29,21.70亿,0.026,2004-12-30,2160.00万,510050,3.192,上证50ETF,1,False,0.025,578.05亿,0.55|2025-10-23,T+1,1830.34亿|2025-10-23
6,7.2415,1.66,2013-01-10,16.64亿,0.127,2013-02-06,-7880.00万,510500,7.369,中证500ETF,1,False,0.120,183.04亿,0.19|2025-10-23,T+1,1325.47亿|2025-10-23
7,3.0399,3.59,2011-08-15,46.38亿,0.107,2011-09-20,-100.00万,159915,3.147,创业板ETF,0,False,0.109,329.49亿,0.10|2025-10-23,T+1,1001.63亿|2025-10-23
8,0.9637,0.62,2021-08-23,27.61亿,0.010,2021-09-15,-3.53亿,159792,0.974,港股通互联网ETF,0,False,0.006,921.17亿,0.49|2025-10-23,T+0,887.73亿|2025-10-23
9,9.0041,-0.49,2013-06-24,66.53亿,-0.054,2013-07-18,4400.00万,518880,8.950,黄金ETF,1,False,-0.044,93.71亿,-0.80|2025-10-23,T+0,843.81亿|2025-10-23
10,101.0012,0.01,2013-03-18,273.50亿,0.010,2013-04-01,151.73万,511880,101.011,银华日利ETF,1,False,0.009,7.83亿,0.00|2025-10-23,T+0,790.34亿|2025-10-23
11,-,0.01,2012-12-19,166.45亿,0.005,2012-12-27,717.48万,511990,100.005,华宝添益ETF,1,False,0.007,7.32亿,0.00|2025-10-23,T+0,732.02亿|2025-10-23
12,2.9567,1.62,2016-08-24,12.67亿,0.051,2016-09-29,-6000.00万,512100,3.008,中证1000ETF,1,False,0.048,247.27亿,-0.07|2025-10-23,T+1,731.11亿|2025-10-23
13,1.4250,4.42,2020-09-22,16.12亿,0.062,2020-09-28,6900.00万,588080,1.487,科创板50ETF,1,False,0.063,506.39亿,-0.29|2025-10-23,T+1,721.60亿|2025-10-23
14,1.4716,4.21,2020-09-22,55.22亿,0.063,2020-09-28,3.78亿,588000,1.535,科创50ETF,1,False,0.062,490.08亿,-0.30|2025-10-23,T+1,721.20亿|2025-10-23
15,112.5102,0.01,2020-04-30,396.74亿,0.010,2020-08-03,456.00万,511360,112.520,短融ETF,1,False,0.008,5.53亿,0.00|2025-10-23,T+0,622.22亿|2025-10-23
