SERIAL,PER_NAV,CHG,TRADING_VOLUMES,PREMIUM,SECURITY_CODE,QJFE_DAY{2025-12-22},ETF_TYPE,NEWEST_PRICE,SECURITY_SHORT_NAME,MARKET_NUM,IN_OPTIONAL,PCHG,NEW_SHARE,FUND_CHG_NEW,T0,NEW_SCALE
1,9.6222,1.35,87.09亿,0.017,518880,1.03亿,黄金ETF,9.639,黄金ETF,1,False,0.128,99.73亿,1.42|2025-12-23,T+0,946.15亿|2025-12-22
2,9.6891,1.41,8.73亿,0.020,518850,300.00万,黄金ETF,9.709,黄金ETF华夏,1,False,0.135,11.66亿,1.42|2025-12-23,T+0,111.36亿|2025-12-22
3,9.5050,1.42,6.58亿,0.016,518800,360.00万,黄金ETF,9.521,黄金基金ETF,1,False,0.133,32.11亿,1.42|2025-12-23,T+0,300.96亿|2025-12-22
4,10.0593,1.40,3.20亿,0.009,518680,50.00万,黄金ETF,10.068,金ETF,1,False,0.139,5.90亿,1.38|2025-12-23,T+0,58.52亿|2025-12-22
5,9.6273,1.39,4.90亿,0.014,518660,810.00万,黄金ETF,9.641,黄金ETF基金,1,False,0.132,7.06亿,1.42|2025-12-23,T+0,67.05亿|2025-12-22
6,9.6014,1.43,20.67亿,0.017,159937,-1350.00万,黄金ETF,9.618,黄金ETF基金,0,False,0.136,43.78亿,1.41|2025-12-23,T+0,414.52亿|2025-12-22
7,10.0513,1.46,19.56亿,0.019,159934,-720.00万,黄金ETF,10.070,黄金ETF,0,False,0.145,36.44亿,1.42|2025-12-23,T+0,361.16亿|2025-12-22
8,1.4017,0.07,9917.87万,0.000,515450,6650.00万,风格策略,1.402,红利低波50ETF,1,False,0.001,106.25亿,0.11|2025-12-23,T+1,148.78亿|2025-12-22
9,1.3577,-0.15,3.49亿,-0.002,515180,-7000.00万,风格策略,1.356,红利ETF易方达,1,False,-0.002,84.54亿,0.01|2025-12-23,T+1,114.76亿|2025-12-22
10,1.4358,-0.07,1.05亿,0.001,515100,3700.00万,风格策略,1.437,XD红利低波100ETF,1,False,-0.001,39.19亿,-0.05|2025-12-23,T+1,60.43亿|2025-12-22
11,1.5345,-0.07,2.20亿,-0.001,515080,-500.00万,风格策略,1.534,中证红利ETF,1,False,-0.001,55.72亿,0.02|2025-12-23,T+1,85.49亿|2025-12-22
12,1.1724,0.00,5.10亿,0.001,512890,2.60亿,风格策略,1.173,红利低波ETF,1,False,0.000,225.77亿,-0.59|2025-12-22,T+1,264.69亿|2025-12-22
13,3.1614,0.03,3.85亿,-0.001,510880,5650.00万,风格策略,3.160,红利ETF,1,False,0.001,60.54亿,0.13|2025-12-23,T+1,191.14亿|2025-12-22
14,0.7510,0.13,2.11亿,0.000,588790,2100.00万,行业主题,0.751,科创AIETF,1,False,0.001,75.85亿,0.09|2025-12-23,T+1,56.91亿|2025-12-22
15,1.5427,0.79,1.59亿,-0.004,588750,-3000.00万,行业主题,1.539,科创芯片50ETF,1,False,0.012,36.43亿,0.95|2025-12-23,T+1,55.68亿|2025-12-22
16,2.3128,0.92,23.59亿,-0.001,588200,-2.79亿,行业主题,2.312,科创芯片ETF,1,False,0.021,171.82亿,0.96|2025-12-23,T+1,393.62亿|2025-12-22
17,0.9448,-0.74,7.25亿,0.000,562500,1.41亿,行业主题,0.945,机器人ETF,1,False,-0.007,266.14亿,-0.83|2025-12-23,T+1,253.55亿|2025-12-22
18,0.8192,2.37,3.05亿,0.001,561910,-7000.00万,行业主题,0.820,电池ETF,1,False,0.019,70.23亿,2.22|2025-12-23,T+1,56.28亿|2025-12-22
19,1.5098,0.00,2.81亿,0.000,560860,4000.00万,行业主题,1.510,工业有色ETF,1,False,0.000,50.01亿,0.13|2025-12-23,T+1,75.41亿|2025-12-22
20,2.0930,1.02,5.59亿,-0.009,517520,-3850.00万,行业主题,2.084,黄金股ETF,1,False,0.021,62.07亿,1.06|2025-12-23,T+1,128.56亿|2025-12-22
21,2.8317,1.65,1.89亿,-0.001,516160,-3900.00万,行业主题,2.831,新能源ETF,1,False,0.046,19.70亿,1.60|2025-12-23,T+1,54.90亿|2025-12-22
22,1.7639,0.11,2.49亿,0.000,516150,-4500.00万,行业主题,1.764,稀土ETF嘉实,1,False,0.002,46.07亿,0.05|2025-12-23,T+1,81.23亿|2025-12-22
23,0.8519,0.00,2.21亿,0.000,515980,-7200.00万,行业主题,0.852,人工智能ETF,1,False,0.000,85.01亿,-0.05|2025-12-23,T+1,72.46亿|2025-12-22
24,3.0745,-0.26,12.95亿,-0.001,515880,-2300.00万,行业主题,3.074,通信ETF,1,False,-0.008,45.15亿,-0.07|2025-12-23,T+1,138.92亿|2025-12-22
25,0.9501,0.42,3.18亿,0.000,515790,-3600.00万,行业主题,0.950,光伏ETF,1,False,0.004,124.11亿,0.38|2025-12-23,T+1,117.47亿|2025-12-22
26,1.4691,0.41,5356.74万,0.005,515290,-600.00万,行业主题,1.474,银行ETF天弘,1,False,0.006,38.21亿,-0.56|2025-12-22,T+1,56.13亿|2025-12-22
27,1.0821,-0.55,3.91亿,0.001,515220,3650.00万,行业主题,1.083,煤炭ETF,1,False,-0.006,84.98亿,-0.53|2025-12-23,T+1,92.45亿|2025-12-22
28,0.5589,-0.71,1.35亿,-0.001,515170,-8550.00万,行业主题,0.558,食品饮料ETF,1,False,-0.004,108.95亿,-0.52|2025-12-23,T+1,61.21亿|2025-12-22
29,0.6394,-0.31,1.74亿,0.000,515120,-1700.00万,行业主题,0.639,创新药ETF,1,False,-0.002,115.23亿,-0.20|2025-12-23,T+1,73.83亿|2025-12-22
30,1.9199,0.21,2.01亿,-0.001,515070,-3900.00万,行业主题,1.919,人工智能AIETF,1,False,0.004,48.14亿,0.10|2025-12-23,T+1,92.33亿|2025-12-22
31,2.2555,-0.22,3.92亿,-0.002,515050,-4000.00万,行业主题,2.254,5G通信ETF,1,False,-0.005,36.13亿,-0.15|2025-12-23,T+1,81.62亿|2025-12-22
32,1.3924,-0.29,521.27万,-0.002,512960,-100.00万,行业主题,1.390,央企结构调整ETF,1,False,-0.004,40.00亿,-0.23|2025-12-23,T+1,55.83亿|2025-12-22
